Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.006047194,0.060338765,-0.022404114,-0.06501489,-0.11140263
0.04575048,0.101362154,0.10819641,0.049575876,0.051672347
-0.058740627,-0.04584115,0.017782617,-0.022687836,-0.06348943
0.12979019,0.11191768,0.1585505,0.044989925,0.05167668
0.03038085,0.12190905,0.03174784,-0.038565304,-0.072123684
0.025981165,0.21716505,0.1360287,0.0830489,0.021695198
-0.022688473,0.0033759028,-0.066987425,-0.029768646,-0.04899439
-0.04344921,0.03999918,-0.013718531,0.04657778,-0.07592592
-0.06328829,0.08975481,-0.02395902,-0.04656269,-0.1347203
-0.042473968,0.19196448,0.020347238,-0.06591122,-0.10019997
-0.04268695,-0.04359867,-0.08410403,-0.17496157,-0.2721163
-0.0108763715,0.0442336,-0.092725255,-0.12702873,-0.13672109
0.026118144,0.12353411,0.023847401,-0.025200872,-0.09259054
0.12170485,0.1765318,0.10955371,0.07924222,0.024872646
0.04680514,0.1353743,0.120902404,0.013073085,0.03876244
-0.06855807,0.05169931,-0.09161772,-0.15152113,-0.2590512
-0.0014770217,0.11410403,0.059979733,0.0053551556,-0.036325514
-0.0043255556,0.004840279,0.05248764,-0.049726218,-0.06635028
-0.04703514,0.053189963,0.025541551,0.011859557,-0.092073545
0.02133612,0.15065502,0.037669107,0.040385712,-0.02859459
-0.042951684,0.11561312,0.045025285,0.041923087,-0.07983417
-0.0011760443,0.054332957,0.022130564,0.03604655,-0.027908603
-0.009274884,0.13489841,0.0067973384,-0.035541832,-0.10989959
-0.017304527,0.1131684,0.02060435,-0.078338854,-0.07272831
0.054716058,0.13171922,0.027755972,-0.030616079,-0.07376639
0.07663399,0.14297105,0.07693754,0.021856396,-0.050619256
0.118533574,0.17665726,0.12133649,0.05847159,0.06828139
-0.008339103,0.10640935,-0.0037253294,-0.015921874,-0.101931065
-0.08522739,0.069119625,-0.034947984,-0.06091816,-0.13601556
-0.115999684,0.020378016,-0.08173534,-0.11608213,-0.227451
-0.18184736,-0.18541788,-0.15227814,-0.24582548,-0.31454575
-0.07701386,-0.010289993,-0.062295046,-0.09153144,-0.2217186
-0.04216605,0.056499388,-0.03176692,-0.07699108,-0.13816242
0.054704595,0.10465468,0.08165811,-0.008723293,-0.07336273
-0.023442904,0.02720727,0.05930224,-0.03752858,0.0051770606
-0.03576285,0.069741085,0.006378672,-0.051928043,-0.14796609
-0.068384856,-0.044838004,-0.09565013,-0.028800776,-0.16490915
0.021551667,0.19234094,0.15614769,0.12283794,0.034734584
0.06420263,0.15708062,0.061233394,-0.0022582728,-0.02284187
0.06051328,0.028013507,0.05044455,-0.01637219,0.0014091525
0.048122134,0.15657306,0.037896663,-0.022735886,-0.060333733
-0.007181991,0.11868279,0.013022492,-0.023999415,-0.09383143
0.061001066,0.16369617,0.09367491,-0.0044046994,0.014656972
-0.03272192,0.112688124,0.021301312,-0.020285701,-0.10771294
-0.11549115,0.049650025,-0.013343439,-0.06558489,-0.16619438
-0.030020373,0.121567994,-0.019200535,-0.022728717,-0.15054163
-0.12626,0.0006681029,-0.07822778,-0.12037358,-0.19706362
0.019473579,0.15075304,0.07531609,-0.015703931,-0.029322859
-0.0034700846,0.06548555,-0.051604524,-0.108700454,-0.17255223
-0.024034593,0.003600426,-0.045208342,-0.072653614,-0.07339875
0.0040542567,0.092924155,0.057225935,-0.040549565,-0.09136406
0.033433996,0.13662603,0.056190725,-0.010172903,-0.056734994
0.05072415,0.1814536,0.053849697,0.028513096,-0.07010468
0.075794145,0.09220764,0.09344397,-0.021504648,0.040459566
0.0144655,0.12662625,0.06707675,-0.023204176,-0.08215092
-0.028139459,0.056532405,-0.027270526,-0.04190584,-0.13205376
0.04122495,0.16366827,0.13531208,0.074838996,0.033775657
0.0012824815,0.0040962533,0.006567565,-0.02622838,-0.09673035
0.07970281,0.12981513,0.07356857,0.015935192,-0.024880756
0.045990154,0.06999247,0.033221412,0.11566958,0.042252477
0.03324019,0.19591314,0.13146517,0.062111825,0.05242663
0.08325229,0.16230673,0.1663658,0.12080723,0.06408182
-0.024175819,0.1228569,0.065511,0.00904383,-0.04505325
0.00059181405,0.13495377,0.070648335,0.06477268,-0.047365386
-0.030058468,-0.054481946,0.09041679,0.021522224,-0.064815715
-0.00077981316,0.08900764,-0.008941323,-0.06031864,-0.11944616
0.013459962,0.05776748,0.0031014504,-0.052021317,-0.039220106
0.012996636,0.010141917,-0.009984773,-0.12060867,-0.116271384
-0.037464097,0.08110681,-0.010397502,-0.12190013,-0.109913826
0.0029376838,0.037361786,-0.051250927,-0.0737789,-0.22073592
-0.1379018,0.010365864,-0.05827964,-0.10591331,-0.17783216
-0.046662442,0.029515807,0.038886905,-0.08692878,-0.109442145
0.05578105,0.09249599,0.042612225,-0.0025583142,-0.044432208
0.0030424148,-0.034822382,0.05177888,0.052250966,-0.09526065
-0.026029307,0.06823941,0.0016103536,-0.018516883,-0.11899455
-0.08111268,-0.016762275,-0.08041539,-0.086743176,-0.12559511
-0.0935417,0.017297503,-0.07193056,-0.12901142,-0.21325842
-0.06917913,-0.020159198,-0.015805583,-0.0461656,-0.08349574
0.05333361,-0.04023924,-0.011711093,-0.09393822,-0.02418403
-0.0799834,0.060519025,-0.025871614,-0.018758006,-0.15233834
-0.061784733,0.049391128,-0.049224116,-0.0050124787,-0.1404891
-0.17438045,-0.07219886,-0.110781014,-0.11358869,-0.22539398
0.028990941,0.012226404,-0.01611711,-0.11486775,-0.015704822
0.04185525,0.1269663,0.06539608,0.027839005,0.085871644
-0.07839911,-0.022838183,-0.074818775,-0.09988937,-0.11182305
0.010884747,0.031436276,-0.0076522585,0.016976213,-0.13317269
-0.037160326,-0.030739611,-0.067667514,0.006944211,-0.053156786
0.02138038,0.016642807,-0.03405354,-0.048883297,-0.03391165
0.05333361,-0.04023924,-0.011711093,-0.09393822,-0.02418403
-0.115583085,-0.035658646,-0.044499844,-0.10333,-0.11433006
-0.023996523,0.0070100725,0.0021107458,0.0252562,-0.057722166
-0.0937302,-0.006637848,-0.074208885,-0.016183335,-0.11249394
-0.014925033,0.010489246,-0.034853935,-0.05009324,-0.07945849
0.018851746,0.06852229,0.041868825,-0.00806939,0.025490433
0.05333361,-0.04023924,-0.011711093,-0.09393822,-0.02418403
0.009696452,0.0011451244,0.021905728,0.0059306812,-0.12645103
-0.09088807,-0.01009026,-0.10177176,-0.1109578,-0.20147869
0.024206307,0.03036413,-0.014602337,-0.013849851,-0.14207864
-0.17707601,-0.08263242,-0.11107913,-0.14964199,-0.20783457
-0.09259629,0.039987296,-0.029468207,-0.040849425,-0.097587556
0.0091339545,0.04908862,0.023303691,0.0059947995,0.041994356
-0.019350922,0.03637682,-0.012594191,-0.012769094,-0.13521336
0.02544535,0.05002806,-0.010596853,0.0072933016,0.0012043435
-0.032266535,0.08294056,0.047798764,0.13101247,-0.0109636355
-0.043882526,0.0793786,0.018510884,-0.029332988,-0.06529582
-0.042906687,0.054849606,-0.042074032,-0.04631475,-0.049246263
-0.014907334,0.023404563,-0.03983316,-0.054189406,-0.09216093
0.001139502,0.025238208,-0.026901567,-0.097572,-0.120348915
0.050701354,0.013914309,-0.031261742,-0.11722223,-0.038751602
-0.09432441,-0.026635299,-0.06336358,-0.094055034,-0.1510027
-0.024962379,0.01719757,0.007456449,-0.00071156677,-0.05009627
-0.087813824,0.0074512567,-0.03812836,-0.10042003,-0.10283876
-0.013927525,0.0010501631,-0.056770917,-0.13467547,-0.14329803
-0.06605734,0.10748548,-0.02715605,-0.035657965,-0.16323689
