Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.036934383,0.09304643,0.0220665,-0.017281475,-0.020404505
0.004500659,-0.07236281,-0.14160912,-0.10553807,-0.027895318
0.16388139,0.0127049005,0.096750796,-0.034261674,0.047568306
0.11996277,0.10817985,0.1385583,-0.005036718,0.0979874
0.10109453,0.087674476,0.113171525,0.015136041,0.061480686
0.11907615,0.11825462,0.1213365,0.009947076,0.030051326
0.070396826,0.18439597,0.06469382,0.07610831,0.07418963
0.1840886,0.082426086,0.1160514,-0.009539351,0.11113
0.14492223,0.11302589,0.11378576,-0.012589473,0.05330106
0.046024106,0.11280966,0.012274675,-0.040804125,-0.05172523
-0.013214614,-0.0072454065,0.005018729,-0.11466643,-0.13685569
-0.07186139,0.008443622,-0.090371914,-0.08789605,-0.17702883
-0.0073782513,0.23125789,-0.0013822535,-0.0048232675,-0.11579384
0.101541,0.1722511,0.06890212,0.043583944,-0.058181223
0.027529612,0.2590519,0.038910873,0.027233731,-0.0568001
0.047571354,0.2503235,0.14862956,0.10260488,0.033493638
0.053630084,0.21804877,0.13464989,0.090220585,0.20054573
0.090982586,0.2277741,0.16057092,0.058210533,0.08242699
0.05022216,0.24809292,0.14231107,0.033148002,0.025372664
-0.112093404,0.0547092,-0.03277767,-0.088113986,-0.0937141
0.09580735,0.24807745,0.19143972,0.14918375,0.08419587
0.10664846,0.12625143,0.0634649,0.025285847,0.035355747
0.049954187,0.113079,0.10259271,0.06059107,0.009930138
0.13597043,0.2495648,0.14633852,0.05513359,0.11850806
0.07560923,0.09975441,0.13461623,-0.024438167,0.02649676
0.18344724,0.1718107,0.21197528,0.08372299,0.11851843
0.15217978,0.10243566,0.19144255,-0.023629349,0.062923744
0.070990644,0.22473526,0.13063976,0.026062228,0.01583575
0.117337406,0.11399704,0.050554965,0.12983221,0.0930765
-0.0027277241,0.10374084,0.065595575,0.100427076,0.012898181
0.06795874,0.24371241,0.08289292,0.14639437,0.1332638
0.12344286,0.18144467,0.07507114,0.05936747,0.05432186
0.044504732,0.0811867,0.13669294,0.08531246,0.008856691
0.09308803,0.088121265,0.08998236,0.012550534,0.014450299
0.059428878,0.11353637,-0.020008996,-0.025544234,-0.12480907
0.10196857,0.14992407,0.038753126,0.020160535,0.028290698
0.15238789,0.09715551,0.0941342,0.039561953,0.037686877
0.113377586,0.03247077,-0.009544691,-0.012788553,-0.030128604
0.10727361,0.02039672,0.057107087,0.08689287,0.051383093
0.074297264,0.090872146,0.052590515,0.06512571,0.030651912
0.18001308,0.13311747,0.14227815,0.101454005,0.081892274
0.18271717,0.18440726,0.25250345,0.22870289,0.14517441
0.137968,0.014372835,0.034751277,-0.010591844,0.08744238
0.058859877,0.07409532,0.061685026,-0.070766926,0.03197224
0.019236796,0.099663846,-0.009877851,-0.06786742,-0.08640635
-0.083807886,0.0102180615,-0.1099731,-0.12820238,-0.2431013
-0.19156224,-0.029637316,-0.08076832,-0.12240106,-0.21347365
0.13971396,0.15457192,0.060715053,0.010555746,0.11028998
0.052592367,0.13284926,-0.06101244,0.039382778,-0.16094133
-0.009710804,-0.08067789,-0.054390177,-0.0020524003,-0.14689752
0.102328315,0.059557837,0.049992885,0.02640359,0.04219852
0.02507297,0.14798555,0.06598549,0.041844405,0.002129699
0.037109863,0.03299103,-0.02458346,-0.08552925,-0.050231468
0.04951689,0.09145759,-0.0077161044,-0.11390741,-0.13664742
0.16058269,0.0648379,0.0758546,-0.04064306,-0.06356963
0.060960606,0.17445049,0.06496999,0.06756222,0.030312045
0.08771679,0.11988787,0.03100093,0.042256694,0.053127166
0.039386123,0.11586629,0.018819015,-0.0015023847,-0.055040278
