Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.021603022,-0.004464444,-0.04942376,-0.0678004,-0.09168239
-0.12702645,-0.026358275,-0.10253734,-0.087133735,-0.14374298
-0.13592954,-0.060485136,-0.08992676,-0.09718769,-0.18623221
-0.16382684,-0.025538106,-0.02547094,-0.08843073,-0.13911891
-0.05474571,-0.050074387,-0.09809783,-0.041429292,-0.11021931
-0.02511986,-0.08242273,-0.045654505,-0.09778358,-0.15382434
-0.06434942,-0.042544454,-0.039946083,-0.055245727,-0.12697595
-0.07661011,-0.039959263,-0.06723658,-0.12448572,-0.21708572
-0.12126547,-0.025999345,-0.07408744,-0.10949731,-0.14399664
-0.050960556,-0.02325515,-0.089401044,-0.055479556,-0.07246031
-0.046707142,0.012810263,0.0035869905,-0.052056022,0.0014000256
-0.066327386,0.004690307,-0.049228173,-0.10843781,-0.10972631
-0.062066413,-0.011918856,-0.065332726,-0.06352885,-0.09764801
-0.028106336,-0.0026943106,0.050567556,-0.026832458,-0.023952488
-0.21680188,-0.109894246,-0.06961264,-0.033281147,-0.22873259
-0.04447324,-0.06325887,-0.028530452,-0.13594331,-0.10698141
0.014558605,-0.0033743214,0.06686327,-0.01855348,-0.0580337
0.03325145,-0.017702732,-0.020657107,-0.034405064,-0.10908512
0.010915972,0.039047685,0.0444576,-0.026097361,-0.092138276
-0.101600684,-0.013856521,-0.020988189,-0.020581968,-0.098329134
-0.12822855,-0.08764253,-0.13205881,-0.14487967,-0.18092994
-0.11253897,-0.05697324,-0.021840945,-0.029217277,-0.08143592
-0.0308527,-0.17288089,-0.10871729,0.011637495,-0.11370477
-0.066881776,-0.029437307,-0.08915341,-0.07549721,-0.18658784
-0.12638728,-0.12602055,-0.08298132,-0.16240126,-0.20715967
-0.07824303,-0.08885108,-0.057561617,-0.1637689,-0.13597888
-0.021930028,-0.020327933,0.06282089,0.029973174,-0.050228346
-0.097483605,-0.01991279,-0.05617813,-0.12187674,-0.13142534
-0.062846065,-0.08468629,-0.09047313,-0.15921068,-0.123515725
-0.07427905,-0.06723118,-0.039272144,-0.051547877,-0.13971522
-0.050241254,-0.041589737,-0.045865547,-0.11555804,-0.12005219
0.0042746738,0.04001006,-0.05786846,0.10927364,-0.021403845
-0.026145663,-0.02687525,0.0056448877,0.037884332,-0.0684149
-0.011653027,-0.017061824,0.03555575,-0.05970334,0.00968056
-0.06329091,0.09060053,0.02034159,0.023221865,-0.011796642
0.0080967415,-0.041106682,0.032182597,-0.024746992,-0.07610205
0.0093729235,0.02964444,0.047397852,0.002031072,-0.013848949
-0.053101018,-0.01978544,0.005319843,-0.00490632,-0.036416076
-0.032519992,-0.007209327,0.040117674,-0.06987126,-0.05933159
-0.06255219,0.06285562,0.02007762,-0.042076223,-0.084034085
-0.0101701915,0.018649809,0.038037933,-0.020712124,-0.08182229
0.031932957,0.027567267,0.0042528654,-0.018067185,-0.083666965
0.07542585,0.11371356,0.054093447,0.031425945,-0.07459335
-0.03559144,0.0046217944,-0.036431137,-0.036795087,-0.03599113
0.0042400663,0.012180014,-0.03106392,-0.09578831,-0.073355734
-0.038003184,0.009520888,-0.09039421,-0.11592664,-0.04650359
-0.049880456,-0.053710762,-0.051054202,-0.1055219,-0.06514762
-0.046896048,-0.002302928,-0.027298864,-0.08128475,-0.08896139
-0.032027777,0.039950535,0.008637427,-0.04747551,-0.06981431
0.048937142,0.039045155,0.031761445,-0.06783126,-0.014086356
-0.008158738,0.061871633,0.03380808,0.06539314,-0.04640931
-0.04234516,-0.067381255,-0.02203561,-0.028549014,-0.14982381
-0.043533146,-0.039186064,-0.05307341,-0.055918477,-0.10941456
0.016676169,0.027905248,0.070613734,-0.04825561,-0.09011872
-0.037075136,-0.1409196,-0.004137026,-0.015146768,-0.14796086
-0.09194929,-0.102302395,-0.10165441,-0.14082429,-0.18821995
-0.055385638,0.022672046,-0.07121474,-0.09044971,-0.07881753
-0.09930282,-0.012344899,-0.07193863,-0.083457276,-0.10072552
-0.017905256,0.061494954,0.0200346,0.020168416,-0.07188438
-0.0987746,-0.012493841,-0.075182185,-0.11432153,-0.110781364
-0.10805242,-0.046921983,-0.10928695,-0.10168499,-0.22125217
-0.020638913,0.07711829,0.028909687,0.09451486,-0.042620417
-0.038283348,0.033418525,-0.017967125,0.0047593904,-0.028926654
-0.1060885,-0.10212684,-0.08811647,0.013534173,-0.091239795
