Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.03681852,-0.055725746,-0.07863231,-0.12869605,0.00052733533
-0.06760039,0.041279107,-0.13995284,-0.1818839,-0.13262655
0.07602732,-0.003452953,-0.013742968,-0.043805774,0.097000964
0.041859478,0.04189371,0.034058414,0.0018938733,-0.076914415
0.1301649,0.058134113,0.016408669,-0.07873619,-0.029002
0.038571708,-0.020025074,0.026642228,0.036622677,0.07016177
0.12186876,0.04940702,-0.028723279,-0.039396673,0.08307449
-0.0053265286,0.012018599,-0.10962927,-0.10154094,-0.11181846
-0.17906874,-0.08260748,-0.15872206,-0.25103593,-0.19343242
-0.06864873,-0.022956597,-0.09907754,-0.06902547,-0.12936592
0.027320653,0.00028092158,-0.0012014883,0.022980914,-0.05541414
0.027320653,0.00028092158,-0.0012014883,0.022980914,-0.05541414
0.02300946,0.0019678846,-0.06822727,-0.103515685,-0.07371971
-0.04488769,-0.055668794,-0.08413039,-0.01557938,-0.012488517
-0.06658503,-0.12253414,-0.18632296,-0.21030192,-0.0825128
-0.023010936,-0.12452373,-0.0876212,-0.114074364,-0.12136026
-0.11386932,-0.12381296,-0.13439837,-0.14445297,-0.08049724
0.062965356,-0.034162804,-0.003914561,-0.010091331,-0.047045983
-0.04036017,-0.067851774,-0.017723987,0.0045353808,-0.108776934
-0.13588366,-0.10081309,-0.04452809,-0.14462306,-0.090096824
-0.039275683,-0.017398728,-0.05688285,-0.10089781,-0.06819684
0.03255551,-0.042131387,-0.016054656,-0.11222165,0.013196176
-0.025282176,-0.05761961,0.06724066,0.0068844818,-0.09168894
0.06401907,-0.062465593,-0.054491814,-0.0844068,-0.12699822
0.18016067,0.021384146,0.11108419,0.04235892,0.071840085
-0.022410281,-0.016071772,0.016222116,-0.03475488,0.028701486
-0.014305549,-0.00421194,0.00833166,-0.086144544,-0.06901282
0.050743133,0.05230678,-0.026029132,-0.092126295,-0.031676322
0.06002625,-0.027449343,-0.017315295,-0.121193044,0.0111502055
0.031436972,-0.0133153135,-0.028415116,-0.03681464,0.008209359
0.049036607,-0.0075367857,0.020077292,0.108631976,-0.09856636
0.13045996,0.07754322,0.1016193,-0.025806302,0.053808615
0.052697476,-0.016166994,0.057234913,0.14109902,0.041769065
0.12999192,-0.001274975,0.031587183,0.04656171,-0.030159403
-0.049060624,0.046979696,-0.016350728,0.047238618,-0.06695086
-0.16969308,0.03428604,-0.11487375,-0.1071936,-0.11881591
-0.0044281483,0.06826116,0.03857526,-0.02365271,-0.011690224
0.1568681,0.042092174,0.09897865,-0.10721289,0.05625445
0.05901047,-0.013856737,0.06326377,-0.019843314,0.037913397
0.046234388,0.10311663,-0.04856612,-0.028829938,0.03854677
0.07467073,0.024741502,0.081615984,-0.04107728,-0.055839315
0.02997234,-0.07292244,0.06350071,-0.04346771,-0.09120532
0.09773581,-0.038521934,0.045718286,-0.09203075,0.035341647
0.18800583,0.06469575,0.25166973,-0.033917442,0.13276663
0.15306336,0.035428494,0.17158976,0.06851205,0.078865975
0.08315069,-0.03320542,0.1281707,0.041289736,0.06314807
0.13207057,0.057415497,0.19120142,0.12263603,0.07777186
0.14826235,0.10092037,0.042373333,0.0014676452,-0.004859696
0.13597624,0.09644837,0.023456793,0.022001887,-0.04403603
0.16765729,0.10227505,0.09643526,0.013249261,0.06399126
0.08175002,0.034891747,0.04026083,0.0039580045,0.016991243
0.13916864,0.09902189,0.11619462,0.11913513,0.12364115
0.15161893,0.16610728,0.12172708,0.009977382,0.1576544
0.10811549,0.10902874,0.07992028,0.021515418,0.026935382
0.113947675,0.11331192,0.12740943,0.03881003,0.11556119
-0.009432014,-0.011998814,-0.05373493,-0.035088975,0.020636993
0.12404235,0.06627472,0.019689102,-0.08392695,0.017962076
-0.11471171,0.030727588,-0.05123117,-0.08363379,-0.028521383
0.10375706,0.033330668,0.048080694,0.0039324015,0.0020713364
-0.0128592,0.07871148,-0.03741335,-0.05802552,-0.038078777
0.06563919,0.06426668,0.028322805,0.0032450557,0.02749585
-0.0385784,0.009411387,0.044533387,-0.018289769,-0.124957375
0.14495677,0.15091488,0.11474192,0.09194283,0.039841034
0.1576406,0.10460903,0.1295237,0.02153695,0.15086181
0.00060772104,-0.027668279,-0.03599702,-0.014738623,-0.063794605
-0.075340815,-0.010426324,-0.05635315,-0.11469756,-0.11050958
-0.050686963,0.009187927,-0.110826954,-0.10407525,-0.06700967
-0.022899907,0.020122766,-0.017219923,-0.05879721,-0.05814742
0.054215603,0.013168246,0.0071768565,-0.02563681,0.024322549
0.0009530848,0.034371644,-0.010351945,0.01813513,-0.090304516
0.018949717,-0.11389983,-0.09024197,-0.17474169,-0.018278832
0.056614418,0.07835822,0.022233326,0.010060428,0.06859852
0.066806644,0.015109936,-0.029550696,-0.07894195,0.046123873
