Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.067210965,0.115401156,-0.02426659,0.039337788,2.5099143e-07
-0.074339375,0.059396755,-0.0061080344,-0.1082634,-0.06801885
-0.029686635,0.080964915,-0.0069849463,-0.06341958,-0.05718553
-0.05549406,0.09535603,0.05006209,0.03006909,-0.13287105
0.009574723,0.14305402,0.11400698,0.026792433,-0.035057344
0.05449073,0.2098515,0.13467452,0.08318176,0.08516457
0.13340552,0.10324421,0.1566422,0.0134757105,0.056815974
0.071590945,0.079804,0.14192346,0.014819434,0.041913472
0.07553793,0.14448728,0.12968098,0.029693209,0.12397045
0.101638034,0.13851513,0.17721112,0.10102399,0.07863437
0.061656263,0.13562381,0.080485106,0.011042432,0.022870447
0.11952025,0.11742388,0.18819928,-0.011135813,0.12651718
-0.040276926,0.11806968,0.08917059,0.09476958,0.051510677
0.0954922,0.097702235,0.0661407,0.07257803,0.08123164
-0.051902972,0.088990174,0.056040768,0.0005516652,0.027312003
0.13505156,0.06822893,-0.009846284,-0.109147154,-0.0030884352
0.00890295,-0.04303531,-0.05815288,-0.11140337,-0.07664892
0.04421792,0.042897448,0.03747115,-0.008472571,0.016865047
-0.0085910605,0.061380584,-0.028890574,-0.016593331,-0.0895282
0.03217999,0.12962703,0.08387646,0.019995183,0.009815184
-0.091345415,-0.01572811,-0.06552125,-0.012274135,-0.03888374
-0.031361267,0.07278144,0.13970788,0.049173176,-0.018221714
0.16751641,-0.015547121,0.016850589,-0.02390138,0.044527154
0.13740206,0.10425836,0.050781004,-0.0964146,0.024972372
0.17145333,0.0967858,0.11993657,-0.04465537,0.08565423
0.09139858,0.085710615,0.03920247,-0.0016735457,-0.012754947
0.033629812,-0.030087218,-0.014715187,-0.019853309,-0.05832871
0.027916504,0.04269066,0.044549245,0.009331156,-0.0010434184
0.04623789,-0.0032167435,-0.0058493633,0.059483975,-0.031733032
0.03360252,0.04927594,0.059870873,0.021778287,0.12407573
0.06920627,0.072795615,0.13557743,-0.022089984,0.11113132
0.067136854,-0.0063346536,0.03132959,-0.00082377903,0.049635943
0.14844719,0.03720183,0.12225151,-0.019609572,0.09789983
0.06659888,0.03989154,0.0753943,-0.028194606,0.12826788
0.053070407,0.08583855,0.11409995,0.035309616,0.023462897
0.07604588,0.1650527,0.12705794,0.10795161,0.119011365
0.0876436,0.0713508,0.047660105,-0.01549802,0.026159868
0.12701824,0.054267216,0.0616247,-0.07318711,0.028338658
0.06820567,0.08521726,0.08470064,-0.011012722,0.017407041
0.05035237,0.022540344,0.07143584,-0.06020106,0.059802856
