Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.028919984,0.041281994,0.014006361,-0.035129264,-0.11884657
0.0727279,0.053076074,0.010282003,0.04253304,-0.03033372
0.10221809,0.1426312,0.07755388,0.06375392,0.030522317
-0.018986017,-0.0047050165,0.032968603,-0.104457304,-0.07608017
0.060755264,0.09286903,0.053781874,0.03888735,-0.053612694
0.033309728,0.09500479,0.056192417,0.009221676,-0.03962551
0.04239815,0.11780142,0.082840845,0.0999115,0.0657834
-0.025588622,0.036273487,-0.04193131,-0.039294414,-0.09404424
0.029596347,0.08441579,0.0060960986,-0.017674703,-0.044420473
0.073225185,0.20676324,0.14669943,0.07125838,-0.0045136567
-0.09583955,-0.0054924823,-0.028367536,-0.07872857,-0.04979088
-0.010859683,0.06481642,0.042667717,0.0936671,0.017618863
0.066956826,0.19213004,0.038982917,0.0044813426,0.04340758
0.0370344,-0.008868985,0.06277554,-0.0006199917,0.012999713
0.09909958,0.04916528,0.08140356,0.023165267,0.011848528
-0.027296262,0.0038705957,0.09199248,0.05192125,0.015376509
0.035780553,0.07594228,0.034414705,-0.01953756,-0.085384786
0.011664701,0.097417295,-0.0010917573,-0.027793897,0.0033715041
0.00028514303,0.15697569,0.07087949,0.054378778,-0.042771485
0.053600375,0.17741564,0.14641024,-0.011285161,0.09031649
0.025162218,0.11049013,0.10382199,-0.012603405,-0.06021682
-0.02863057,-0.02670525,0.007464582,-0.18036537,0.011864206
-0.10898419,-0.03416911,-0.03341408,-0.11106493,-0.11289103
0.027189532,0.027403442,0.054341022,-0.039796077,-0.052820005
0.08317633,0.060809962,0.07274525,-0.08659594,0.077488236
0.008852345,0.07578118,-0.028757572,-0.011966081,-0.07513298
0.037250526,0.093197,0.01157715,0.009670442,-0.068297766
0.08769199,-0.030859675,0.068176955,0.031415038,-0.09002255
0.024158396,0.10620895,0.09869018,0.049480602,-0.06820116
0.060127594,0.08417171,0.026540063,-0.032790504,-0.003791932
-0.011696394,0.043185357,0.037301656,-0.023621738,-0.10723536
-0.0055340733,-0.023556914,-0.052648805,-0.019827317,-0.1440686
-0.023843003,0.046152063,0.06560935,0.07922773,-0.08817212
-0.031884957,0.057823665,0.023632491,0.0014958214,-0.08227599
0.054472804,0.011261883,0.045709483,0.078431614,-0.036496907
0.076952174,0.24594435,0.10128312,0.17233364,0.062299266
0.016145432,0.12338073,0.022573223,0.036679164,-0.048048455
-0.038350698,-0.0158782,0.0091328975,-0.039748296,-0.17001319
-0.10430451,-0.00785294,0.002045732,-0.03469525,-0.046717107
-0.08215597,0.042533737,-0.05760677,-0.049080685,-0.17814162
0.0022804625,0.15523341,0.044930916,0.017256357,-0.055221327
0.019191552,-0.007716707,-5.1501906e-05,0.037968162,0.036991544
0.044609085,0.07189488,0.06756141,0.08328977,-0.034040164
0.045718435,0.019707106,0.0502447,-0.028915972,-0.092704765
-0.00569469,-0.033743437,0.029560372,-0.054085836,-0.17054516
0.1609495,0.038266957,0.18454218,0.066947855,0.14146844
0.0595633,0.1215345,0.00035338476,-0.006690503,0.016383462
0.055892516,0.05815704,0.08289985,0.09418781,-0.100741394
0.050724655,0.12518074,0.10973108,0.12434612,-0.092825696
-0.009969633,0.10927702,0.039585292,0.11304074,-0.059555825
-0.0062189177,0.044075117,0.03573441,0.032495987,-0.080438256
-0.0102142515,0.05578781,0.024517832,-0.03341128,-0.092739664
-0.0021837219,-0.036333695,0.094033554,-0.080445796,-0.092616394
0.029209077,0.056272313,0.046630874,-0.018460117,-0.009202817
0.04440149,0.068496756,0.07442138,0.09576929,-0.025039498
-0.0028365902,0.017193943,0.022390936,-0.022146173,-0.14351504
-0.033125736,0.11054038,-0.009938331,-0.009017874,-0.11122403
0.07584801,0.02787412,0.16340075,0.15064664,-0.030426638
-0.044497356,0.03275138,0.04301751,0.027596522,-0.0664604
-0.0143790115,0.0109981205,0.006348653,-0.0039073788,-0.06511911
0.015754174,0.13569868,0.02930687,0.035353776,-0.024751522
0.021300714,0.018680494,0.080078185,0.025935309,-0.01405949
0.044306986,0.015478271,-0.007986091,-0.068357356,-0.02933105
0.054276817,0.042728543,0.1245184,0.10772179,-0.041894227
0.026985854,0.08440088,0.10576455,0.185047,-0.07128073
0.016866703,0.0013139779,-0.005844154,0.015275503,-0.010783365
0.04340185,-0.00470894,0.048811782,0.0477468,-0.08653462
0.08978224,-0.062052436,0.04610645,0.02584085,-0.07084078
0.0196697,0.08790463,0.12424873,0.115603045,-0.053047802
-0.022949746,0.1548553,0.009983702,-0.017371403,-0.1301459
0.086285025,-0.07068823,0.029436946,-0.037480623,-0.007310448
0.0016632606,-0.021856166,0.03964802,-0.06334786,-0.055578712
0.061266158,0.029476227,0.015801316,-0.064096175,0.0056252573
-0.0023331866,-0.034894627,0.07447456,-0.082039505,-0.007868727
0.018590547,-0.0060745524,0.0009861756,-0.1168231,-0.05550152
0.0015701232,0.10536905,0.051313072,0.061810486,-0.06125491
0.06913161,0.06809862,0.009061914,0.08475214,0.024653833
-0.008253862,0.054208077,0.037257995,0.013089232,-0.02093755
0.052065987,0.14737585,0.10642782,0.07961634,0.058644205
0.0031973086,0.031097313,0.026274879,-0.069980435,-0.028887333
-0.10191497,-0.026102751,-0.062386453,-0.042748004,-0.13758987
-0.013926163,0.03376437,0.01585624,0.005404017,-0.072486944
0.031817902,-0.011251364,-0.027021293,-0.085479945,-0.08371982
