Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.020735446,0.017173762,-0.0168061,-0.0025160138,0.005382689
0.031353313,0.043914113,-0.011050696,-0.019928468,-0.013329394
0.049191996,0.059309736,0.006980478,-0.021219794,0.01954199
0.07879564,0.075271286,0.050763566,-0.011831619,0.024709087
0.058370754,0.13184534,-0.0053983545,0.048007593,0.04144858
0.13019575,0.1077003,0.0909767,0.061128452,-0.0025934
0.016015103,0.06658254,0.06671656,-0.0062892474,0.070888884
0.027959969,0.042214967,0.06733197,0.050016895,-0.02411453
0.010236761,-0.06284896,-0.10113247,-0.0072391573,-0.011354018
-0.011012515,0.047229733,0.014753735,-0.067787044,0.07114501
-0.044304345,0.059047405,-0.0118495505,0.01653178,-0.011235125
-0.053580053,0.02857326,-0.016004201,-0.0143606225,-0.0022190202
-0.021660022,-0.031095508,-0.03751129,-0.08545695,-0.03126969
0.022014933,-0.013234679,-0.01609942,-0.018436067,-0.012026476
0.01848654,0.091920756,0.038944468,-0.029547388,0.0036053793
-0.04177955,-0.056951836,-0.059504427,-0.10601023,-0.031210557
0.026533302,0.026854381,-0.00370346,-0.049460083,-0.028912298
-0.007996043,-0.0036106445,-0.052071385,-0.031596664,0.011152685
-0.056752417,-0.020499047,-0.09563241,-0.09852512,-0.09360863
0.14254573,0.01631467,0.11842015,0.087652996,0.049502365
-0.02526001,-0.049335662,-0.019356765,-0.030058295,0.024291478
0.02328837,0.081164844,0.05459135,0.015080294,0.074465305
-0.020992672,0.011145677,-0.006139705,-0.030698925,0.053120185
0.010695674,-0.11425258,-0.039265353,0.013602043,0.021108348
0.012361176,-0.047490735,-0.0035634004,0.009866903,0.020419177
-0.021351097,-0.0557468,-0.0069359937,-0.01428324,0.046567947
-0.004742086,-0.010513421,0.029534066,0.117590725,0.06406511
0.026716467,0.04368274,0.057661004,-0.010608389,0.008487595
-0.06114005,0.048452698,0.037199095,-0.020700293,-0.0051386245
-0.037552968,0.07596955,0.055613667,-0.068388134,-0.029566685
0.005986739,0.028622963,0.096660055,-0.04613906,-0.039112113
-0.088781156,0.034232907,0.004720716,-0.043097295,-0.026096731
0.047034718,-0.0030066073,-0.038241897,-0.10282786,-0.029057007
0.024676513,0.046661176,0.06427638,-0.0017653145,0.040504362
-0.00529203,0.06699333,0.07289529,0.04899777,0.029920435
-0.033623092,0.01217435,0.021223951,-0.03670767,0.04062953
-0.0012625251,0.088773996,0.036636584,-0.047047153,0.037445404
0.043850966,-0.0064792233,0.020560216,-0.010463349,-0.05895157
0.02630526,-0.017373322,0.045363516,-0.017735524,0.018030606
0.0061999597,0.06338547,0.06679667,0.104178876,0.072225064
-0.054588974,0.015986353,0.045497645,0.04682086,0.03868506
0.0065140584,0.020292256,0.00083682174,0.03131037,0.00030699512
-0.009201977,0.047005452,0.046025835,0.061116245,0.05559758
-0.028001994,0.025553515,0.047598734,0.030718507,0.0024400037
-0.027633728,0.05607741,0.06722235,0.021120416,0.08147389
-0.10961243,0.004839886,-0.022808416,-0.018674988,0.0030609583
-0.0025188252,-0.09783254,-0.014643621,-0.083922304,-0.059402063
0.016863277,-0.012137087,-0.0061420873,0.016072499,-0.0026221927
0.02337562,-0.027588753,-0.02251961,-0.077748254,0.0118261585
