Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.030375274,0.08990179,0.08418846,0.04595387,0.034351792
0.08011086,0.07733747,0.030384492,0.00023982441,-0.022188934
0.072438076,0.082636885,0.08825656,-0.0039587524,0.008551573
0.03476108,0.12836987,0.20997536,0.0221563,0.11375584
0.03699176,0.10450676,0.080718584,0.057911813,0.047744524
0.09299502,-0.03405097,0.05935197,-0.056851484,0.07385781
0.117704496,0.061290573,0.028735265,-0.0385269,-0.02335209
-0.12541978,0.030023739,-0.056677267,-0.023178866,-0.10125165
-0.09711517,-0.050331462,-0.1273287,-0.13545725,-0.16809781
-0.030752258,0.027545752,-0.03820911,-0.07829054,-0.101681724
0.002552826,0.0060526915,-0.0070088757,-0.09845805,-0.06286196
0.03456716,0.08390111,0.11171193,0.055960063,0.031684626
0.050708566,0.08434726,0.0701645,-0.04220843,-0.02623428
-0.015790686,0.08772961,0.089228235,-0.045712873,0.089689024
-0.0036798464,0.13620992,0.12608533,0.1279219,0.0471917
0.11022462,0.13151604,0.12688203,0.16961175,0.15411445
0.06046159,0.04752918,0.11007798,0.058557913,0.084383786
0.069976196,0.09887254,0.0930054,0.124622725,0.043593906
0.077502504,0.027601851,0.098606825,0.018343631,0.053757675
0.04844305,0.018729433,0.064100295,0.042517096,0.054559197
0.11017711,0.207006,0.1960119,0.26583818,0.08611061
0.09099397,0.109591156,0.060907878,0.057549097,0.011582899
0.047850657,0.12302649,0.08234777,0.042751428,0.0928677
0.074485354,0.076771535,0.08033254,-0.024350783,0.022261193
0.09965548,0.11538316,0.08517687,0.050568815,0.04454443
0.033291172,0.150269,0.04661491,0.06830411,0.052549884
0.10700367,0.1548712,0.06811375,0.13545462,0.103945106
0.085140966,0.1174037,0.10373007,-0.021220034,0.02976497
0.017702447,0.08718821,0.13262081,0.06601466,0.0205411
0.109312065,0.1743736,0.13209146,0.06027677,0.0174445
0.037714783,0.10996991,0.13561088,0.10526459,0.11620228
0.13107719,0.14999092,0.13451485,0.12623563,0.06686091
0.12811166,0.059672672,0.17625588,0.16336435,0.063973844
0.0210489,0.07957442,0.03122794,0.06619291,0.030208552
0.03325311,0.05566382,0.059965923,0.053389505,0.031043038
-0.036323182,0.08965321,0.041609086,-0.011788055,-0.00988166
0.09774284,0.25842085,0.17396024,0.18058556,0.15597935
0.05100398,0.11355251,0.045654282,0.24015507,0.0007733675
-0.030710775,0.06432561,-0.03737033,-0.06771038,-0.14157376
0.058437258,0.04060307,0.07978431,0.008037364,0.024611745
0.08508736,0.06066384,0.107868284,0.07565524,0.05819216
-0.0063566593,-0.03511034,-0.007469328,-0.055773765,-0.16005738
0.107834056,0.07996769,0.08626303,-0.012138794,-0.028141374
0.06280176,0.23102234,0.12798946,0.19402009,0.10903221
0.015900876,0.14693534,0.13886891,0.17646047,0.018082134
0.0061832243,-0.0013522133,0.0850402,-0.040988218,-0.08129646
0.05407583,0.07409248,0.09830233,-0.03364263,-0.06832549
0.13612668,0.07345911,0.14937678,0.0093614785,0.058416773
0.039017618,0.07872817,0.06599545,0.04449122,0.012608739
-0.057072617,0.04100654,0.048443384,0.032325182,-0.08981264
0.052043848,0.0879668,0.104792014,0.022099834,0.04599593
0.07472439,0.09883659,0.097525306,0.080153495,0.020002222
-0.00573274,0.021313125,0.079712644,0.06609863,0.016592337
0.005914673,0.062490687,0.048567615,-0.034315962,-0.08489738
0.076613314,0.08947417,0.061436005,0.07834625,0.041893497
0.048283152,0.13269322,0.14753112,0.12599185,0.08405331
0.09127109,0.052461788,0.09949316,0.015061756,-0.032324456
0.02780068,0.050727893,0.03109233,0.028979523,0.05026502
0.0209639,0.081468314,0.046390414,0.05646528,0.00026562344
0.059307747,0.051782288,0.08787939,0.005172575,-0.0024340171
0.032390114,0.07016877,0.08380332,0.039090678,0.016674941
0.038372602,0.033363197,0.008613942,-0.024870615,-0.039100967
0.048557103,0.097064875,-0.026208702,-0.017848428,-0.024991848
0.044460878,0.010343319,0.0042567607,-0.05309266,-0.038508452
0.08474528,0.07767892,0.07861571,0.017220326,0.123439156
0.045916706,0.11731249,0.06773222,0.108458936,0.060986646
0.08493084,0.023455767,0.16200504,0.04944984,0.017048014
0.0012440821,-0.03659683,0.007184731,-0.0087524,-0.06304293
0.095467776,-0.025267875,0.061263476,0.0075390004,0.033734057
0.038536243,0.017239345,0.06491492,0.024483982,-0.025305156
-0.004881263,0.011738832,0.03319574,-0.057143304,-0.07143706
-0.023767978,-0.006727629,0.039852962,0.057007723,-0.009269247
0.020534975,0.1072651,0.08627825,0.059558082,-0.003451351
0.0360141,0.11439155,0.10481093,0.115865365,0.0057470826
0.070069954,0.08647481,0.09977454,0.07948011,0.05347283
0.077530086,0.11214226,0.123513505,0.08336132,0.10381925
0.022358917,0.061744153,0.09229516,0.050921645,-0.009976558
-0.032694407,0.04291096,0.039544836,0.032544892,-0.050142378
-0.016126871,0.14969471,0.10837342,0.03986751,0.044432253
0.045681335,0.029099131,0.053831145,0.03619984,-0.064233914
-0.013570348,-0.037747864,-0.002398353,-0.08155146,-0.11177808
0.0055466956,0.010661494,0.0861663,0.098131076,0.018896539
0.08508138,0.07493955,0.13647558,0.035354912,-0.03789801
0.09059955,0.14257395,0.1466494,0.10375239,0.01548702
0.07192285,0.13047047,0.1674525,0.17766154,0.08294477
0.003198326,0.008221533,0.08915391,0.09437349,0.015739901
0.059792012,0.082661,0.093081675,0.11290936,0.0032140668
0.08106139,0.105242334,0.2042457,0.20897,0.08388591
0.05754995,0.08196312,0.09317216,0.06936316,0.04641903
0.07558064,0.14169304,0.16077761,0.2850378,0.09164194
0.03094997,0.130003,0.05809915,0.1409831,0.06571109
0.060187966,0.10741924,0.041079,0.07852615,0.065190025
0.007122726,0.08972107,0.10753222,0.1184229,-0.060794145
0.05381821,0.06588303,0.06682722,0.07660547,0.016499635
0.09503962,0.23670101,0.1315091,0.18310925,0.04674962
-0.026194323,0.075958386,0.078616746,0.12104064,0.06311461
0.030993175,0.08435905,0.028226081,0.100401744,0.045043908
-0.0416215,0.030530684,0.035988186,0.014775631,-0.061627846
-0.05873014,0.029195875,0.045060795,0.029062754,-0.067710645
-0.044804912,0.052224707,0.08091843,0.027571859,-0.05836443
0.031769145,0.067846075,0.08353238,0.1094078,-0.019858371
0.002086755,0.12220516,0.09904729,0.06148634,0.04358474
0.013393186,0.09329521,0.0894604,0.10468112,0.03489093
0.039983686,0.07143297,0.061991177,-0.0028907007,-0.03445203
0.05840886,0.038467903,0.11208844,0.096568525,-0.006010454
0.01871121,0.013668628,0.059345424,0.076462194,-0.054056913
0.05359219,0.14292316,0.09567906,0.09000192,-0.042969815
0.016241536,-0.010388922,-0.018928494,0.0179002,-0.08344869
0.06552741,0.031375263,0.06898473,-0.019824594,0.08291869
0.082192615,0.13322037,0.17362584,0.15809196,0.016412774
0.04015992,0.04984415,0.060609058,0.04454248,-0.038716894
0.04910484,0.053981155,0.08668733,0.07157169,0.0539721
-0.005903843,0.069668785,0.042503797,0.0334269,0.028224409
0.05351413,0.10508217,0.10693163,0.09171811,0.039430328
0.047795057,0.0009268597,0.019424284,0.0072047887,-0.014096506
0.0022184048,0.017996378,-0.0145513825,0.030676667,-0.024328731
0.04795708,0.0015430953,0.024483442,0.049306348,-0.05294527
-0.015249205,0.07546936,0.017323803,0.039949052,-0.0262818
-0.028139792,-0.032148343,-0.005101606,-0.028004805,-0.037408907
-0.046619177,0.053294193,0.008429896,0.049416315,-0.008674911
0.056543715,-0.02115821,-0.0098274965,0.013151342,-0.06959848
0.0508879,0.06359466,0.10423704,0.07290584,0.013988718
0.052554086,0.074267805,0.035964042,0.030570993,-0.06472507
-0.106152676,-0.040716343,-0.057087824,-0.05689805,-0.08391197
0.006669985,0.040135607,0.050748166,0.036660857,0.051713057
0.083580434,0.09928092,0.03770022,0.058772996,0.0026600547
0.10573509,0.067905515,0.11908451,0.03453314,-0.014428247
0.07831758,0.08249155,0.08169092,0.06815035,-0.020167531
0.010283535,0.043576006,0.0642779,0.07717004,-0.051980577
0.02512701,0.07702888,0.10161181,0.044266354,0.0031402176
-0.0339986,0.0049033314,0.040271483,-0.020560833,-0.042751502
0.042594187,-0.017016653,-0.0018298216,-0.06165453,0.014026221
0.030193582,0.059739836,0.0018479098,-0.023332821,-0.010052653
0.063990064,0.16029572,0.13536584,0.18980801,0.078354724
0.053408466,0.074390925,0.11571276,0.12522699,0.046756174
-0.01782405,0.017677376,0.02618916,0.046139818,0.0034150104
0.07581162,0.08170661,0.09146937,0.07540305,0.061596043
-0.05056442,-0.0019126944,0.0050903335,-0.013960602,-0.043282833
0.015791792,0.10126765,0.043470584,0.121069424,-0.014778553
0.014521619,0.11440365,0.08170411,0.08128719,0.005895069
0.045490615,0.071609594,0.04513622,-0.008390733,0.008053465
0.06692654,0.0953353,0.16769852,0.10352058,0.07731517
0.116319716,0.09960658,0.1384493,0.09591811,0.14766511
0.06930383,0.118255526,0.10469447,0.101577654,0.046031393
0.03828408,0.051053837,0.032223694,-0.012441037,-0.032881066
0.12519167,0.07941575,0.14793691,0.18482482,0.063817956
0.043977052,0.20958555,0.2603677,0.21761958,0.19948228
0.05150095,-0.040371377,0.03801076,-0.080275,-0.103470765
0.10195608,0.07312796,0.05030867,0.042770498,-0.052182663
-0.0037651174,0.06050474,0.011174373,0.0039228164,-0.102746174
0.00728284,0.012369819,0.009597674,0.04366223,-0.05463159
0.050676078,0.06480075,0.026261762,0.031974934,-0.050641425
0.05939228,0.11868109,0.1348429,0.07196066,0.102252185
0.08279674,0.07277498,0.09641035,0.13751271,0.06609716
0.09341895,0.12752661,0.12006152,0.11499928,0.07921055
0.07656107,0.09384444,0.08579125,0.0335965,0.032772593
0.12809071,0.05888471,0.085704565,0.09192477,0.034806445
0.13289928,0.14321545,0.18325086,0.075760245,0.1699836
0.065364435,0.05605023,0.09341951,0.054140203,-0.07765822
0.1778513,0.09848325,0.10292512,0.11270666,0.0014209902
0.07494012,0.045975484,0.03778742,0.009326516,-0.09564237
0.15548033,0.11275762,0.1735861,0.1457794,0.04991626
0.033387057,-0.013897421,-0.022445485,-0.006917758,-0.019427486
0.1804825,0.16380867,0.14582402,0.15067554,-0.01256267
0.057247236,0.020061638,0.109886274,0.019809723,-0.036266893
0.13582954,0.11734848,0.16115586,0.17612484,0.023906121
0.13392216,0.051842634,0.123921655,0.08210062,0.111844376
0.14892018,0.055785894,0.09124074,0.033340156,0.067226514
0.09505576,0.06798902,0.09039301,0.035356864,0.058961198
0.06044571,0.077813,0.10834044,0.08863352,0.17763358
0.050257564,-0.01246367,0.0070617087,0.011194069,0.09416285
0.013553444,0.07737559,0.009918308,0.078632995,-0.07145429
0.01706833,0.010210604,0.056061786,0.10763933,0.031213038
0.09441889,0.10729182,0.06770768,0.061875094,0.0526847
0.07251333,0.044439957,0.028300669,-0.0340721,-0.047686346
0.050521646,0.072975196,0.07392551,0.045738652,-0.015860515
0.1328767,0.11786353,0.12747443,0.11868404,0.049828086
0.13331418,0.06581071,0.123726234,0.026976334,0.04311512
0.13305329,0.10620538,0.12908565,0.084148936,0.053855386
0.048156455,0.1335603,0.15112585,0.19186357,0.08677593
0.14062518,0.0734418,0.106934234,0.10841192,0.033042055
0.09717659,0.09454535,0.11050241,0.07293852,-0.012053213
0.008499637,0.06746288,0.05556342,0.035035014,-0.01692539
0.0580983,0.104801744,0.10907157,0.11063254,0.056149103
0.05655127,0.013283194,0.056469686,0.080677666,-0.001465742
0.011310175,0.027395736,0.12240725,0.07759321,-0.0047508236
0.014315696,0.023321457,0.04705205,0.017413195,-0.05796333
-0.049779177,0.04160409,-0.013502374,-0.10279323,-0.05550919
0.11080526,0.13604218,0.17486165,0.18938698,0.081235506
0.104148716,0.19151402,0.15388677,0.15156585,0.08983299
0.02125046,0.1822007,0.1884845,0.24522433,0.05410406
0.09232503,0.12241295,0.14965263,0.16956401,0.07858761
0.16068217,0.06802602,0.124648914,0.020755863,0.0124770645
0.095063165,0.0696764,0.083747536,0.105437,-0.012386506
-0.010211891,0.07687636,0.10707988,0.2060135,0.0571964
0.063469015,0.025910703,0.060967244,0.030225065,-0.066690415
0.098712474,0.042676646,0.09344457,0.08714621,0.043672014
0.06288418,0.07724719,0.049658746,0.014596691,-0.028596897
0.042608764,0.05828554,0.10663068,0.030655805,-0.0036459756
0.06340182,0.00013576797,0.056459296,-0.019295884,0.02072106
0.08884728,0.061650496,0.088121146,0.08155389,0.040461414
0.03186144,0.13320172,0.17632252,0.0646564,0.009064962
0.013457764,0.059807613,0.08096547,0.044128872,-0.019940952
0.04872735,0.076255806,0.09363079,0.09304359,0.018228015
0.046839513,-0.01787352,0.05487163,-0.028634451,0.04385256
0.07913242,0.07046217,0.083632775,-0.0018929662,0.01805984
0.056258924,0.06416146,0.06292701,0.08085686,0.042070497
-0.026468508,0.052248694,0.06170059,0.109072074,-0.07249638
0.07578257,0.0565336,0.12372367,0.07607797,0.0609518
0.05297497,0.08202476,0.08674887,0.037593007,0.040160567
0.061513368,0.049637068,0.06864414,0.028859908,0.08363391
0.029954972,0.09254607,0.10217846,0.049870722,0.058530223
0.060990803,0.09473789,0.13243194,0.13840875,0.037765935
0.0927575,0.12793046,0.08750467,0.022766802,0.015473483
-0.013190896,0.029126702,0.034026667,-0.08201055,-0.06659211
0.062604554,0.09969038,0.14258309,0.17200726,0.0892033
-0.032203976,0.07615808,0.027974173,-0.030009277,0.008216
-0.005302394,0.030611884,0.022929486,-0.032768026,-0.026824106
0.010526203,0.0613503,0.085765265,-0.0035077403,0.039131954
-0.005461815,0.07896577,0.058129095,-0.0012128502,0.02696193
0.11234773,0.02437156,0.06313319,-0.1147992,0.061039973
0.024525654,0.06998975,0.089915946,-0.023545714,0.14051571
0.027857613,0.049212284,0.09011148,0.0067576743,0.045738228
0.07052245,0.071254395,0.0894513,0.029590622,0.015077231
-0.032813337,-0.017369874,-0.054727204,-0.17883109,-0.11405958
-0.0048130862,0.07749125,0.08509771,0.034449615,0.056179885
0.032659344,0.07715553,0.093540035,0.10511935,0.07745787
-4.312955e-06,0.08585945,0.08791558,-0.012851153,0.031918846
0.005480431,0.056265496,0.022724297,0.01232454,0.01575974
0.06319705,-0.015970064,0.044294357,0.030893931,0.014239344
0.049172297,0.035329424,0.04764896,-0.0671545,0.055227578
0.0009621456,0.033098046,0.054568574,0.15039307,0.021003779
0.038826294,0.032294624,0.020265788,-0.009821905,0.08863973
0.02378082,0.04929501,0.091778666,0.07418357,0.11130513
-0.06494084,0.089312054,0.016930621,-0.003134301,-0.00023364206
0.05939069,0.09742945,0.13753662,0.117406085,0.06798002
0.040307045,0.1027333,0.12721302,0.0067874193,0.024669869
0.0666464,0.071074575,0.08447699,0.031879473,0.08173814
0.05342417,0.0766101,0.122461304,0.06505952,0.04460929
0.000650381,0.19580749,0.13115731,0.10487594,0.052447118
0.06688462,0.046263307,0.09025141,0.0041195424,-0.0033135489
0.06674393,0.023696972,0.0076675303,0.05126103,-0.0050206026
-0.03131568,0.03512054,0.02127098,0.029355584,-0.0042197113
0.05486746,-0.012751914,0.028766865,0.00034751464,-0.006380628
0.09822635,0.08675937,0.06017516,0.061477974,0.025289312
0.0730598,0.05018839,0.08372494,0.08037994,0.046354316
0.05142061,0.08090373,0.11007549,0.13091943,0.011008276
0.124238,0.03439664,0.05527845,0.0062626386,0.06408652
0.08754818,0.040703226,0.05932998,-0.03179606,-0.009174443
0.028419344,-0.0024792477,0.0734455,-0.007889609,0.059320714
0.022098102,0.122025326,0.07834843,0.044685777,-0.039426424
-0.04196331,0.070280604,0.045682706,-0.0059733912,-0.06380598
0.027388927,0.16024378,0.09425526,0.060040336,-0.043351796
0.011477891,-0.054760158,-0.0034413002,-0.056276508,-0.095359445
-0.02539587,-0.012010073,0.010927338,-0.0028446857,-0.095389575
0.066374645,0.114213474,0.11738056,0.07656796,0.0056648944
0.012689376,0.067022316,0.07722036,0.007982519,0.03701038
0.023895279,0.10491997,0.16231772,0.15571457,-0.019704051
0.018099431,0.063069746,0.0487268,-0.022868108,-0.0066309934
0.043051545,0.004881295,0.022933882,0.005440958,-0.055457175
0.017038457,0.051719114,0.035796113,-0.035479285,-0.07378776
0.060324833,0.13921753,0.07683473,0.007286702,0.03978412
0.03733368,0.0061885044,0.038253114,-0.0295792,-0.045797575
0.013074497,0.115379855,0.15213121,0.08680645,0.09690602
-0.008027057,0.11290908,0.090029426,0.04118319,0.04406472
0.03287218,0.0678217,0.13477305,0.09100784,0.047145568
0.065125234,0.08558074,0.094290644,0.07878625,0.06468777
-0.084580965,0.10775855,0.063210264,0.14577198,0.041739047
0.077706724,0.054536946,0.115166396,0.043623723,0.059932344
-0.022987787,0.019975578,0.04349271,0.04875278,0.053661462
-0.006949627,0.020492665,0.04293796,0.05141882,-0.0021738056
0.026696749,0.039369673,0.08154297,0.003763551,-0.028081069
0.088692576,0.0818861,0.0864414,-0.01801653,0.047565404
0.043825157,0.11344284,0.08723583,-0.023165157,0.025318366
0.0032212045,0.06254438,0.017636012,-0.002769818,0.033438206
-0.043812636,0.08347289,0.04038062,-0.012780629,0.018229946
-0.15306616,0.02730449,0.015306858,-0.052525584,-0.06976377
0.052352626,0.12555617,-0.00477734,-0.057821944,0.06860998
0.061695598,0.047405772,0.107064486,0.10093619,0.04882089
0.07890202,0.12425394,0.17234902,0.12659425,0.08339233
0.09197568,0.03034671,0.12524995,0.032992773,0.036724877
-0.06939256,0.07969248,0.092724934,-0.048288822,0.023436299
-0.050988704,0.09535912,0.05578574,0.058514953,0.042510547
-0.14264011,0.084085405,0.064305946,0.020515252,0.04112258
-0.0044232816,0.05315647,0.0939057,0.030329606,-0.017337965
0.043573804,0.055656478,0.12709291,0.11739401,0.08619914
0.016978147,0.07235067,0.07724998,0.062393267,-0.042416275
0.003471638,0.03549206,0.019298097,0.06342545,-0.17741887
-0.052112713,0.14442226,0.11286939,0.17799456,0.020615237
-0.058531515,0.07456412,0.12806557,0.097139075,0.045527913
-0.00057936984,0.040359303,0.05486034,-0.01725746,0.016991135
-0.0067082467,0.12383049,0.10474672,0.065613374,0.06842158
0.028870948,0.05392293,0.1408445,0.03255189,0.095234595
-0.0033646217,0.018496897,0.05781202,-0.038555197,-0.11886924
0.051889557,0.053680457,0.11757338,0.030561697,-0.0022260733
0.07960025,0.0059065446,0.10691296,0.047925934,0.07016544
0.078123026,-0.0014180914,0.10291508,0.06136316,0.03735682
-0.012984627,-0.029464131,0.029825091,-0.028983038,-0.009381892
0.074784696,0.061317578,0.11137545,0.04159895,0.003752442
-0.028730348,0.06062641,0.04061199,0.02358897,0.011847208
0.0710084,0.07349084,0.07029753,0.051089488,0.026965916
-0.06292131,0.07991373,0.020454122,0.05275093,0.015807515
-0.03360705,-0.019021396,0.024931967,0.025956802,0.01658561
-0.02878011,0.05686419,0.02628757,-0.011976712,0.03764403
-0.010225728,0.035659853,0.047039878,0.06321938,-0.0035252608
-0.08612089,-0.10002965,-0.089117855,-0.12020704,-0.109206006
0.03263694,0.07790924,0.08534347,0.07644276,0.057218246
-0.0044188164,0.08324884,0.040033285,0.026977647,0.0150030395
0.04370677,0.10514379,0.07236258,0.076373756,0.0007899329
-0.028965484,0.049016364,0.02970444,-0.064660236,-0.05715494
0.014657041,0.096257985,0.104289636,0.08177299,0.028470207
0.043676313,-0.037800536,0.011893446,0.0009349119,-0.05499922
0.0048875446,0.04927326,0.08777268,0.08370285,0.04073098
-0.043728426,0.01786649,0.028099602,0.065497406,0.019776896
0.10641408,0.027332263,0.12902546,0.03806533,0.064627506
-0.015912991,0.0755509,0.091573104,0.13985033,0.04450056
0.05673556,0.026321596,0.058257792,-0.06859906,-0.024300301
-0.020957267,0.014780519,0.026621064,0.047390647,-0.056777928
0.0629954,0.17764369,0.14122628,0.02038879,0.026280073
0.020560117,0.058660172,0.07119786,0.077270165,-0.06904105
0.022622287,0.07687996,0.09747085,0.04721597,0.06401771
-0.018256508,0.031310663,0.05926355,0.057994414,-0.05029523
0.008876222,0.01129685,-0.03388322,-0.022940207,-0.06636628
-0.0727718,0.0020039715,-0.037609283,0.0583331,-0.07583082
0.0320827,0.018303465,0.1739912,0.17554553,0.19674717
-0.023095991,0.1098173,0.16360278,0.18275759,0.15308756
0.017222196,0.025311127,0.07629147,-0.04015531,0.05337502
0.07320661,0.10102121,0.14024398,0.08944528,0.11700094
