climate policy;19.96
climate change;19.01
issues climate;14.84
climate research;12.13
climate response;11.43
climate finance;10.73
climate priorities;10.69
latest climate;10.18
global warming;8.91
climate data;7.85
climate fund;7.48
climate model;6.44
global climate;6.2
climate projects;6.01
climate science3;5.69
climate crisis;5.05
climate projections;4.19
climate risks;3.93
environmental problems;3.77
global greenhouse;3.57
climate foundation;3.03
environmental change;2.95
global environmental;2.89
2020 growth;2.71
environmental policymaking;2.54
sustainability analysis;2.52
climate mitigation;2.51
climate variability;2.5
studies global;2.47
emissions 2020;2.44
2019 unfccc;2.38
hurricanes;2.35
ipcc fourth;2.28
policymakers introduction;2.19
unfccc 2015b;2.15
climate 2019;2.11
environmental climaterelated;2.08
annual global;2.02
climate droughts;1.91
2019 ipcc;1.89
emissions data;1.86
design climatemitigation;1.78
decade arctic;1.78
recent studies;1.77
climate plans;1.75
changes biogeochemical;1.75
2020 floods;1.74
fourth assessment;1.68
climate shocks;1.65
report intergovernmental;1.63
bioenergy plantations;1.62
climate impacts;1.62
climate services;1.6
2019 pandemic;1.6
increased droughts;1.58
ipcc 2014b;1.51
climate observations;1.46
climate negotiations;1.45
climate evaluation;1.45
climaterelated disasters;1.42
advancing environmental;1.36
climate variables;1.35
2020 rainfall;1.32
2020 exceeded;1.31
climate vulnerability;1.26
social environmental;1.25
2019 heatwaves;1.25
workplan 20202025;1.24
deforestation substantially;1.22
pandemic unprecedented;1.21
meetings 2019;1.2
decades warming;1.19
antarctica 2019;1.18
2013 typhoon;1.16
annual fossil;1.15
2008 antarctic;1.11
storms 2013;1.07
widest tornado;1.06
innovation environmental;1.05
2020 oxfam;1.05
org climatechange;1.04
climate conferences;1.03
20201116_worlddisasters_full pdf;1.03
climate feedbacks;1.03
ecosystem shifts;1.03
ecosystems phenology;1.02
ecosystems 2015a;1.0
flooding severely;1.0
intense rainfall;1.0
reductions emissions;1.0
15storms year;1.0
2013 annual;1.0
