wildfires;39.96
climate change;39.06
climate;30.83
climate agreement;29.13
global warming;21.64
climate crisis;15.19
hurricane;13.13
renewable energy;11.98
carbon emissions;11.35
paris agreement;10.28
effects climate;9.47
climate policy;9.06
fight climate;8.8
paris climate;8.79
global pandemics;8.44
stop warming;8.44
president biden;8.36
atmosphere warming;8.36
withdraw paris;8.25
warming occurred;8.15
climate action;8.1
greenhouse gases;7.92
climate energy;7.47
epa;7.46
year warming;7.29
tornado outbreaks;7.18
pandemic;7.18
additional renewables;6.88
warming say;6.81
warming need;6.79
warming likely;6.77
man warming;6.51
warming new;6.47
exacerbates warming;6.36
arctic;6.26
worries warming;6.04
renewables forced;5.62
devastating tornado;5.56
devastating climate;5.54
renewable effort;5.53
paris accord;5.52
significant tornadoes;5.08
renewable acknowledged;5.07
climate concern;5.01
anti renewable;5.01
storms;4.86
diesel vehicles;4.78
climate strategies;4.74
protests;4.68
emission greenhouse;4.61
drought;4.6
emissions reduced;4.55
trump decision;4.41
year tornado;4.41
emissions green;4.41
reduce greenhouse;4.4
gas renewable;4.39
penguins behavior;4.35
biden plan;4.21
global temperatures;4.18
biden takes;4.17
western fires;4.16
climate talks;4.0
trump withdrawal;4.0
tornado reports;3.96
climate plan;3.94
antarctic penguins;3.93
climate advocates;3.91
update climate;3.9
billion renewable;3.88
state tornado;3.86
political climate;3.85
treat climate;3.85
trump epa;3.84
president climate;3.8
gains renewable;3.75
country renewable;3.75
joe biden;3.73
mitigate emissions;3.72
president trump;3.7
treaty climate;3.52
climate protests;3.51
emissions remain;3.48
biden wednesday;3.48
zuckerbergthis;3.44
changer climate;3.43
fires growing;3.4
fossil fuels;3.39
adapting climate;3.39
saying fires;3.38
clean energy;3.33
impact climate;3.29
climate legislation;3.27
dioxide greenhouse;3.27
climate programs;3.26
storms tornadoes;3.26
climate challenge;3.23
coronavirus pandemic;3.19
exxon mobil;3.15
biden vote;3.14
