Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.07200311,0.09156599,0.030786032,0.12633188,0.015606543
-0.026533563,0.03257521,0.030832002,0.17581402,0.026025265
0.10368082,-0.052743334,0.053525254,-0.0029952955,-0.03567629
0.048776846,-0.05669509,0.07861277,-0.0041990746,0.024301207
-0.09684093,0.08276934,0.022152426,0.014902443,-0.08492823
0.045774862,0.11457294,0.11616122,0.15688905,0.056550294
-0.049308326,0.21835282,0.06786636,0.065591715,0.012312106
0.016501874,0.14103901,0.037722543,0.060182292,0.03397856
-0.034334794,0.0023112283,-0.037992507,-0.07942679,-0.099423125
-0.090916626,-0.0038809944,-0.026553042,0.07191895,-0.11587899
-0.06592118,0.054632872,0.049021237,-0.0025305003,-0.027224842
-0.03604017,0.09402844,-0.0404936,0.036944076,0.026566898
-0.035128105,0.120335504,0.11638734,0.06836066,-0.034487784
0.06672116,0.025717821,0.13990924,0.06698629,-0.0055117095
0.0035515446,0.031927973,0.017915536,0.028277421,-0.05221637
-0.025228303,0.049836274,0.056258775,0.06543908,0.0079608215
-0.030085072,-0.005112402,0.039536614,0.0139511805,-0.05408785
