Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.10769357,-0.015208299,-0.04667026,-0.084543146,-0.098639585
-0.02933157,0.08943881,0.02050095,0.040580645,0.051024165
-0.07109899,0.004829047,-0.024198309,-0.049705796,-0.097549826
-0.04543493,0.0039499584,-0.018814199,-0.038332447,-0.10933896
-0.011198182,-0.022072949,-0.037877724,0.0063915337,-0.11167842
0.022724545,0.003996647,-0.037481815,-0.06732694,-0.013710078
0.046753105,0.050342962,0.06757638,0.019319413,-0.02841867
-0.055593632,0.07211797,-0.09414218,-0.05086552,-0.13478342
-0.14730084,-0.049383394,-0.123867854,-0.12228832,-0.19465128
-0.0937746,-0.08862754,-0.14250988,-0.12522222,-0.19126976
-0.054742634,-0.000504342,-0.090224355,-0.09623076,-0.11872965
-0.07576546,-0.000707319,-0.10627324,-0.09093927,-0.20562619
-0.0023812288,0.063116364,-0.033928074,-0.046151884,-0.07933059
