Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.028207917,0.06603206,-0.0237656,-0.006650393,0.03929788
-0.024332155,0.064771794,-0.029756092,0.03619018,0.00025993772
-0.057052866,0.053078312,0.0010674316,0.07005271,0.050673325
0.039481282,0.17842892,0.07506746,0.017480765,0.07766253
-0.04052506,0.10397533,-0.025690299,0.022114668,-0.006200189
-0.0882369,0.01747622,-0.06604199,0.018361649,-0.06387508
-0.0640789,0.073746465,-0.01271379,0.053768277,0.058566947
-0.10422575,0.048697866,-0.06540418,-0.041124396,0.03370049
-0.02761276,0.040971685,-0.029830303,-0.017945483,0.04496254
0.063692346,0.019736081,0.010656672,-0.054513622,-0.020606805
-0.029429587,0.0079962555,-0.030927625,0.04848676,-0.029407652
-0.029398765,0.07330902,0.0048858095,0.061462175,0.07004748
-0.09740659,0.010017571,-0.023361418,0.13828489,0.03685983
-0.13260527,-0.028630737,-0.04854677,0.04125253,0.045167983
-0.06700651,0.009013182,0.019289352,0.056962065,0.009196956
-0.11059078,0.14853083,-0.0045145466,0.005152419,-0.010797055
-0.112797536,-0.01680559,-0.10664379,-0.09645033,-0.014410812
-0.065010354,-0.05445852,-0.07875019,0.0028667047,-0.027944619
-0.060260274,0.009008318,-0.0749958,-0.021640455,-0.04773182
-0.1083025,-0.04576686,-0.06842042,-0.050701298,-0.014637932
-0.0899219,-0.02942579,-0.11556506,-0.11188443,-0.0633667
-0.044466343,0.06954134,-0.018955387,0.05466872,0.045349978
-0.09392779,0.05702298,-0.05838513,-0.060386725,-0.030949788
-0.07464132,0.078849316,-0.021647666,-0.019810839,0.008216538
-0.039497674,0.1105462,-0.023633406,-0.021241967,0.035079174
-0.025366612,0.071125835,-0.055959444,-0.043304548,0.016082484
-0.09024659,0.08293769,-0.040098894,-0.024866026,0.03383919
-0.07637656,0.1672485,0.03201264,0.035427667,0.013982259
-0.010835828,0.043801617,-0.01529152,0.079515815,0.014719047
-0.0015817434,0.055871844,0.023667509,0.014174646,-0.02576633
-0.0030883825,0.09742552,0.0363469,0.03211231,-0.049427386
0.01348505,0.10062918,0.027519252,0.06732854,0.1120986
-0.08373688,-0.0010751992,-0.037348356,0.06630177,-0.059910312
-0.020992203,0.031164413,0.015627105,0.016764764,0.00969037
-0.023068104,0.031258315,-0.02736465,-0.033209555,0.008348895
-0.05057706,0.041801304,-0.008279141,0.09068181,0.033869136
-0.05054675,0.052645527,-0.06034526,-0.010418039,-0.016078467
-0.011743433,0.00049303845,-0.025219018,0.024901785,-0.031884134
-0.027260922,-0.030877823,-0.0822786,-0.0587132,-0.1298108
-0.06764729,0.006957354,0.013943765,-0.013560054,-0.025043728
-0.04019674,0.09556616,-0.037083417,0.08092988,0.03422629
-0.025335874,0.10935207,0.005641435,0.056285154,0.030306669
-0.02274607,0.07992962,-0.012342365,0.029691124,0.02712427
-0.031581864,0.08601981,-0.0034530754,-0.017219141,-0.022533715
-0.00721486,0.090065554,0.0009845896,0.0873351,0.0046625715
-0.015797906,0.09249853,0.030181587,0.06836331,-0.033054806
-0.025953826,0.04894033,-0.0076274425,-0.04039433,-0.034672678
-0.03201644,0.0413462,-0.00997407,0.025467135,-0.0011767931
-0.04094015,0.05006481,-0.044594787,-0.015260942,0.06451917
-0.058947124,0.05428636,0.0062887124,0.06852944,0.05136753
-0.060078457,0.013153432,0.056212567,0.21544759,0.09524512
-0.126552,-0.044131856,-0.06192494,-0.08329123,-0.04657755
-0.23860848,-0.07786441,-0.07821842,-0.02354505,-0.10882967
-0.041723475,0.04044575,0.033159174,0.07895647,-0.053454533
-0.0012155655,0.13617757,0.07225577,0.21739654,0.21608317
-0.0027127862,0.15666425,0.04537036,0.09489096,0.049164277
-0.097177655,0.038409133,-0.03192679,0.05039937,-0.010434521
-0.00036583375,0.14222829,0.059980985,0.10857774,0.05584288
-0.036873646,0.16881755,0.036575936,0.026676575,0.067132704
-0.094427295,0.0063846875,-0.07890992,-0.018714532,-0.05626998
0.0024905242,0.26932397,0.11881011,0.16304049,0.08773242
0.0088855475,0.117541164,0.14891516,0.19942658,0.05947046
-0.021614244,0.007111434,0.023466222,0.027290085,-0.0013993037
-0.044089183,0.051466733,-0.036706842,-0.059050336,0.031954378
-0.019804545,0.018068865,-0.025542894,-0.0278011,-0.054756373
-0.13654226,0.03812133,-0.026462369,0.043148734,-0.0640658
-0.0029306374,0.025087597,-0.030995961,-0.019279797,-0.06156914
0.012511348,0.079750575,-0.051493466,-0.025551941,-0.0931433
-0.07303515,0.110886246,-0.010108886,-0.0062472858,-0.0044851415
-0.064478405,-0.009603182,-0.08558761,-0.07353487,-0.11020721
-0.20792554,0.056081276,-0.06920325,-0.009542502,-0.09419697
0.036233146,0.031795643,-0.061163865,0.009419909,0.026613578
-0.07658006,-0.078907795,-0.060143463,-0.021206588,-0.0052741654
-0.04769591,0.1293947,0.008022213,0.12141834,0.0011582505
-0.061464507,0.044334922,-0.032290906,-0.017853249,-0.039573688
-0.056104243,0.03833406,-0.06516863,-0.047307983,-0.010783489
-0.04881213,-0.004746996,-0.04053747,0.044144265,0.034548357
-0.09720492,0.06155561,-0.01889294,0.0060053067,-0.011192907
-0.03550055,0.06398555,-0.0044723665,0.0953652,0.06636243
-0.120622225,0.062661186,0.029340088,0.21880242,0.022021223
0.09227805,0.122334026,0.04332123,0.041640833,0.05937902
-0.09481613,-0.10912735,-0.12238084,-0.014488422,-0.056901086
-0.011881856,0.033670284,0.025883377,0.05460293,0.00390423
-0.08203166,0.01600479,0.020384423,0.06529085,-0.019134868
-0.052637175,0.08663751,-0.021432564,0.10909906,0.03320044
-0.017172337,0.13005146,0.033568367,0.053715594,0.01542108
-0.16246116,0.07424356,0.004933428,0.08447451,0.029225802
-0.09599597,0.0668679,-0.053739663,-0.0031667687,-0.08077565
-0.15674761,0.09044393,0.0058708843,0.06575566,0.0296671
-0.15982068,0.1446086,0.13402835,0.1060299,0.09278229
-0.23896429,0.100442395,-0.003544379,0.09664264,-0.04556395
-0.113818176,0.0954837,-0.03746879,-0.017033089,-0.051002495
0.033067882,-0.04259614,0.039256446,0.096980914,-0.05520238
-0.04498401,0.1574637,0.016962264,0.03842798,0.026648594
-0.103459924,0.0662884,-0.06979315,-0.03512509,-0.17176364
-0.14263116,0.0859726,0.0023804547,0.02696829,-0.13761505
-0.054682564,0.055087622,0.022675335,0.13139173,-0.0008657545
-0.058338765,0.06617677,-0.011209096,0.15009914,-0.04897348
-0.037183464,0.023541683,-0.014665639,0.01569395,-0.028333683
0.018897116,0.0049005803,0.03525623,0.20856749,0.10131067
0.040631317,0.031307723,0.031028582,0.15022378,0.036580704
-0.049165092,0.038118687,-0.006847186,0.06641351,-0.0100344755
0.04324216,0.02824014,0.05646331,0.13210762,0.052393116
0.035404567,0.11287108,0.14852382,0.16180098,0.067276224
-0.031354796,0.06320153,-0.02321528,0.014589075,0.05604457
-0.017926222,0.04009963,-0.019400354,0.057235364,0.040765967
-0.039481573,0.009377414,0.0032646107,0.05369031,0.027309043
-0.09172996,-0.038546607,-0.031230336,0.059893724,-0.06582529
-0.07299815,0.07322286,0.022123193,0.09381708,0.009920374
-0.03128998,0.08413869,0.04264184,0.12490058,0.06986034
-0.030309156,0.000300562,0.0022485834,0.046304643,0.020053834
-0.08645221,0.028023325,-0.07972782,-0.07406436,-0.10831115
-0.060484864,0.03431551,-0.056009978,-0.060448233,-0.0358185
-0.07726904,0.13452406,-0.028795762,0.005316319,0.0014773272
-0.072396144,0.058114648,-0.02961548,-0.026094532,-0.00013242662
-0.12398018,0.0032229878,-0.025523849,-0.03454229,0.01646866
-0.0054526445,0.068314716,-0.058882892,-0.07974774,0.035181068
0.045944307,0.19002439,0.054523863,0.08923693,0.039982576
-0.0409693,0.03743494,-0.056078292,0.06605701,-0.019811772
0.00056333095,0.091262214,0.015782937,0.033227883,-0.006188562
-0.020644054,0.08003103,0.02830867,-0.0006640438,-0.072194695
-0.036463648,0.07646701,0.064648814,0.14142515,-0.021669578
0.0010611471,0.1568184,0.070059046,0.079346605,-8.040294e-05
0.057259068,-0.006149603,-0.041612394,-0.04682731,-0.025611825
0.007257354,-0.06661806,0.030189402,0.109341666,-0.1190935
-0.004920554,0.017682059,-0.032412246,-0.016708562,-0.006906936
-0.09500151,0.087044604,-0.064892404,0.025594778,-0.031700823
-0.007032752,0.03776157,0.035779186,0.10651875,-0.00892391
-0.04670337,0.08022562,-0.026334599,-0.06077122,-0.010202384
-0.056294568,0.003512296,-0.03429869,0.031684134,0.010991517
-0.043750837,0.11081013,-0.002813999,0.026056262,-0.010373671
0.029162562,0.14152338,0.10883128,0.11823548,0.018344823
-0.060988527,0.060568355,-0.026389934,0.10602158,-0.024012428
-0.024175262,0.17880616,0.057406742,0.1127248,0.05188115
-0.04940168,0.15497044,0.08640565,0.203327,0.09576701
-0.034553036,0.06859306,-0.009836216,0.061775543,-0.0038445517
-0.011498719,0.16435826,0.044235997,0.08461841,0.083320834
