Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.025745459,0.073679894,0.024114668,-0.05315541,-0.031802997
0.10141898,0.14752133,0.08767928,-0.009553539,0.044535864
0.015325351,0.06659447,0.037089363,-0.016167935,-0.0050309827
0.018777117,0.03588748,-0.020497087,0.015743243,-0.038367443
0.03659948,-0.06746918,-0.02925919,-0.01597071,-0.106115684
0.08273662,0.10076018,0.09305404,0.08048436,0.0067703743
0.10610516,0.0640984,0.0666218,0.12266646,0.025062095
0.045719422,0.070012346,0.048717868,0.061478205,0.007365669
0.08676882,0.016324796,0.061220676,0.036427416,-0.06370561
0.029519424,0.04829778,0.04173539,0.100685164,-0.07547425
0.029575825,0.06695246,0.019914217,-0.04266072,-0.07258974
0.021029536,0.049257156,-0.006275016,-0.020036038,-0.09394861
0.021737233,0.092298046,0.012733087,-0.015454803,0.013206879
0.044528645,0.067865744,0.02464278,-0.005177457,0.009898817
0.16782343,0.031998,0.041341197,-0.013390947,0.019228961
-0.04138545,0.061108325,-0.11007511,-0.18887526,-0.06180066
-0.08182296,-0.051882703,-0.15754089,-0.22279197,-0.2088828
-0.026880626,-0.00013865903,-0.057446375,-0.11272815,-0.18332289
-0.00367813,0.14806765,0.061330996,0.07414499,-0.058568984
0.022372317,0.0936612,0.05446279,-0.014683486,-0.031924486
0.088919885,0.061523095,0.037262417,0.0073524304,-0.0056771967
0.040376175,0.00048702955,0.016765552,-0.056452498,-0.033150144
0.058153305,0.041758426,0.048223108,0.03709474,0.012420524
0.16210243,0.07722917,0.06311241,0.050806195,-0.011859726
0.04570311,0.07614709,0.021742642,-0.026324937,-0.052632987
-0.0030928906,0.10560082,0.06998721,0.004031799,0.032468393
0.04205311,0.054947138,0.04630847,0.08039966,-0.022882663
0.07519676,0.08270958,0.06803317,-0.0011480749,-0.043209925
0.1313986,-0.048291087,0.08089257,-0.0069763027,0.014267592
0.02804417,0.123308375,0.053557944,0.018105078,-0.046048716
-0.054181017,0.013844092,0.0074662445,0.013456479,-0.112277836
0.14502814,0.050652888,0.053532455,0.069116704,0.043301653
0.022449821,0.12354191,0.09804973,0.21328771,-0.088879295
-0.03320137,0.20462756,0.03012859,0.15003216,-0.08494905
0.028717168,0.12895298,0.09829153,0.14403597,0.029865723
0.06380641,0.0934442,0.048800476,-0.027550858,-0.074159876
-0.014582455,0.04141805,0.009987881,-0.017526606,-0.09123106
0.044532437,0.06617266,0.12629792,0.13018194,-0.020297429
-0.010378849,0.044553347,0.0021878185,-0.018163802,-0.08690297
-0.016935911,0.031101828,-0.05637123,-0.09688944,-0.14211005
