Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.010781514,0.08385688,0.005932939,-0.018014679,0.009970959
0.033866063,0.122091465,0.045753386,-0.0049225595,0.04444875
0.0027685296,0.05793175,-0.018284757,-0.022664964,0.118001394
-0.0063619455,0.059102133,0.04706969,0.029963987,0.075082555
0.052787267,-0.0055069937,0.011723301,-0.055796474,0.0039232927
0.065344214,-0.0068712416,0.011244589,-0.03905585,-0.008769442
-0.006522192,0.025477596,-0.028826784,-0.047961015,-0.024119694
0.031168677,0.11309617,-0.0052765193,-0.031082291,0.009545704
-0.024436643,0.014082007,-0.010910697,-0.06684922,-0.022457123
0.0076755453,-0.062416106,0.029774962,0.015153542,-0.06140311
-0.021591686,0.0024487786,-0.08994123,-0.082733534,0.0033137277
-0.011419414,0.028004283,0.0207305,0.021262284,-0.023535956
-0.02821616,0.05608053,-0.037948817,-0.07805741,-0.039796174
-0.016054297,-0.004621596,-0.0054841386,-0.05792956,-0.101345375
-0.039290603,-0.06585936,-0.012460906,-0.0829024,-0.050619375
-0.027311603,0.017268239,0.027188312,-0.028782971,0.014621925
0.020124286,0.028704002,-0.0535049,-0.08535449,-0.0019421438
0.029166147,0.03657634,-0.031390075,-0.048805512,0.033846192
-0.0035074772,0.0675085,0.020584133,-0.04275874,0.031752106
0.05752386,0.0082911495,-0.010096471,0.0005168393,0.067704335
-0.024269978,-0.0012524277,-0.057020053,-0.10306808,-0.026424928
-0.021131258,-0.004867709,-0.026446046,0.013193008,0.03337339
0.03390944,0.01874218,-0.0041822055,-0.04062502,0.031525224
0.012833782,-0.005034315,-0.046161845,-0.02852681,0.015976187
0.03736416,-0.0052320575,0.023479387,-0.020813297,0.07085829
0.027331308,-0.008425929,-0.024321746,0.024246719,0.063048095
-0.0047003627,0.06414392,0.013556663,0.051202588,0.06571371
0.017611546,0.09103513,0.0036534283,-0.029577106,-0.035696328
0.110355675,0.11312467,0.100797735,0.038397387,0.030188343
-0.031828403,0.10175345,-0.006181905,-0.019437997,0.00076751783
0.0035224531,0.0046023596,-0.05732245,-0.16635808,-0.048336565
-0.07038298,-0.02410356,-0.053024787,-0.092109874,-0.06417383
0.079864815,-0.013195524,0.06371262,-0.021723015,-0.0016413052
0.1026677,0.008437614,0.070019536,0.034601163,0.015906293
0.015391139,-0.056341507,-0.060470715,-0.033034787,-0.03366203
0.007522056,-0.052432057,0.01795595,-0.05046684,-0.015347435
0.0027142838,-0.008716073,-0.054552317,-0.19381067,-0.092821896
-0.008351104,-0.045120597,-0.025871828,-0.10252456,-0.0839359
-0.0715234,-0.11536183,-0.08356808,-0.1874314,-0.044867665
-0.025701152,-0.04404608,-0.040956244,-0.17497012,-0.106678195
0.0015657737,-0.058099262,-0.024444412,-0.07987888,-0.0856009
-0.10993424,-0.13416384,-0.038681306,-0.09567599,-0.18972063
