,Care,Fairness,Loyalty,Authority,Sanctity
,Harm,Cheating,Betrayal,Subversion,Degredation
0,-0.015158187,0.06989634,-0.009250421,-0.05945186,-0.048917975
1,-0.055987053,0.008207612,-0.08272325,-0.023415394,-0.05634042
2,-0.033217695,0.044463,-0.0405366,-0.04485336,-0.15609956
3,0.027749952,0.026844058,-0.031661138,0.0041972157,-0.08153543
4,-0.012323314,0.05168178,-0.024798064,0.022234142,-0.16263297
5,0.028515318,0.062977046,-0.033957154,0.0171346,-0.06746488
6,-0.09757763,0.043930717,-0.084749356,-0.07514526,-0.05206699
7,-0.07176429,-0.041603003,-0.075188816,-0.05933222,-0.15278593
8,-0.043082654,0.044365045,-0.069978274,-0.0549886,-0.093317345
9,-0.0099313855,0.04148948,-0.08257576,-0.076920554,-0.13714017
10,0.02011227,0.07264598,0.024955057,0.042962402,-0.05668007
11,-0.023904465,-0.043056943,-0.098667115,-0.09380257,-0.109795496
12,-0.01411253,-0.05434656,-0.024447907,-0.03877564,-0.105026826
13,-0.024086889,0.06614266,-0.04090173,-0.06607746,-0.08763019
14,-0.009170257,0.054248646,-0.002124332,-0.033798996,-0.052254807
15,-0.029665682,-0.08620225,-0.06640726,-0.028724108,-0.1396239
16,-0.021866914,0.042825088,-0.054325093,-0.060586814,-0.045195825
17,0.003220452,-0.027386792,-0.00093498547,0.010429952,-0.04223465
18,0.064127706,0.11440154,0.09231512,0.106932886,0.045708597
19,-0.02697053,0.06811527,-0.07297516,-0.0906989,-0.070942655
20,-0.039200384,0.07539337,-0.03995236,-0.052866276,-0.10650927
21,-0.04291399,0.09575292,-0.09672709,-0.08752843,-0.09501586
22,-0.0260321,0.13173321,-0.046563853,-0.08585147,-0.027362613
23,-0.036390543,0.01670798,-0.050005905,-0.08183964,-0.104615726
24,0.0155331995,0.008403284,0.043598615,-0.013803732,0.010126632
25,0.031071965,0.034299746,-0.051691346,-0.065693915,-0.12183547
26,-0.012314631,0.037478343,-0.041090146,0.013349814,-0.013606598
27,-0.030318547,0.099813975,-0.018281009,-0.044169657,-0.085068166
28,0.033796456,0.07047898,0.029692154,-0.028571354,-0.0047377236
29,-0.06195151,-0.05800275,-0.16067876,-0.13519606,-0.10036438
30,-0.12097429,-0.031038007,-0.11708175,-0.05868692,-0.1569905
31,-0.08731708,0.014744692,-0.104861066,-0.07015307,-0.16361436
32,-0.048823822,0.0594923,-0.04527011,-0.024606884,-0.092240036
33,-0.013449451,0.070015565,0.005422307,0.008145725,0.010919057
34,-0.0015570549,0.036416758,-0.018998876,-0.03626356,-0.060416024
35,-0.040437184,0.028324435,-0.031685222,-0.016553069,-0.055664543
36,-0.013071764,0.044148818,-0.041693565,-0.00725938,-0.11311111
37,-0.0057848115,0.034040637,-0.023342747,-0.037967224,-0.061953954
38,-0.035531927,0.015154878,-0.03342844,-0.06144795,-0.09595496
39,0.053758677,0.087078735,0.04651887,0.010613553,-0.026312651
40,0.052212507,-0.0025122818,-0.0071128486,-0.029027794,-0.15843423
41,0.0841498,-0.0012650806,0.011048114,0.023921644,-0.06415105
42,0.04891608,-0.063465774,-0.07721926,-0.020437686,-0.073296
43,-0.04479448,0.06262774,-0.0678018,-0.06631691,-0.13535424
44,0.0029577818,0.038612634,-0.031077629,-0.030625066,-0.09207244
45,-0.022466516,-0.04785532,-0.088555455,-0.10121791,-0.066192366
