,Care,Fairness,Loyalty,Authority,Sanctity
,Harm,Cheating,Betrayal,Subversion,Degredation
0,0.037244156,0.09590588,0.010283988,0.097223684,-0.04478927
1,0.050553486,0.10390393,0.012924399,0.092437565,-0.043142967
2,0.08518505,0.07940645,0.034003746,0.07629889,0.02745809
3,0.13246153,0.12003587,0.053602308,0.07897855,0.012264358
4,0.06594088,0.1270826,0.013078723,0.042974588,0.014282476
5,0.056456096,0.05009576,0.01657514,0.020576216,0.0043706447
6,0.082654186,0.053788435,-0.02728006,0.012855346,-0.015630994
7,0.058885667,-0.01600674,-0.076719224,-0.084779695,-0.06367379
8,0.057803594,0.07672006,0.0031922786,-0.044937264,-0.0142067345
9,0.077269584,0.020764824,0.03738432,0.05661401,0.01608108
10,-0.07822545,0.07689974,0.020555757,-0.094108574,-0.041520927
11,0.058431447,0.08933669,0.06965462,0.08651459,0.036083024
12,0.013400102,0.08147398,0.05029081,0.03739849,0.062499948
13,0.04840915,0.087159544,0.055511884,0.035786077,-0.0479175
14,-7.590279e-05,0.015735632,0.0077299313,-0.019931886,-0.010574468
15,0.07671097,0.08673303,0.04939015,0.08046482,0.04974507
16,0.09463825,0.07344454,0.05612109,0.07743226,0.046002563
17,0.020475138,0.11521519,-0.004907657,-0.00015098974,-0.021030784
18,0.057321057,0.053089514,0.06180665,0.08684082,-0.033355787
19,0.0014970526,0.045432754,0.044674914,0.12529542,0.06903485
20,-0.017023994,0.04085999,0.019645054,0.0008356741,-0.0841309
21,0.04064744,0.09784058,0.054646797,0.08915453,0.0169412
22,-0.0018939245,0.010679931,-0.05516652,0.002814536,-0.052451372
23,-0.01016092,-0.024427567,-0.029011946,-0.0153488815,-0.078523435
24,0.10848793,0.06788146,0.04747307,0.10738524,-0.016108088
25,-0.048299946,0.0072213896,-0.035685666,-0.05100429,-0.14788038
26,0.08350001,0.053518973,-0.0017384221,0.023388367,0.008896388
27,0.058947984,0.07457756,0.024953492,0.05473394,-0.003922684
28,-0.00958953,-0.025864936,-0.08147077,-0.018461451,-0.0016381852
29,0.10845793,0.0675744,0.0051492313,0.004410933,-0.0023661503
30,0.0909992,0.065102026,-0.020178149,-0.0514973,-0.04287459
31,0.065696165,0.043972395,-0.0026347495,0.052770942,0.012670961
32,0.043198884,0.07172454,0.002220301,0.04992403,-0.05017133
33,0.11016334,0.04467333,-0.006898026,-0.037819937,0.013828883
34,0.0025266898,0.0863844,0.0021857815,-0.02746394,-0.067870654
35,0.012298682,-0.0021392484,-0.100590624,-0.11469729,-0.106338374
36,0.10159602,0.035553068,0.023583846,0.039512664,-0.06985767
37,0.015944388,0.082080334,0.105749965,0.2072241,-0.043740023
38,0.1030048,0.072907545,0.0050202436,0.037170645,0.03843914
39,0.07896806,0.050725088,-0.010801657,0.029083818,0.0047630887
40,0.08162746,0.061973866,-0.02785186,-0.05522535,-0.018411798
41,0.060987063,0.07881773,0.007210775,0.029745,-0.056567777
42,0.06251438,0.05258964,0.0508955,0.033778355,-0.024379201
43,0.053115472,0.080228366,-0.0037868782,0.04112936,-0.010720271
44,0.03020519,0.10008536,-0.04602903,-0.005658905,-0.0775388
45,0.01817615,0.060357124,-0.025361452,-0.04294647,-0.069989756
46,0.047919836,0.018866148,0.009332772,0.035541657,0.08447714
47,0.079543546,0.0898053,-0.007310831,0.037890874,0.10772353
48,0.040944215,-0.0016100653,-0.07720372,-0.056186445,-0.014261357
49,0.006719499,0.14591604,0.18765414,0.17860864,0.14875908
50,0.13122737,0.16280553,0.038517684,0.042995714,0.048253555
51,0.0363265,0.055703525,0.006184531,0.09872611,-0.035526518
52,-0.04507345,0.060131155,-0.015091393,0.03739831,-0.050708003
53,0.10773008,0.053920504,-0.04330431,-0.0039289426,-0.022327218
54,0.017161159,0.006526243,-0.043433502,-0.089152314,0.021145368
55,0.08748064,0.018066041,0.02300391,-0.016658375,-0.0120219495
56,0.0059552374,0.11374968,-0.014336978,-0.043082535,-0.021342354
57,0.06540054,0.09619795,0.03286223,0.10984261,-0.01642571
58,0.014062266,0.059970595,-0.0004724739,0.020948242,-0.041549653
59,0.029309463,-0.093727365,0.095673665,0.08216877,-0.068502754
60,-0.048776843,-0.04478842,-0.032477457,-0.015241906,-0.09945664
61,0.15565933,0.17978424,0.067133285,0.061935764,0.094841495
62,0.059109222,0.10665969,0.047028795,0.08399086,-0.048824947
63,0.07117683,0.10786289,0.06270784,0.05184272,-0.07545465
64,0.10424745,0.12512003,0.008526518,0.089379996,-0.08005345
65,0.120891646,0.06986992,0.018311232,0.042568795,0.04158299
66,0.09453888,0.10078704,0.03827626,0.039456446,-0.021405796
67,0.0074887294,0.07066713,-0.0030797406,0.014054468,-0.091856286
68,0.06766323,0.099566,0.008691101,0.04131359,-0.071937084
69,0.042003192,0.042221855,-0.011495702,-0.004896963,-0.11304074
70,0.03257609,0.052295797,0.016128652,-0.013527743,-0.0797268
71,0.005124292,0.10048195,0.004095624,0.0031148037,-0.11881149
72,0.040353194,0.059417054,-0.005233192,0.017483871,-0.12286219
73,-0.008527991,0.039981797,0.0044526057,-0.02773761,-0.104867876
74,-0.042812027,-0.029165234,-0.030069599,-0.0045145205,-0.15169391
75,-0.0022172858,-0.06383506,-0.16517203,-0.16660765,-0.19944955
76,0.098063044,0.10376153,0.041312035,0.015616102,-0.0045632333
77,0.07996402,0.10005693,0.018690348,-0.007185313,-0.05690274
78,0.13077354,0.087343395,0.07749187,-0.02271408,0.041657016
79,0.08041918,0.11913839,0.04881114,0.05123212,-0.03382672
80,0.05773143,0.055609692,-0.017688364,0.039106816,-0.09423487
81,0.009548582,0.059272096,0.00010323711,0.010387967,-0.089284025
82,0.023311015,0.100258216,0.02147825,0.032281283,-0.009225142
83,0.012812967,0.13441017,0.048340723,0.047190927,-0.014861623
84,0.032559708,0.15773822,0.09555309,0.04836708,0.04778543
85,0.018642565,0.15657368,0.041511267,0.06625081,0.032467782
86,-0.0093588345,0.045876093,-0.08050533,-0.1354114,-0.08189163
87,0.0488277,0.106626704,0.034014698,-0.032007895,0.053668372
88,0.0118571455,0.108110525,0.037917,-0.021231478,-0.058299094
89,-0.13021956,-0.089377455,-0.14780505,-0.07773185,-0.08623564
90,-0.023959892,0.035922278,-0.06771414,-0.0551768,-0.10904306
91,0.017217685,0.029469335,-0.038983855,-0.071169816,-0.030373786
92,0.0945268,0.07098387,0.11955811,0.14743033,-0.01836151
93,0.05353245,0.040193517,0.0017025685,0.030561894,-0.11435124
94,0.05366779,0.09250651,0.014917827,0.028449904,-0.013217524
95,-0.0145226475,0.06654654,0.005769176,-0.04145575,-0.07212666
96,0.057372876,0.12307516,0.03357517,0.07001222,-0.02027703
97,-0.07888387,-0.019063318,-0.0527113,-0.061576128,-0.15205291
98,0.013461532,0.100729175,0.0016077859,0.0010471493,-0.0932587
99,-0.05918555,-0.029768627,-0.124450386,-0.07581417,-0.10371237
100,0.048858225,0.025421696,-0.02793147,-0.041821614,-0.09029444
101,0.018311162,-0.00952799,-0.025019519,0.021987427,-0.0063421503
102,-0.030334178,0.040462673,-0.046140473,-0.07200023,-0.14387304
103,0.0062772743,0.09217421,0.09413226,0.0022880458,-0.042678416
104,-0.057164222,-0.056503378,-0.052730434,-0.05330088,-0.104220286
105,0.07279192,0.08867421,0.09801171,0.06075781,-0.010489453
106,0.023321189,-0.04573413,0.07166295,-0.023057228,-0.042090323
107,-0.026947493,0.07227713,0.009565876,-0.07560756,-0.044825643
108,-0.0054757153,0.11522643,0.007281918,0.022580896,0.06145569
109,0.0011712145,0.08793258,0.062764205,0.11871645,-0.04251115
110,0.021803852,0.045674436,-0.06324674,-0.07148755,-0.11786849
111,0.031091481,0.032202497,-0.026465371,-0.019472478,-0.10789511
112,-0.018124899,0.00518608,0.021342482,0.0042882133,-0.06446195
113,0.13843781,0.08259614,0.14646855,0.15120666,0.019033227
114,0.10906115,0.078951895,0.054151103,0.034609232,-0.072563216
115,0.009966193,0.08333869,0.03767965,0.0823236,-0.07232367
116,0.04544054,0.14265232,0.069402926,0.17455727,-0.071393475
117,0.040523186,0.06278604,-0.017804006,0.07295461,-0.13136312
118,0.022656308,0.15198839,0.09743273,0.11612305,0.0056421924
119,-0.037041523,0.111496374,0.061242133,0.06307358,-0.021401584
120,0.046312477,0.0371479,0.08288864,0.12164351,-0.08176375
121,-0.053525154,0.058000095,0.045553364,-0.048771307,-0.056664143
122,0.0043746205,0.0580862,0.030173335,-0.011605079,-0.019241488
123,0.11980118,0.1227537,0.10367767,0.0415058,0.007822652
124,-0.019375663,0.04095845,0.057824157,-0.07982753,-0.060397327
125,0.052590724,0.123597726,0.0050292057,0.025403963,-0.030378684
126,0.027096055,0.11649317,0.00039991038,0.008910444,-0.035561036
127,0.076137334,0.074202836,0.010733953,0.056207135,-0.057816446
128,0.08923094,0.08056331,0.024048481,-0.051462278,-0.037167065
129,0.02908064,0.10881857,0.12113695,0.11101386,-0.023848169
130,0.011883682,0.012086295,0.03760476,0.027486209,-0.11188307
131,0.022336373,0.08839962,0.11505775,0.11206976,0.013223571
132,0.013161311,0.08932172,0.11214021,0.1362513,0.03166481
133,-0.0073831175,0.038552336,-0.017524844,0.0050112316,-0.10300234
134,-0.0696887,-0.0073168576,-0.036844756,0.018724132,-0.12270942
135,-0.088071585,-0.019850267,-0.09414182,-0.09693986,-0.10543892
136,-0.053705007,-0.009273307,-0.010624308,0.038505975,-0.10610463
137,0.07369323,0.015708044,0.04025603,0.0044176895,-0.013352145
138,-0.022310112,0.049280874,-0.00060033053,-0.049931288,-0.07709069
139,0.11258732,0.07883677,0.08688225,0.03180905,-0.035392966
140,-0.059581034,0.009444077,-0.024716998,-0.0449037,-0.106870174
141,-0.034510247,0.0007211268,-0.009065486,-0.03678237,-0.07411351
142,-0.051730268,0.065125115,-0.0027759643,0.0047946246,-0.086417355
143,0.10180326,0.090584576,0.009800557,0.024048772,-0.04887881
144,0.10299161,0.06123644,0.12505311,0.15367031,-0.035093337
145,0.04379213,0.067968205,0.114041574,0.019928804,-0.029792555
146,-0.053309683,0.022525437,-0.013936058,-0.11418027,-0.047998212
147,0.11127554,0.04640621,0.034517158,-0.006513429,-0.032622185
148,0.07544394,-0.0066354275,-0.011179949,-0.0063641574,-0.027184026
149,0.0035491516,0.047086008,0.01808514,0.05011535,-0.03756538
150,0.051543396,0.08419084,-0.016322222,-0.0028980952,-0.037901815
151,0.0049134307,0.070640035,0.0022284617,-0.0127212815,-0.06869481
152,0.0095798485,-0.0009149071,-0.035004124,-0.045059517,-0.06232899
153,-0.016506264,0.1096813,-0.0009621475,0.021207936,0.00041877571
154,-0.015234988,0.028982315,-0.043429095,-0.030674443,0.025687963
155,0.05379359,0.13464648,-0.0060999524,0.008581214,0.08744711
156,0.01818028,0.19053864,0.16346219,0.10254614,0.17789711
157,0.04158352,0.1101962,0.036342617,0.14561976,0.033194788
158,0.010626432,0.092402026,-0.00080244103,0.10934323,-0.03703305
159,0.0352632,0.03781645,0.0050320085,0.010731766,-0.010085238
160,0.01966453,0.021332331,-0.045350563,-0.03089313,-0.07260279
161,0.04339924,0.04987298,-0.008357492,-0.050640102,-0.035337012
162,0.10207775,0.006978437,-0.013662794,0.03201172,-0.03019131
163,-0.009709613,0.079416566,-0.044840716,0.01982269,-0.07342086
164,-0.06572765,0.05235695,-0.037892982,0.04289718,-0.117759205
165,-0.02208746,0.015586887,-0.04578093,-0.065537274,-0.06857232
166,0.047335032,0.046202775,0.0018864237,0.06254755,-0.07513211
167,0.017839614,0.016099846,-0.05268566,0.007602458,-0.1454146
168,-0.022292009,0.02136276,-0.03806016,-0.0040797046,-0.0906108
169,0.015129194,0.04361315,-0.06088979,-0.049466476,-0.17037773
170,0.043549247,0.06172926,-0.004663203,0.116255626,-0.059859827
171,-0.03093261,0.013644423,-0.08127496,-0.05757288,-0.091404274
172,0.031275183,0.11318247,0.07156891,0.09815723,0.019986946
173,0.10272993,0.0029762574,-0.011598932,0.032704547,-0.061657995
174,0.0062224525,0.048378788,-0.029876625,-0.008890256,-0.09189027
175,-0.019834008,0.014143316,-0.078056805,-0.14480962,-0.017693244
176,0.05865991,0.10422114,0.03915698,0.06588884,-0.06332557
177,0.04255941,0.115946084,0.028892238,0.048952255,-0.079550035
