,Care,Fairness,Loyalty,Authority,Sanctity
,Harm,Cheating,Betrayal,Subversion,Degredation
0,-0.030765796,-0.045989852,-0.09484233,-0.07884796,0.032241434
1,-0.1325385,-0.066377535,-0.15241137,-0.1296957,0.021057792
2,-0.054176334,-0.08531752,-0.16810928,-0.17751104,0.053374283
3,-0.1583432,-0.07968844,-0.1569514,-0.12860501,-0.018574148
4,-0.15018696,-0.07275465,-0.16698527,-0.20251575,0.024611663
5,-0.122437455,-0.014737054,-0.12374529,-0.12734018,0.0609666
6,-0.019328536,-0.008620024,-0.08159803,-0.15693316,0.016284078
7,-0.13401504,-0.06407312,-0.14242199,-0.08925662,-0.015792308
8,-0.15939257,-0.046542034,-0.10322934,-0.123404056,-0.023936743
9,-0.17924225,-0.03715659,-0.1982007,-0.2063343,-0.1519836
10,-0.038357086,0.00902077,-0.032085862,-0.019041322,0.05550154
11,-0.03938639,0.15762314,0.084582865,-0.0025697416,0.121488616
12,-0.10720693,-0.06436771,-0.15658148,-0.16405904,-0.0072520226
13,-0.11042016,0.086260535,-0.028874084,-0.01773706,0.08266428
14,-0.19862865,-0.0363918,-0.15512393,-0.16315022,-0.046269834
15,0.023443704,0.05967012,-0.025311429,-0.025829937,0.08065593
16,-0.06555288,0.05179935,-0.07294836,-0.04821247,0.022201266
17,-0.08728704,0.109036274,-0.07663344,-0.0072362013,0.0021106284
18,-0.060818832,-0.031996306,-0.1390326,-0.10285924,0.08216648
19,-0.16049658,-0.04278162,-0.13795608,-0.047525655,-0.0023755264
20,-0.11022599,-0.062022027,-0.06917884,-0.08676715,0.10007994
21,-0.1048108,-0.009351496,0.002437218,0.074760914,0.030497197
22,-0.08835557,0.006688536,-0.0043649655,-0.015689123,0.10251167
23,0.04729498,0.08935492,0.014158506,0.029581506,0.13893826
24,-0.025125893,0.00047977827,-0.054186366,-0.017850155,0.0782218
25,-0.09442067,-0.023184497,-0.09437596,0.011986524,0.044181585
26,-0.032998834,-0.06177162,-0.091453,-0.11802127,-0.06384857
27,-0.040366612,-0.11011503,-0.08700693,-0.16055796,-0.041089363
28,-0.03510984,-0.0548297,-0.12241491,-0.22911105,-0.052172255
29,-0.03350391,-0.008741496,-0.029014912,-0.11172381,-0.038936935
30,0.029268809,-0.013269034,-0.018685797,-0.045135275,0.023179963
31,-0.017652832,-0.21854079,-0.12892513,-0.1830349,0.041298598
32,-0.040056948,-0.071512856,-0.1422384,-0.15648407,0.08006356
33,-0.00979334,0.00017179735,-0.071168296,-0.16903171,-0.00028080307
34,-0.14673649,-0.036116846,-0.08568578,-0.15502168,0.06048245
35,-0.086360395,-0.102701105,-0.12332951,-0.06535498,-0.0020370577
36,-0.10624591,-0.07084646,-0.10011147,-0.1053118,0.039176695
37,-0.09020287,-0.02177731,0.008522332,-0.15666524,0.019814005
38,-0.04837606,-0.060832445,-0.079649106,-0.04325733,0.045398694
39,-0.10856636,-0.018801782,-0.060550936,-0.072456926,-0.04945744
40,-0.025854971,-0.01673473,-0.09303797,0.0372129,0.027862966
41,-0.017555874,-0.05440119,-0.08247425,-0.031372897,0.06890356
42,-0.010987576,-0.0046085087,-0.037324972,-0.049369488,0.09261714
43,-0.05685793,-0.032356218,-0.052304313,-0.021879902,0.028728198
44,-0.048994824,-0.011411715,-0.068553485,-0.11532707,0.064074144
45,-0.018605072,0.013192086,-0.096750505,-0.07271117,0.037034415
46,-0.00027379394,-0.061206065,-0.120204546,-0.1427221,0.0005282797
47,-0.058985755,-0.006343106,-0.11621148,-0.079689935,0.09088828
48,-0.037453204,0.03299044,-0.11168519,-0.07937434,0.03774897
49,-0.023092046,0.07158246,-0.046127625,-0.06891084,0.05233313
50,-0.14772353,0.03405802,-0.08803133,-0.05272848,-0.010567869
51,0.034429394,0.116723634,-0.030492242,0.025115915,0.076688126
52,-0.15928182,-0.032769423,-0.06717239,-0.10516769,0.031839292
53,-0.15977119,-0.07321204,-0.12734967,-0.09857786,0.0016925782
54,-0.146727,-0.023209058,-0.08861987,-0.06943603,0.093970925
55,-0.08929982,-0.010787088,-0.034979086,-0.0049780784,0.14755876
56,-0.11348161,0.032435324,-0.08029509,-0.035031,0.039960556
57,-0.12074497,-0.009790971,-0.1194464,-0.09123855,0.017986357
58,-0.14318281,-0.10208412,-0.13100648,-0.11971286,0.016398579
59,-0.11715333,-0.20756266,-0.18523522,-0.27590874,-0.101133026
60,-0.19052345,-0.044677377,-0.13499334,-0.1107395,0.014165089
61,-0.15085727,-0.06254739,-0.12067334,-0.14561988,-0.04815611
62,-0.06397381,-0.05803805,-0.12167448,-0.09684065,0.028305996
63,-0.057835832,-0.09301539,-0.086359635,-0.140114,-0.0036514713
64,-0.12659463,-0.104141355,-0.114409275,-0.093303084,-0.040004775
65,-0.009149352,0.017832022,-0.030719701,0.02015065,0.043875344
66,-0.035098784,-0.043774273,-0.12327649,-0.10941725,0.009126566
67,-0.15296832,-0.04216808,-0.15444668,-0.12542707,-0.0005102735
68,-0.14603397,-0.029964361,-0.14773922,-0.1731066,-0.0024491549
69,-0.15186894,-0.015283806,-0.18662977,-0.23267603,-0.09661308
70,-0.15493998,-0.018760797,-0.16562465,-0.14573292,-0.08173134
71,-0.14229855,-0.062116466,-0.12484964,-0.15779221,-0.05292866
72,-0.10389558,-0.11563568,-0.13996382,-0.08231044,0.0077384096
73,-0.13592397,0.008996806,-0.07396219,-0.08732095,-0.0061324798
74,-0.12107918,-0.06678745,-0.13694721,-0.09298781,-0.02229073
75,-0.1416567,-0.08727875,-0.091010235,-0.17034307,-0.03205064
76,-0.121640116,0.0048839957,-0.019680869,0.024856072,0.06953088
77,-0.057417423,0.011370168,-0.10036745,-0.15427001,0.061580658
78,-0.1252652,-0.054293454,-0.10032756,-0.10472061,-0.034565352
79,-0.14093718,0.068217866,-0.11301362,-0.15779114,-0.01895073
80,-0.0030803215,-0.006661009,-0.1096333,-0.15117145,-0.0046421336
81,-0.11790241,-0.044603486,-0.17898273,-0.12187442,0.03362872
82,-0.22473055,0.005514303,-0.17175418,-0.1731957,0.002320541
83,-0.23546797,0.023291051,-0.08657897,-0.07542519,-0.059297666
84,-0.19647256,-0.07626097,-0.21735087,-0.22478206,-0.07179093
85,-0.23314369,-0.031948656,-0.101511806,-0.18348491,-0.09961967
86,-0.1192425,-0.029007241,-0.14301822,-0.19169514,-0.056132574
87,-0.2640676,-0.058224462,-0.19950905,-0.16809914,-0.110788964
88,-0.092323735,-0.04124229,-0.1343734,-0.105874956,-0.026314436
89,0.07255313,-0.06323904,0.0031448286,-0.033524964,0.096147135
90,-0.05180359,-0.014212326,-0.12168404,-0.077555835,0.03345594
91,-0.102875635,-0.04897075,-0.1744638,-0.17815536,-0.06262421
92,-0.06769771,0.057066143,-0.12819755,-0.1422314,-0.008094765
