Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.15070242,0.13665245,0.110367745,0.11834502,0.050221834
-0.015600283,0.18651862,0.1870193,0.16905639,0.15253791
-0.15624478,0.13125208,0.042486615,0.06150078,-0.07919077
-0.13678734,0.0071902787,-0.048933208,-0.0076729464,-0.14794049
-0.103773534,0.06914789,-0.016860813,-0.054505885,-0.055284284
-0.06863925,0.13701259,0.1143339,0.09841353,0.019020854
-0.1502832,0.10144515,0.08403058,0.15324661,-0.0107168285
-0.13603097,0.003183502,0.03430988,0.07372811,-0.023546495
-0.052743353,0.062888116,0.07672652,0.091001116,0.040007245
-0.13697273,0.04435581,0.06994376,0.121342674,-0.0012434646
-0.122696996,0.09147142,0.08061285,0.12568127,-0.0013467497
-0.15523985,-0.040696416,-0.02364676,0.09248951,-0.021606315
-0.098221846,0.03416493,0.046876855,0.105401605,-0.06782227
-0.071276255,-0.11727607,-0.12421294,-0.029171646,-0.092484124
-0.12932505,-0.02590299,-0.022118293,0.0073785153,-0.124825284
-0.1719844,-0.035739828,-0.07274233,0.082499556,-0.08702995
-0.0687154,0.009564482,0.018496377,0.02747258,-0.14362672
-0.016346477,0.09588818,0.0977446,0.08242154,-0.007378619
-0.023746856,0.022362672,0.036481917,0.035434544,-0.025188526
-0.13801567,0.09650618,-0.0053325724,-0.054619677,-0.043629963
0.017980749,0.01026183,0.067310184,0.06076865,-0.009070376
0.03428738,-0.027629742,0.0071182307,0.053568766,-0.04842331
0.0029433612,-0.011373691,0.034416776,0.007867195,0.057435505
-0.0846386,-0.10481003,0.01575869,0.0044352524,-0.0677719
-0.0797202,0.08217217,0.019341698,0.1405105,0.020972839
-0.01577564,0.13929112,0.11171668,0.1776703,0.07593812
-0.07662821,0.011616197,-0.04492208,-0.009737313,-0.03059996
0.012157949,0.112311415,0.22226329,0.19737291,0.1985747
-0.026535977,0.055843648,0.039321393,0.014498567,0.12392029
0.009406223,0.004566133,0.045237854,0.071506396,-0.086993076
-0.044623274,-0.053462744,-0.043119065,0.008281548,-0.03676425
-0.027743937,0.09991201,0.08153839,0.21212494,0.020074984
-0.062551446,0.10284386,0.0762261,0.16716981,-0.025882468
-0.1326694,-0.107997194,0.019496622,0.09200278,-0.055876102
-0.06751122,0.17999455,0.13199762,0.1690976,0.15757811
-0.18746966,-0.06269166,-0.016664498,-0.035009056,-0.027882906
-0.05462376,0.0023637563,-0.0010491936,-0.0035546417,-0.06855811
-0.07610151,0.11398738,0.07054589,0.05276213,-0.0054158876
-0.07580645,0.066293284,0.04335995,0.06924216,-0.0107986275
-0.17874807,-0.016427225,-0.06378776,-0.08399781,0.00867239
-0.09636463,0.072524704,-0.014230571,0.0401337,-0.07403143
-0.1218699,-0.05566815,-0.05778504,-0.0494329,-0.06257796
0.020587143,0.029437765,0.07964961,0.023109108,0.028890733
-0.16222627,-0.023510497,-0.032495085,-0.010847341,-0.057863608
-0.11111248,0.038107235,0.012688095,0.066214755,-0.063414134
-0.08229055,0.010867231,-0.022152327,0.062300883,-0.004663795
-0.045034073,0.0036102599,0.05363003,0.107785136,-0.0028375722
-0.06464024,-0.013025743,-0.027013361,-0.032235816,-0.09261307
0.06534468,-0.019224908,0.018345878,0.056688823,-0.023861662
-0.16230778,0.009885569,-0.031070484,-0.019798964,-0.12225511
-0.098650716,-0.042613134,0.010604963,0.030693915,-0.05402127
0.05711458,0.048738614,0.025212623,-0.08626747,-0.046003375
0.0063747866,0.14544623,0.13546292,0.14638881,0.026512194
-0.08438588,0.12995875,0.12843414,0.15705192,0.07092931
-0.019200206,0.03665327,-0.007955663,0.07762039,-0.07195938
-0.06940828,-0.0002191863,0.04343263,0.07511703,-0.09597433
-0.07264906,0.09838317,0.072903186,0.10721587,-0.06432354
-0.07724626,0.07710464,0.07829748,0.096966945,-0.02684468
-0.110634826,0.1327734,0.08360952,0.07736491,-0.028111573
-0.014950205,0.06922363,0.054406554,0.11694721,-0.045088895
-0.08367895,-0.0007111465,-0.009866457,0.10672317,-0.06861046
-0.15259767,0.032412644,0.030257555,0.047688924,-0.027654607
-0.060414977,-0.0022539764,-0.004595535,0.099768594,-0.0015075031
0.007031074,0.057782337,0.06453943,0.107012,0.050103903
-0.046671215,0.13015386,0.1637882,0.17310938,0.11945172
-0.011564914,0.0015134765,0.03594389,0.17783049,0.075526
0.01458987,0.024012515,0.029960137,0.06584627,-0.031097917
-0.19048792,-0.11709942,-0.103856176,-0.058567632,-0.062063914
0.016078662,0.083834045,0.13317612,0.107469514,0.005208756
-0.12233401,-0.037122555,0.011927811,0.052147448,-0.24173082
0.049289465,0.08570929,0.09035663,0.14168113,0.03086099
0.02738202,0.07166943,0.10045864,0.10103271,-4.0876213e-05
-0.12768163,0.04131358,0.0017536823,0.16323563,0.030002646
-0.14641415,-0.06546743,-0.07200512,-0.0005444833,-0.18371299
-0.08193729,0.066149965,-0.07589778,-0.016759425,-0.08068136
0.04887502,0.0661228,0.13398376,0.30921245,0.07185915
-0.089400634,-0.03177408,-0.042495467,-0.019237813,0.0002597263
0.0955863,0.015309231,0.06607127,0.11870524,0.014813196
-0.08552131,0.028248897,0.010151204,0.06450817,-0.0153667955
-0.052306063,0.057552673,0.005270847,0.024811175,-0.057633884
-0.105299465,0.0028258786,-0.02374503,-0.026206404,-0.14949518
-0.102716945,0.1165773,0.038694322,0.17486843,0.014722163
-0.052336827,0.07234307,0.00090087205,0.11565966,-0.061979674
-0.05602317,0.0701725,0.023830969,0.0613039,0.016227014
0.037416954,0.034004424,0.022462413,0.084803954,0.07080346
-0.0028889363,0.092536815,-0.011680625,0.0914766,0.050154872
