Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.060022704,0.097918004,0.019826535,0.023298396,-0.055775
0.057512857,0.05032801,0.104069695,0.026151756,0.03737452
-0.072028026,0.09658852,0.10994834,-0.0029435232,0.009635102
0.01722685,-0.030685313,0.08931893,-0.027875181,0.045404684
-0.09739858,0.071767785,0.04417918,0.107056655,-0.009969174
-0.107541606,0.04077409,0.00026395428,-0.044400353,-0.052172296
-0.02705213,0.15948457,0.13431814,0.080167085,0.033600386
0.0873975,0.08732777,0.114485234,0.17106645,0.084913835
-0.057924837,0.11809474,0.1136523,0.05559213,0.06800318
-0.13589059,0.048883844,0.005439213,-0.06827981,-0.038834207
-0.057276737,0.05913453,0.022992576,0.012501448,-0.067451164
-0.03942165,0.1094304,0.06808095,0.10052103,0.024385316
0.055404328,0.033668563,0.100404784,0.024033966,0.109800324
-0.0153687205,0.025983397,0.023924539,0.13962944,0.039750643
0.058836747,-0.046661187,0.026924826,0.07218578,0.096836895
0.047830556,0.104084544,0.124204025,0.068845294,0.011904862
-0.019125547,0.025513455,0.018489584,-0.0062356857,0.02189971
0.058421478,0.025057515,0.09963335,0.066801496,0.11329618
-0.0055692606,0.08638555,0.11176134,0.11355158,0.07130238
-0.056253217,0.09912256,0.16077697,0.093087375,0.062362656
0.05345955,0.13850789,0.16207767,0.052901022,0.16730948
0.016248941,-0.0025399867,-0.0023105703,-0.052058924,0.067874715
-0.11091038,-0.021534339,-0.04595449,-0.12342623,-0.055228215
0.034779124,0.056305505,0.1663574,0.039490532,0.055201545
-0.04935632,0.0053553544,-0.009502693,-0.118074164,0.016554788
0.027686855,-0.059663624,0.005313129,-0.07111259,0.051911935
0.0779334,-0.020147499,0.017294535,-0.022242565,-0.019132063
0.047925748,0.06057328,0.039031707,0.0070995446,-0.0014540982
0.021507654,-0.08352658,-0.054197934,-0.13825394,0.021850334
0.09536821,0.01809028,0.0981544,0.027193185,0.07375896
0.00031952746,-0.05282157,-0.010259453,-0.00075925793,0.08712274
-0.03987968,-0.009986423,-0.048704803,-0.07819635,-0.010556892
-0.024713652,0.052161634,0.057787843,-0.05752371,0.107473865
-0.049546637,0.041378133,0.045388177,-0.05489951,0.02871342
0.07981354,-0.005746223,0.017670661,-0.010328373,0.08077319
-0.0702525,-0.0691358,-0.027868906,-0.13189623,-0.09797057
0.0011489205,-0.0357497,-0.008171156,-0.026928928,0.109339744
-0.07289444,0.11438995,0.0766734,-0.03574428,0.011972679
0.021562966,0.03927102,0.12061228,-0.016394006,0.062534615
-0.0020345296,-0.005918799,0.08043958,0.044451732,0.0317
0.02806954,-0.012163228,0.06734593,-0.04117912,-0.02009765
-0.0520716,0.014376793,0.065846115,0.006361969,-0.01353123
-0.0532797,-0.0028832965,-0.032197647,-0.04403144,-0.028517766
-0.005333408,0.026851082,0.13731165,0.0034085624,0.010495033
0.022050686,-0.022083309,0.02125645,-0.08839534,-0.06067753
-0.06531057,-0.033240862,-0.022173986,-0.05717861,-0.043818034
0.06907791,-0.037227653,0.083268225,0.016410524,0.049008153
0.056879647,0.0073061828,0.085794955,-0.068394125,0.096551485
0.023987476,0.051394418,0.10472683,-0.016516073,0.0532535
0.053176973,0.012305064,0.054205477,0.08667871,0.008318439
0.053824343,-0.061070718,-0.02822361,-0.00873667,-0.01592717
0.027192205,0.09034632,0.19660863,0.040809274,0.08015886
0.08400458,0.07763702,0.095773086,0.109128535,0.090801224
0.08984345,0.14107713,0.123052016,0.114119045,0.11333357
-0.06016197,-0.043521352,0.033216797,0.046777286,0.03234486
0.010589294,-0.012430668,0.07902904,-0.022176256,0.09288706
0.0410417,0.08327814,0.05011681,-0.05233465,0.07874734
0.12885429,0.023179142,0.16153559,0.06510575,0.08486639
-0.040922716,-0.00046417303,0.03357543,0.012207246,0.011198881
0.057331476,-0.006883314,0.057971165,0.0035618069,0.055493332
0.029458093,-0.010990325,0.035545994,-0.041476287,0.08153775
-0.055670466,-0.001960611,0.0026467517,-0.05675508,-0.021190956
0.048492745,0.04589904,0.046763245,-0.061521064,0.010871538
-0.002437938,0.012648296,0.11578736,0.102901265,0.10050778
-0.0820173,-0.01828422,-0.027055467,-0.02714558,0.019163124
-0.03658629,-0.055809185,0.08950701,0.12897372,0.047451835
-0.025142444,0.021386564,0.07755524,-0.044695046,0.06624154
0.055882275,0.046418257,0.07793731,-0.08087668,0.040656365
-0.016926829,0.036882482,0.05581054,-0.010839281,0.07286745
0.10567568,0.0317451,0.12060705,0.046659656,0.032762814
-0.06729994,-0.034294173,0.0080695795,-0.019776396,-0.026532
0.06175623,-0.05921945,0.029237065,0.004812781,0.03561933
0.075845405,0.06358004,0.055091165,0.06857865,0.09707616
0.046628173,-0.04154021,-0.0068441564,-0.041027874,-0.030548805
0.0029747225,-0.0018841047,0.06597478,0.016321057,0.04386046
0.12231477,0.03712182,0.14359994,0.06570602,0.18046531
0.11736573,0.07478579,0.15868968,-0.012639783,0.114485815
0.011785877,0.010937262,-0.0068407655,-0.12538125,-0.041637566
-0.012877753,0.066907376,0.023719018,-0.016166542,-0.011473456
-0.10273316,-0.025128951,-0.083100736,-0.17492548,-0.14231136
-0.099891044,0.06564133,0.011530293,-0.10729277,-0.029310076
0.061043173,-0.033067815,-0.007314118,0.016835058,-0.010093646
-0.0009180098,-0.051009998,-0.062092558,-0.094382435,-0.1733605
0.01322832,-0.043146282,0.015554373,-0.071535915,0.0019988976
-0.014972964,0.08274908,0.1284965,0.1493811,0.051900715
0.0896824,0.07093903,0.09321965,0.12985684,0.12711877
0.032428302,0.057031676,0.074783824,0.06404418,0.011351515
0.04861574,0.025960833,0.018877683,-0.017885841,0.043202754
0.08584544,0.023129199,0.09452134,0.016051613,-0.07096881
-0.0068712113,-0.039869495,0.07692687,-0.00089898705,-0.027837634
0.00047612563,-0.017029814,0.14512229,0.10011579,0.046350613
0.0012490824,0.058813125,0.0624207,0.030432902,0.055173196
0.028557178,0.041031495,0.13364868,0.0612566,0.04244366
0.030827506,0.055355083,0.094215505,0.009377293,0.020368638
-0.044390645,-0.020862661,0.10960363,0.052192457,-0.00046907738
-0.034488786,0.13920999,0.1289198,0.124164075,0.0024376363
-0.043505803,0.025463931,0.09582028,0.09839256,-0.037848502
-0.038533855,-0.06940609,0.0012579784,0.032079857,-0.041196343
-0.14889845,-0.034201514,0.02036881,-0.03787808,-0.079991676
-0.024591923,0.012991814,0.016743526,-0.0013841428,-0.008876988
0.010790665,0.03584575,0.032035235,-0.036518663,-0.14592117
0.036894348,0.023681145,0.15055183,0.055821266,0.07482232
-0.040762797,-0.014262229,0.044293202,-0.006671261,-0.014645528
-0.017046023,-0.030840684,0.042283542,-0.0027036648,-0.019894583
0.010626988,0.065721534,0.13312185,0.07296876,0.044859145
0.031481445,0.058810636,0.075298205,0.04301664,0.0706313
0.0028038658,0.07186577,0.10213828,0.11275347,0.033432137
0.10579056,0.053825818,0.067276925,-0.03077077,0.024093954
0.0942836,0.13672847,0.1571382,0.03267604,0.0808332
-0.049521234,0.10604837,0.0771582,0.11177091,0.037315767
-0.15539198,0.16677666,0.026389208,0.16621935,-0.04468363
-0.04206885,0.120104745,0.10083057,0.19049945,0.03116121
0.064873815,-0.014514804,0.039322335,0.07501763,-0.06693296
-0.068305224,0.016258614,0.0069301263,0.11704919,-0.023426805
0.026677953,0.06010076,-0.027597526,-0.055390596,-0.011085006
-0.14475551,0.13042068,0.030565482,0.13926049,0.0007008407
-0.06905414,0.037554633,-0.019550536,0.094867915,0.024031729
0.05834404,0.03070276,-0.06095376,0.10474701,-0.025729502
-0.04706219,0.08396773,0.053067684,0.19876277,0.087871745
-0.09827521,0.1318824,0.034990568,0.10549745,0.07828407
-0.16340572,0.08266912,-0.027636008,0.066545345,-0.17619719
-0.08177795,0.14199015,0.0064740474,0.13976255,-0.021741152
-0.038934,0.182557,0.068063825,0.13159338,0.09404286
-0.11270246,0.1823348,0.04505853,0.1878094,0.107005484
-0.14550762,0.21930042,0.09750194,0.20968908,0.06910485
0.049374722,-0.03977108,0.041634962,-0.042347495,-0.09414111
-0.13539323,0.15945974,0.0324395,0.21752691,0.080831505
-0.061616763,0.15335096,0.07141217,0.22373086,0.028926445
0.056720387,-0.04629329,0.032087095,-0.032951724,-0.08359921
-0.15234996,0.040595315,0.014833687,0.09059532,-0.016315188
-0.15497568,0.124119,0.043541946,0.11173384,-0.0467351
-0.02930763,0.020383656,-0.018600745,0.0702548,-0.005322542
-0.143525,0.0029157097,-0.02547942,0.099092565,-0.022315532
-0.18900955,-0.01856588,-0.07011923,0.008322205,-0.10759539
0.008242431,-0.053781725,0.012645375,-0.05148773,-0.059459955
-0.16393924,0.08658783,-0.0024556585,0.110300615,-0.02776678
-0.1356312,0.20068878,0.026892891,0.13048147,0.026150925
0.01903353,-0.06725088,0.026396126,-0.06255295,-0.057858076
-0.0911191,0.17896613,0.088791355,0.19572583,0.07929228
-0.088386685,0.03169589,-0.003398226,0.07265624,-0.024426665
-0.045386728,0.14657168,0.090702325,0.13869047,0.06421177
0.04668827,-0.02998555,0.03742174,-0.010146109,-0.09939607
-0.09815204,0.22510093,0.035838265,0.13720739,0.006991662
0.0037245825,0.13494271,0.15550849,0.21452248,0.098201945
-0.027767692,0.13837852,0.1503345,0.25311446,0.16220668
0.05524637,0.071325235,0.073661655,0.06703047,0.01970362
-0.06852897,0.09599308,0.07996926,0.17025197,0.007915949
-0.13439596,0.010965398,-0.010407552,0.025403071,-0.104732834
-0.041862283,0.11014716,0.1504267,0.101472676,0.101983465
-0.13067396,0.06594922,0.023895774,0.08793126,0.030730246
-0.09746714,0.12327407,0.08084668,0.16004169,0.08814622
-0.20298459,-0.03463454,-0.119473726,-0.035937726,-0.09888303
0.022959325,-0.060152993,-0.007323842,-0.025425214,-0.07154148
-0.03697763,0.14469883,0.10736631,0.20743442,0.07724192
-0.02321086,0.23937845,0.08628266,0.13401996,0.06574784
0.008902594,-0.0052734753,0.062101558,0.12339844,-0.012956957
-0.05297506,0.096774966,0.060316667,0.17563888,0.008241642
-0.005518959,0.05221679,0.08665161,0.08581216,0.07777414
-0.04787986,0.16497637,0.13155763,0.1440883,0.13834417
-0.13779138,0.022878008,-0.035254553,0.014679451,-0.04492546
-0.12887989,0.13808072,0.017798763,0.13320257,-0.022034422
-0.014613775,0.06391374,0.09364371,0.16649178,0.050162755
-0.046150364,0.076371856,0.029039998,0.07030907,0.02246944
-0.09066585,0.04680112,0.041145958,0.11835793,0.006975156
