Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.06418124,-0.026302403,-0.025183711,0.005392763,-0.16224505
-0.11595399,-0.096467346,-0.05644325,-0.07298187,-0.13596128
-0.06620805,-0.027095335,-0.048676338,-0.044472434,-0.10955116
-0.0992852,-0.016803902,-0.055000022,-0.03835468,-0.16017605
0.048125386,0.010415919,-0.004530296,0.016969029,-0.09921691
0.026068116,0.02823102,0.024794286,-0.005570354,-0.14143473
-0.09818882,0.053894702,-0.013223899,-0.09731814,-0.080582
-0.015667304,0.0108880475,-0.050495263,-0.025413457,-0.08647833
-0.07197079,-0.11272433,-0.12674205,-0.10396487,-0.16633788
0.0030349626,-0.07302861,-0.046537656,-0.050845742,-0.1349423
-0.008518495,-0.09329048,-0.08933644,-0.093239784,-0.16422465
0.06274521,0.10562239,0.118311286,0.0731709,0.026829258
0.056803748,0.06006112,0.073035076,0.13805936,-0.024606224
0.040333413,0.07340383,0.0024052253,0.029961864,-0.05744967
-0.068411596,-0.026093295,-0.027071895,-0.03001035,-0.15410967
-0.16828513,-0.048078977,-0.042157594,-0.063090086,-0.12615962
-0.16775282,-0.084413335,-0.040635966,-0.05442044,-0.09983058
-0.075066835,0.013724122,-0.061016746,-0.09954438,-0.12440392
-0.043292575,0.011695794,-0.025872845,-0.039225765,-0.0822343
-0.081327975,-0.039448634,-0.031718135,-0.050012566,-0.16256231
0.07623758,0.041603528,0.025231205,0.0026247166,-0.05586939
0.00039166026,0.10754265,0.054067876,0.07548769,-0.009371536
0.011370341,0.015643677,0.03699892,0.014690936,-0.09561274
0.08877441,-0.051873002,0.03953712,0.027151503,-0.05292835
-0.057694267,0.036818836,-0.035099536,-0.040394995,-0.07053588
0.06923905,0.13133484,0.11918336,0.0790278,0.015679594
0.03110478,0.05867514,0.024901917,0.11050299,-0.1502505
0.01752909,-0.012987445,0.054157827,0.07274191,-0.05444292
-0.07691176,0.058958035,0.017527312,-0.016635932,-0.06784577
0.09691802,0.04995674,0.11162233,0.06697705,0.015572556
0.053691827,-0.12848184,-0.031119,0.021694578,-0.071843825
-0.010100067,-0.036778238,-0.004611087,-0.0926683,-0.12965727
-0.0026355423,-0.042467736,0.05491451,-0.037095834,-0.028461123
-0.03500955,0.045833956,-0.035595477,-0.025993504,-0.103060395
0.01509419,0.086457215,0.0071418695,-0.02233988,-0.11771285
-0.013514875,-0.027048228,-0.05253825,-0.013321314,-0.12808812
-0.077201806,0.061117653,0.004609376,0.11085327,-0.01021304
-0.07347827,0.10006171,-0.00965168,-0.024220176,-0.15479295
-0.06615927,0.031141652,-0.059660442,-0.049825605,-0.23207787
0.09121632,0.08210527,0.010075582,0.011773931,-0.064179845
0.116647825,0.13119738,0.013084926,0.05749382,-0.07670722
-0.028110605,-0.03985821,-0.06352537,-0.052935757,-0.08646378
-0.05989369,0.006457206,-0.044130262,-0.033051677,-0.1437303
0.020869073,0.0320632,-0.026209325,-0.03558157,-0.076744825
-0.14974648,-0.023299465,-0.062495597,-0.05613366,-0.1299585
-0.0735158,-0.06905907,-0.04218334,-0.062491722,-0.11801091
-0.10197583,-0.014666897,-0.016616775,-0.047766298,-0.074087314
-0.14438374,0.0654557,-0.011712156,-0.021088414,-0.11293195
-0.089333594,0.062184125,-0.0026341388,-0.00031485222,-0.046790656
-0.10521002,-0.038127232,-0.07654287,-0.067329675,-0.12407629
-0.22974198,-0.060824294,-0.07771778,-0.031534597,-0.22014919
-0.13613778,-0.092174955,-0.097258896,-0.062485315,-0.15262997
-0.039575882,0.04092232,-0.02579609,-0.03231969,-0.13079207
-0.08415868,-0.07609011,-0.0720948,-0.05894817,-0.14825395
-0.009846831,0.034773994,-0.041571133,-0.040097475,-0.056898195
-0.02795206,0.035874017,0.03088691,-0.015958328,-0.14640342
0.07484936,0.08371115,0.063586116,0.0428036,-0.0030233301
0.19409081,0.071744755,0.09460373,0.034766532,0.071543686
0.050140597,0.0016757548,0.10012508,0.07939215,-0.039898098
0.05815355,-0.027596774,0.05260251,0.067161046,0.002181571
0.011899503,-0.06925449,0.026593236,0.014156028,-0.04332846
0.081239164,0.050163127,0.045453943,0.0959551,0.046567474
0.11710532,0.08813323,0.082825094,0.0959968,0.03544742
0.05228243,-0.07706998,-0.009697597,0.07631501,0.025565444
0.11187716,0.13552438,0.1125686,0.040970497,0.038177084
0.052273817,0.14476088,0.08797382,0.07923654,0.02003318
0.15499404,0.17722619,0.1543473,0.13444243,0.055296246
0.119779356,0.08051833,0.06280677,0.018196631,0.01068636
0.116812706,0.14802372,0.16046137,0.14803465,0.055235438
0.08339138,0.074153826,0.08240912,0.061481945,-0.029223667
0.010937311,0.09229894,-0.0036231875,0.06422213,-0.04074289
0.035549358,0.079442516,0.062428825,0.059822276,-0.02442786
0.116860956,0.16774541,0.046799608,0.093756005,0.02693667
-0.031123318,0.01852091,0.029668588,-0.0054756375,-0.03795819
-0.04434563,0.08864148,0.06165753,-0.06127719,0.07222382
-0.000646702,0.038265415,0.01305763,0.0019269157,0.09922456
0.01881861,0.13266455,0.056581415,0.054165456,-0.01719435
0.09677043,0.10331048,0.09374131,0.1050404,0.037473623
0.1605067,0.114634104,0.11439321,0.035082057,0.03754289
-0.044636592,-0.02150553,-0.074817985,-0.11284066,-0.17357334
