Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.020813711,0.09125514,-0.0076014875,0.009932963,-0.072664425
0.0051288325,0.07924802,0.016534116,0.025137262,0.008769421
-0.010367726,0.009192595,0.026519286,0.062191825,0.03708786
0.023002028,-0.0342168,-0.065845124,-0.015308185,0.035519477
0.040643834,-0.060075063,0.0151372645,0.017847016,-0.09355077
0.023593575,0.030891476,-0.016944794,-0.035572756,-0.0105715925
-0.056236114,-0.055652943,-0.069325075,-0.08062935,-0.08348176
0.004450379,0.033711817,-0.025921885,-0.03844556,-0.06948094
0.056250125,0.0115823755,-0.010328224,0.038831763,-0.019628748
0.06513504,0.103728235,0.056086496,0.061968833,0.0041152583
0.0154242,-0.012173217,-0.041832488,-0.0076959915,-0.03983502
-0.034423474,-0.023192119,-0.046346143,0.011438389,-0.079241835
-0.0074683987,-0.012568481,-0.025945721,0.0957488,0.0073992964
0.007478839,0.11181763,0.08376499,0.07542593,-0.04366198
-0.0027069673,-0.028758323,0.0022201214,0.009350042,-0.05104001
0.023593362,0.062075846,0.038680278,0.066429324,-0.057858966
0.041197114,0.062104367,0.14379546,0.2606761,0.0069852583
0.036051873,0.057535242,0.0982716,0.080496244,0.07512249
0.031034406,0.08609909,0.062463652,0.011829264,0.018682724
0.011059716,0.046098873,0.07630725,-0.029121064,0.010217018
0.008099692,0.10065874,0.0093555385,0.073619,-0.055623025
-0.058310382,-0.0112021025,0.004503561,-0.020826917,-0.0265141
0.058488,-0.012027212,0.044879142,-0.01571409,0.10474311
0.045127004,0.03814201,0.022070186,0.024664765,-0.069831856
-0.0053316616,0.03410641,0.0015407833,0.042708952,-0.03910058
-0.032456085,-0.04041012,0.001444418,0.028093053,-0.05751229
0.0129140895,-0.116507396,-0.029185347,-0.035024732,-0.059014827
0.011692617,-0.04922712,-0.031812884,-0.020070631,0.010862801
0.046367247,0.06296754,0.04594075,0.013045669,-0.008213292
0.036528893,-0.011635962,0.026187213,0.07087971,0.0012239665
0.0067538824,0.03284087,0.025135802,0.00022655912,-0.042921953
-0.039600566,-0.04047416,-0.0775208,0.0020031622,0.01815447
-0.08909404,-0.011178819,-0.03558003,-0.07133878,-0.06223502
-0.022835562,0.0509684,0.014190076,0.052726083,-0.03034437
0.014492637,0.02480162,0.02548094,0.033715896,0.02751211
-0.014749894,0.048493773,-0.013635517,0.039465036,0.0010782667
0.023571437,0.034299444,-0.020864194,-0.014189137,-0.06156423
0.017506253,0.029274933,0.024633748,0.03439458,0.020237727
-0.005314541,0.0018418785,0.010280484,0.021294646,-0.058351934
0.039056733,0.06315426,0.0074798176,0.044732094,-0.011535602
-0.12580098,-0.02145636,0.035964493,-0.03526455,-0.074850604
0.007300582,0.034509283,-0.004303811,-0.06689428,-0.03508306
0.034929834,0.09637391,0.05232378,-0.026554462,0.030623611
-0.04023905,-0.08391911,-0.06811717,0.035548683,-0.018845186
-0.021365805,0.022244725,-0.03982749,-0.005352651,-0.07866457
0.019473432,0.07338057,0.057547193,0.0036235843,0.041339308
0.039535582,0.050509654,-0.0015853285,-0.0051272055,0.03929703
-0.033206623,0.023170814,0.0026985155,-0.028373428,-0.055156272
-0.024740092,0.030857533,-0.028194137,0.031560242,-0.05015011
0.025644707,-0.0022977428,0.03432233,0.11194785,-0.0012861285
-0.08831906,0.0016940814,-0.03288106,-0.057923798,-0.10179126
-0.052600387,0.028312385,-0.023152307,0.0015845615,-0.051702756
-0.033398487,-0.007904826,-0.016695138,-0.0056669656,-0.04948209
-0.07279131,-0.0114975935,-0.052076966,-0.06158866,-0.085447185
0.0044645965,-0.0044477675,-0.020087045,-0.005043393,-0.058732703
-0.029529603,0.04129156,-0.02760589,-0.013840536,-0.05573108
0.014448633,-0.037405126,0.014749769,0.00080174813,-0.058161415
0.06034249,0.078197345,-0.0396697,-0.020062141,-0.019089535
0.06016323,-0.026161268,-0.0131898,0.05139421,-0.02163976
0.08772632,0.118193574,0.022112917,-0.015559386,0.014489515
0.0666732,0.0682431,-0.03192929,0.00991896,-0.023371687
0.017369283,0.10967016,-0.011281796,-0.047528386,-0.011258729
0.0796033,0.019273164,0.05145232,0.076196834,-0.022704564
0.03327065,-0.0016426481,-0.10579518,-0.08562129,-0.06703179
-0.048840817,-0.0631174,-0.11220087,-0.1636574,-0.08529663
-0.00050769036,0.054853514,-0.03367769,-0.02968658,-0.044124827
-0.0366889,0.0059727468,-0.044049505,-0.012069631,-0.064581804
0.08152072,0.12171097,0.040159084,0.0103967525,0.021466713
-0.05398754,0.07412775,-0.028661646,-0.035338014,-0.012612823
-0.00017129257,0.13759373,0.091466345,0.05317469,0.0255323
-0.03353668,0.05033783,-0.022489978,-0.05348716,-0.060214482
-0.08030273,0.04454743,-0.0073249927,-0.05070296,0.008349806
0.016375758,0.03234436,-0.033863056,-0.03528331,-0.021658152
-2.577901e-06,0.09771665,0.035029165,-0.044361465,0.02963802
-0.02618499,0.010538572,-0.033782333,-0.08016225,-0.10502296
-0.008429098,0.09819621,0.050823573,-0.001351086,-0.019228382
-0.000992532,0.11093122,0.05171124,0.030394798,-0.0024191272
0.0033476483,0.13973749,0.056368966,0.012698209,0.014893803
0.067502946,0.043008745,0.040244803,0.02520453,0.08454396
0.04099051,0.038522765,-0.0027509136,-0.05223381,-0.033015203
-0.018181814,-0.011161761,-0.04545214,-0.10886334,-0.13989286
4.9110502e-05,0.009478058,-0.03322097,-0.009485971,-0.056877557
-0.052227918,0.07075058,-0.07062762,-0.07833211,-0.09731868
-0.2272286,-0.07022422,-0.1584746,-0.17910953,-0.29145247
-0.08866686,0.011045707,-0.039712165,-0.050241522,-0.074775055
0.0006158514,0.050697245,-0.052879073,-0.063863896,-0.12274927
0.041544244,-0.024935257,-0.028703524,-0.03742177,-0.054666385
0.00056086294,0.02370856,-0.012993135,-0.0352966,-0.100373425
0.019937005,-0.056498274,-0.035736028,-0.064015605,-0.073184356
-0.04072913,0.021347415,-0.01799706,-0.026591653,-0.04697796
0.00390907,-0.02991011,-0.032363065,-0.06279801,-0.086456954
0.041544244,-0.024935257,-0.028703524,-0.03742177,-0.054666385
-0.058944337,0.019778525,-0.027518094,-0.056830287,-0.07340759
-0.030574951,0.0949004,-0.004535582,0.033001073,-0.04730733
-0.11350516,0.023465753,-0.022941468,-0.06243093,-0.0605014
0.009121896,0.13836008,0.017275803,-0.016427249,-0.15387686
-0.0243388,0.0069297943,-0.036812175,0.030051766,-0.051790237
-0.0047057234,0.11321464,0.082796216,0.036513057,0.01832838
-0.014413206,0.006025128,-0.0027265828,0.03490782,0.022756219
-0.0014514793,0.079896405,0.021253217,-0.004456058,-0.06418191
0.028691525,0.06033811,0.013609435,-0.014883779,0.013055252
0.0018783442,0.059271574,-0.0169878,0.007605561,-0.046778925
-0.046899773,0.050767787,0.0050466578,0.078826964,-0.05964482
-0.016141253,0.058371697,0.022560485,-0.012705218,-0.029774915
0.027970396,0.07171866,0.036282822,-0.015314765,-0.005352577
-0.010171567,0.035341818,-9.567663e-05,-0.008801984,-0.013552276
-0.042591013,0.07018516,0.044507578,-0.04265667,0.023365108
-0.029394297,0.021824934,-0.027467148,-0.040952418,-0.05814693
-0.041309007,0.044657998,-0.01127912,-0.010802209,-0.09940973
-0.028964866,0.039213635,-0.03183249,-0.04777821,-0.05947624
0.0053969286,0.033344656,0.00045262836,-0.005085023,-0.024899805
-0.03621405,0.06308914,-0.029312914,-0.06298453,-0.044388633
0.030410519,-0.045665145,-0.024979409,0.029188283,-0.005713229
0.069635384,0.14259765,0.09756511,0.039781503,0.07453296
0.060650095,0.088002406,0.08214323,0.026356166,0.04504717
0.008107418,0.113938205,0.062184,-0.005635459,-0.028922783
0.06510477,0.11205403,0.124698624,0.05848085,0.016090814
-0.0068807863,0.078308806,0.050365247,0.024041254,-0.0016054194
-0.021866795,-0.06993027,-0.091277756,-0.051481724,0.033114657
0.037701428,0.09637014,0.040783975,0.021147616,-0.008969685
-0.022019755,0.054901034,-0.030745381,-0.06967689,-0.032313813
0.0057229875,0.11352173,0.059450626,0.022110607,-0.046131328
0.019748554,-0.017457157,-0.049291573,-0.017779052,-0.06906328
0.019614743,0.06887216,0.006022645,-0.03477297,-0.030925266
-0.025174987,0.05290782,0.004408161,-0.055097476,-0.0136423865
-0.027892116,0.04920101,0.050778504,-0.0032786313,0.0070247203
0.03908172,0.0600148,0.05134763,-0.03164853,0.026737273
-0.008481521,0.024465654,0.040282734,-0.06411017,-0.03170462
-0.007718699,0.013309073,0.018311027,-0.018580059,-0.011175605
-0.012610294,0.050057635,0.026072575,-0.024519337,0.011805494
-0.03693061,-0.01123204,-0.0445946,-0.065540984,-0.07762943
0.060392343,0.07514988,0.091135636,0.07375498,0.032529477
0.050821688,-0.022511082,-0.013855804,-0.07667281,-0.012880198
-0.028351171,-0.077456295,-0.05418692,-0.05970792,-0.16216224
0.048936635,0.011599824,0.041570902,0.04224744,-0.015157833
0.042211324,0.036877558,0.05303842,0.04503882,0.046714723
-0.028489962,-0.02066137,-0.0036209642,-0.010281152,0.017686838
0.026485495,-0.044730805,0.004519374,-0.025101779,-0.03866554
0.05166284,0.024390895,0.022626633,0.022369137,0.080433846
-0.03776976,-0.008222638,-0.06283234,-0.09246147,-0.09452696
0.030789815,-0.027158095,0.023198266,-0.065616,0.0051864916
-0.0648201,0.033706017,-0.027342474,-0.08263543,-0.058638386
-0.037067376,0.03593513,0.034113392,-0.0031199122,0.029005587
-0.017415415,0.04396363,0.01114034,0.013504138,-0.04667112
-0.016933447,-0.0036208117,-0.023551982,-0.09605197,-0.09231689
-0.019518254,0.022045389,0.02680547,0.016703222,-0.08656329
0.04029749,0.11631158,0.12936017,0.07731773,0.07623239
-0.0401452,-0.030012656,-0.05536937,-0.040035397,-0.016394848
0.074733645,-0.018230982,0.010620618,-0.052152984,-0.017288135
0.01200397,0.030821413,-0.014223708,0.05328394,-0.04449132
0.021153053,0.048826262,0.023154907,-0.0104327025,-0.027713636
0.034264244,-0.0369632,-0.029147748,-0.070771486,-0.0075579956
-0.022030266,-0.009786931,-0.0030076099,-0.01137878,-0.051553555
-0.022954252,0.012077198,-0.02246115,-0.04921274,-0.029448245
-0.022911057,0.007881284,0.02709255,0.027640512,-0.04712289
0.0031617284,-0.01464812,-0.018480584,-0.064174086,-0.04714844
-0.005422637,0.07145445,0.021240102,-0.03378191,0.024060206
0.039171733,-0.055788033,-0.006721851,-0.09990157,-0.040556557
0.018055886,-0.016181305,0.017460098,-0.08215286,-0.014657087
0.07351535,0.048278295,0.038115717,0.013328914,0.0740102
0.066696,-0.009266963,-0.009258337,-0.06665911,-0.025867458
-0.023651354,0.034853745,-0.0059800996,-0.010471745,-0.026425026
-0.007172413,-0.043554578,-0.011172492,-0.07980674,-0.11578568
-0.03592915,-0.0061371094,0.0047719497,-0.046153318,-0.0040005194
-0.052970346,0.0075871227,0.046086416,-0.0006800173,0.0119135035
0.028681945,0.048007507,0.03763876,0.0620868,-0.0044481233
-0.012691829,-0.017282013,0.0642893,-0.010804646,0.014644317
-0.024804922,0.07240389,0.023720948,0.014022356,-0.02088914
0.023485683,0.038457878,0.017992614,-0.035434112,0.026803711
-0.021393297,0.017467089,0.0130742965,0.066799976,-0.04085496
-0.036598448,0.022115476,0.0054434612,0.03608036,-0.03601064
-0.02206626,0.022344718,0.00033607148,-0.0029554009,-0.027118113
0.039039675,0.002996806,0.0076370956,0.042055704,0.001281437
-0.024171954,0.018462703,0.04947757,0.08558209,0.008116701
-0.07195277,0.03438153,0.018133037,0.06941669,0.014047777
-0.0004675649,0.051671185,0.016322715,-0.0025946843,-0.023979604
-0.008355752,0.015559044,-0.010437093,-0.003947689,-0.017839525
0.026054505,0.012666546,0.04665395,-0.028975895,-0.010160664
0.0800681,0.026294596,0.06772838,0.0248455,0.0070535196
-0.020035798,0.04425305,-0.0048747826,-0.025557816,-0.07494594
-0.08502905,0.10889503,0.016675398,0.010165123,-0.014068486
-0.10626067,0.04033774,-0.05545073,-0.103293955,-0.084590755
0.031868156,0.07662107,0.0086072385,0.014759969,-0.014424892
-0.06494421,-0.05503432,-0.09019365,-0.1555334,-0.08915748
-0.013759769,-0.010342237,-0.008408408,-0.04632208,-0.0380117
0.008349564,0.013499212,-0.00095874676,-0.08323666,-0.06326958
0.007355377,0.043258954,0.018612238,-0.061588593,0.013783434
-0.038829673,0.039428484,0.039126694,-0.021515343,0.013299163
0.04279659,-0.008221109,0.0061897724,-0.069125555,0.009773358
0.037107192,0.01957975,0.054540277,-0.035595953,0.015698604
0.01980005,0.025593748,0.09482683,0.052731924,0.041474916
-0.005267254,0.017249772,-0.04663893,-0.100765854,0.00035842508
0.012634095,0.04735786,0.00012131152,-0.019185675,-0.007795249
0.022317583,0.016817275,0.009786871,-0.049822554,0.026702497
0.056366187,-0.010228939,-0.00540773,-0.024320886,0.0071385317
0.0061546843,-0.019152153,0.012351284,0.01105907,-0.04874628
0.017815843,-0.025826408,-0.0164281,-0.08575939,-0.045207933
