Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.04920253,-0.059698276,-0.015979063,-0.052484527,-0.07197882
0.05701793,-0.08002822,-0.014440194,-0.050480925,-0.0046973936
0.08338986,0.064881295,0.15379418,0.030358315,0.017950667
-0.015396528,-0.0714096,-0.048568606,-0.021450073,-0.052560564
0.033446718,0.030255495,0.029458892,-0.0020723613,-0.020864975
0.122942165,0.06856383,0.074440554,-0.031150177,-0.014689175
0.09748111,-0.010441575,0.09414879,0.08581651,-0.007888865
0.100017935,0.11957706,0.05514276,0.047274843,0.041862354
0.07759572,0.017250672,0.0321806,-0.025112841,0.073051
0.111312866,0.038883187,0.11900678,0.06771311,0.01257644
0.0043897927,0.045007974,-0.008695375,0.008401873,0.04365312
-0.042330805,0.076158814,0.04229539,0.10368553,0.026218819
-0.024668626,0.071129344,-0.01337488,0.068542965,0.0030813403
-0.07035652,-0.039651766,-0.021320537,0.032397617,-0.071801536
-0.11199551,-0.024335882,-0.10118602,0.033657588,-0.13486008
-0.04672603,-0.03228825,-0.029006336,0.030303296,0.002943946
-0.08453736,0.071102306,-0.015882427,0.09186949,0.05216224
-0.005810758,0.07386545,0.016630527,0.052843023,-0.017119791
-0.09609471,-0.023183327,-0.09253445,-0.015989173,-0.04561773
0.006585935,-0.011994557,-0.05591984,-0.013709059,-0.034803383
0.13604593,0.011022182,-0.026005361,-0.08845983,-0.01742889
0.024347492,0.022876255,-0.03967288,-0.026334617,-0.01642166
-0.036637884,0.0104482025,-0.020674711,-0.012906618,-0.07673447
0.0091292225,0.007908955,0.04804105,0.13204882,0.084494025
0.1411242,0.0860219,0.101900876,-0.029972516,0.008129103
0.09000182,0.059520125,0.04559914,-0.0561401,-0.04222984
-0.003033177,-0.08592166,-0.07299909,-0.0952637,-0.055361565
-0.016541477,0.0430182,0.0547477,0.08612026,0.031339042
0.14510575,0.107609205,0.06719974,-0.06148275,-0.0133449845
0.012716803,0.10572468,0.10491565,-0.0054346314,0.059857775
-0.021367822,0.07345137,-0.0065929787,0.038502306,-0.041860998
0.023418609,0.0062645474,0.0458297,0.1327,0.054350246
-0.07337052,0.012304212,-0.047727827,-0.019594252,-0.09192178
-0.025218742,0.020645104,-0.0319066,0.11434023,0.03294953
0.03263515,0.10940012,0.12749845,0.18864042,0.12827767
-0.13335875,-0.008562991,-0.0982447,-0.038108703,-0.013383166
-0.03162875,0.15295269,0.0393859,0.14156544,0.041931875
0.10190075,0.11036044,0.15081298,0.21760336,0.11491126
-0.030122213,0.10369989,0.09077075,0.16097248,0.052976828
0.08404012,0.06733521,0.14507389,0.13002452,0.08113123
0.026239278,0.00026327185,-0.0013509169,0.020021407,-0.05434335
0.026239278,0.00026327185,-0.0013509169,0.020021407,-0.05434335
0.10548275,-0.023901517,0.032061502,0.047342725,0.038525797
0.036259815,-0.0012366269,-0.041450884,-0.098904245,-0.0071002995
0.009986629,0.05632242,0.033456065,0.025223672,-0.031118691
-0.07700388,-0.061137334,-0.12772864,-0.18047819,-0.06649761
-0.053103283,-0.08883834,-0.16615272,-0.13475758,-0.041852728
-0.027001258,-0.015157714,-0.07557707,-0.044668723,0.013440311
0.06547256,0.04348068,0.056987844,-0.03823456,-0.003349517
0.048464037,0.02207143,0.055631246,0.024670191,0.039367504
0.03330291,0.030220985,-0.0086391345,-0.021860957,-0.0015774425
-0.0043381304,-0.007908933,-0.10682776,-0.048893794,0.09659517
-0.12167857,-0.0655992,-0.1830005,-0.19461858,-0.061245315
0.10747668,0.0983862,0.18961799,0.09551814,0.1259079
0.055626567,0.10499963,0.031642087,0.023476254,0.060788102
0.06472838,0.06537816,0.055855703,0.017751638,0.03018172
0.07217178,0.050480235,0.0069393804,-0.015519374,0.1036422
0.07302265,0.11266872,0.04150729,0.017467286,0.006209098
0.045200363,0.016178144,-0.0025174774,-0.06811823,0.08274756
-0.1193929,-0.024139322,-0.1849885,-0.10195041,-0.011267789
-0.116753615,-0.06553124,-0.1588267,-0.23831975,-0.10705122
0.0488904,0.005695846,0.0008006785,-0.054219358,0.06153939
0.0044338265,-0.08085089,-0.034577303,-0.103050105,-0.17979953
-0.049580965,-0.07333696,-0.049433894,-0.08409853,-0.13510081
0.06017075,0.053575538,0.041725572,0.10317786,0.019006293
0.121723756,0.03579391,0.10656647,-0.01760264,-0.0132209845
0.034718983,0.025977064,0.04395565,0.0038073463,-0.04866683
-0.08887416,-0.11519231,-0.16075665,-0.13180652,-0.16066897
