Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.0032221815,-0.01968427,-0.0025532357,-0.015625743,0.10834159
0.016226485,0.03364947,-0.027084835,-0.039723918,0.02425646
0.03596314,0.029514374,-0.061941605,0.0023021866,0.07070026
-0.0020941887,0.018931098,-0.034284495,-0.03335249,-0.03545403
-0.054106798,-0.014165645,-0.006405441,-0.06675801,-0.05050444
-0.04728391,-0.05841377,-0.010019615,-0.022524094,0.033674046
-0.10606897,-0.09530856,-0.11549123,-0.025847163,-0.034988828
0.024276434,-0.07561588,-0.0026462604,-0.0011623967,0.17358726
-0.04967002,-0.047638886,-0.09177683,-0.05814301,-0.06925022
0.0027453369,-0.009741779,-0.01965212,-0.0476157,-0.08750493
0.008848923,-0.042153534,-0.061038293,-0.07893397,-0.011396963
-0.06763134,-0.05755447,-0.07917464,-0.07209863,-0.023939118
-0.038785387,0.024441734,-0.02571528,-0.046923954,0.024399888
0.031428512,0.053765524,-0.0056666117,-0.018251415,-0.053266514
-0.10644063,-0.033054717,-0.020025872,-0.07349484,0.050561816
-0.00025642524,0.02952684,0.01136311,0.048470695,0.069541916
-0.10466541,0.022110503,-0.016286891,-0.08699033,-0.037011303
-0.14825183,-0.07922665,-0.10724361,-0.05729094,-0.00422767
0.0495094,0.049298774,-0.018998908,0.0048210584,-0.021479618
-0.094181016,-0.08769226,-0.13308516,-0.1280089,-0.12194518
-0.09069858,-0.034530748,-0.03721727,-0.14907698,-0.063316025
-0.14145379,-0.005749552,-0.11616891,-0.14123224,-0.18130997
-0.03444612,-0.007774815,0.015083799,-0.02072233,0.011265723
0.063656375,0.14656195,0.05299476,0.019253934,-0.0064553823
-0.03487304,-0.05597037,-0.010412874,0.024723412,-0.031711783
-0.05357291,-0.022148022,-0.040859643,-0.0148078585,-0.04674367
0.023438288,0.121606804,-0.043608665,-0.018129297,-0.0030053798
0.017276585,0.13314645,-0.033089336,-0.020126678,-0.031035466
0.056032423,0.15133435,0.024410782,0.047769506,0.038866915
-0.10745278,0.0294085,-0.057962313,-0.05416935,-0.12757675
-0.030104484,0.03158222,-0.028732628,-0.026348133,-0.040300816
-0.05963397,0.07900648,-0.035190586,-0.024152983,-0.07653296
-0.13563919,-0.012436055,-0.11481384,-0.124470204,-0.20246735
-0.028044963,0.06217278,-0.058026113,-0.012542602,-0.12724914
-0.17429353,-0.118035376,-0.30007923,-0.19112505,-0.25155377
