Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
-0.031002533,0.104287684,0.031192316,0.014196888,-0.061878063
-0.025174338,0.07948931,0.026857577,0.041546065,-0.07439042
-0.010431059,0.07812303,-0.006250255,0.015975997,-0.10747333
0.036856994,0.0579184,0.104756296,0.17607126,-0.06619305
-0.013556423,0.035728306,-0.02894438,0.02764137,-0.066719145
0.011725279,0.038630452,0.07934798,0.064219326,0.006745899
-0.06892487,-0.031743605,-0.09733296,-0.10708341,-0.11546945
-0.010633994,0.024214778,0.010751458,0.0035170394,-0.024413297
0.044838127,0.13634783,0.07975208,0.08154782,-0.015702467
0.022754965,0.053008083,0.010450648,-0.032892145,-0.043021932
0.01798263,0.017993674,0.12648708,0.082215354,-0.016058996
0.004326625,0.010283452,-0.0008349158,0.036784593,-0.09772609
0.10173024,-0.006660534,0.13647297,0.0030049607,0.04930138
-0.05377259,0.022559598,-0.07398079,-0.0727271,-0.12119192
0.100522935,0.08557889,0.056133047,0.12724917,0.012287552
0.067447156,0.08166265,0.117045626,0.14150621,0.09211466
0.035340346,0.058066458,0.07137394,0.0763838,-0.13289857
0.0021937229,0.036465034,-0.06618566,0.012840153,-0.027727192
0.05069257,-0.011127561,-0.014715323,0.012101498,0.00834071
0.06363352,0.031974196,0.028913753,-0.0015874077,-0.036721732
0.014035199,0.024263117,-0.009440405,0.0065798108,-0.05171055
0.026843851,-0.02756495,-0.07498324,-0.04923628,-0.09206367
-0.029598773,0.008436674,-0.102569036,-0.10420564,-0.11400582
0.020874292,0.045478866,-0.015363072,0.011465873,-0.1024473
0.025928745,0.008038659,-0.028368955,-0.000983593,-0.09966937
-0.019823167,0.060049795,0.0457179,0.04993694,-0.06430735
0.03653214,-0.012842638,0.055960767,-0.025430959,-0.021077506
0.067729965,0.008422662,0.0012996495,0.008144457,-0.10574807
0.047420345,-0.03729403,0.04681345,-0.036893964,-0.08554624
0.012088555,0.049397737,0.0011168951,0.021313064,-0.018450528
0.054475307,-0.043409936,0.03607805,-0.02870825,-0.07493678
0.027316961,0.026493378,-0.030490458,-0.012474183,-0.01382556
0.04484026,-0.028117983,0.042076256,-0.008839503,-0.10274349
-0.010833716,0.018770117,0.033329476,0.04921761,-0.06505314
-0.029957442,0.029150236,0.03818278,0.03709529,-0.082876466
0.030879717,-0.026873643,-0.08238287,-0.033707652,-0.092207395
-0.093839474,-0.06996054,-0.08897506,-0.054604985,-0.14030932
-0.0280196,-0.0098634325,-0.01094966,-0.012750611,-0.043145753
-0.06972769,0.022607327,-0.028571788,0.03668342,-0.14530611
0.023306347,0.023815569,0.020177705,0.054324772,-0.021549996
0.025893051,-0.00033978932,0.010988478,0.0058934465,0.025811415
-0.03703788,0.02371762,0.00021292269,0.0047204057,-0.06329497
-0.0057966863,-0.02396744,0.05843058,0.064467624,-0.015299399
0.087867,0.10168618,0.14943358,0.06253246,-0.04676386
-0.00059056,-0.016515572,-0.0007421095,0.032476097,-0.037636194
0.015007654,-0.0065594986,-0.050214745,0.014811067,-0.038061097
-0.0039355727,0.03166252,0.024959777,0.022806074,0.00999875
-0.033283338,0.005322447,0.00031607226,-0.0048756283,-0.09431877
-0.05212731,-0.03489969,-0.16415714,-0.12570862,-0.057498384
0.016578732,0.019188393,0.10787864,0.016103882,-0.066865645
-0.023183336,0.06683281,-0.012988236,0.02297374,-0.09988925
-0.04963004,0.056666177,-0.00016393233,0.017777072,-0.082607314
0.05067212,0.031688474,0.036079306,0.0152983945,-0.046064522
-0.06599072,0.052857623,-0.01933815,0.027348816,-0.095130205
0.033657685,0.054384034,0.05763103,0.030054225,-0.11002283
-0.025479836,-0.045006994,-0.0319648,-0.05836039,-0.0782912
-0.05655064,0.00087969005,0.0013038665,0.01838482,-0.14980236
-0.074090466,-0.02781043,-0.029404221,0.00695334,-0.08887753
0.04408725,0.011821239,-5.4063275e-05,-0.0059167724,-0.0902898
0.04131075,0.08146663,0.07357802,0.019419879,-0.040792584
-0.03751397,0.04553112,0.011838544,-0.048527054,-0.106596306
0.033116885,-0.08632919,-0.08876379,-0.072012015,-0.11218576
-0.006952718,0.0685707,-0.014148083,-0.012327034,-0.05745854
-0.042033784,0.022419464,-0.04980921,-0.048822924,-0.12961233
0.021704286,0.029859584,0.0009930432,-0.03411821,-0.019385513
-0.033065908,0.033564854,-0.027661541,-0.07599376,-0.11097623
0.013045734,0.051670592,0.02286471,-0.0004942729,-0.09736792
-0.09871085,-0.0041798893,-0.044863373,-0.052792795,-0.11676427
0.07790611,0.060027633,0.04856941,-0.031087743,-0.027635762
-0.025915831,0.0013142228,0.03602339,-0.022228522,-0.021531753
-0.11181563,0.03812845,0.010108199,-0.031012017,-0.09288835
-0.034144096,0.104590565,0.012162595,-0.0070162006,-0.1009433
-0.07912789,0.098028675,0.05121848,0.006466962,-0.1758562
-0.036287434,0.037227273,0.023655763,0.021570295,-0.08263
-0.038590573,0.053988904,-0.0208191,-0.030592209,-0.15560383
-0.08196033,-0.053012908,-0.068200916,-0.024229828,-0.1610149
-0.028612077,0.08505413,0.06486119,0.008411548,-0.09771825
0.02673247,0.07426746,0.03098341,0.0009653715,-0.11306469
-0.026854174,0.106673956,-0.028346304,0.032472536,-0.09512704
0.038671613,0.03223478,-0.03647219,-0.029130058,-0.15340167
-0.082679585,0.021051966,-0.043192007,-0.09462282,-0.16927299
-0.063443236,0.008325513,-0.09327009,-0.09779939,-0.079760745
0.027193611,0.11314502,0.06620458,0.03691595,-0.093870886
-0.0772471,0.04408075,0.015714642,-0.02236458,-0.103834555
-0.020877931,0.030113487,-0.0035830103,0.022439519,-0.06570925
0.008075481,0.104892865,0.03632249,0.0021948027,-0.08846377
-0.020778961,0.102799624,0.03772102,0.016614152,-0.08193556
0.078744814,0.16769797,0.10757873,0.05435399,0.020616388
-0.054883607,0.03681553,-0.00051575806,0.0045751613,-0.067588344
0.0013612658,0.04969093,0.03188186,0.0365718,-0.0049621575
-0.11160896,-0.031888023,-0.09954089,-0.09377293,-0.15141203
-0.03814853,0.062454112,0.043477435,0.040092394,-0.06133024
0.11648342,0.1177139,0.13774607,0.108329944,-0.027237497
-0.06632611,0.037885584,-0.052952837,0.0049041407,-0.08431582
-0.0015981863,0.022501618,0.021260653,-0.0041210973,-0.11579819
0.001681933,0.049578793,-0.003713673,0.004210557,-0.114101134
-0.18289652,-0.11087034,-0.14267567,-0.05426412,-0.26861036
-0.011882164,0.057496466,0.00014530413,-0.0028418286,-0.07340246
-0.077634454,0.0068131965,-0.022025976,-0.06103019,-0.13989238
-0.18664649,-0.088886835,-0.20636164,-0.124073446,-0.27456874
-0.11109379,-0.018627519,-0.08323026,-0.12817556,-0.17307442
-0.054843545,0.00886134,-0.0016691498,0.035601143,-0.18218759
0.049396258,0.047185194,-0.02693981,0.03462627,-0.11078685
-0.09993841,0.05845717,0.030771354,-0.02294332,-0.09899837
-0.17677121,-0.022720076,-0.13325527,-0.11696224,-0.3696828
-0.020120475,0.05021766,-0.01737959,-0.046781518,-0.0791817
0.08047216,0.08002907,0.06203102,-0.04142897,-0.044768523
-0.062238738,-0.02026157,-0.08857035,-0.042924974,-0.08870475
-0.08776033,-0.013407952,-0.087267734,-0.11840555,-0.19186953
-0.11879945,-0.016422162,-0.035128284,0.019655462,-0.06762322
-0.0390048,0.054592535,0.0015841259,0.003675837,-0.077573456
0.045051634,0.023796152,0.005410893,-0.04981707,-0.04263962
-0.0045590946,0.0076888707,0.024115456,0.023835167,-0.11608489
-0.08384154,0.040491898,-0.086683854,-0.044020887,-0.15376762
-0.04388557,0.039091654,-0.040935375,0.034193516,-0.0669265
-0.0054544266,0.0013901498,-0.020380741,-0.019175634,-0.09350239
-0.062661745,0.020323837,-0.052590974,-0.08147662,-0.2043966
-0.09830549,0.00061209523,-0.100834765,-0.09828246,-0.13373426
-0.00537296,0.036446042,-0.014134342,0.0037852675,-0.084377706
-0.078881696,-0.0101215495,-0.041296612,-0.04515654,-0.16933686
0.032582972,0.094591916,0.08600821,0.041191228,0.04420969
0.08388809,0.16183609,0.13740654,0.019943291,0.04057221
-0.025063746,0.104236424,0.0456653,0.00026100315,-0.029668383
-0.06547247,-0.009604486,0.018243078,-0.07531628,-0.20794106
-0.07350858,0.043248687,-0.024108514,-0.005567369,-0.07047725
0.05227261,0.08048631,0.056300282,0.037908107,-0.030180126
-0.040114027,0.018739525,0.018075015,0.008603626,-0.04932935
-0.081139676,0.03102733,-0.01754519,-0.041663185,-0.0866745
-0.16070035,-0.012977963,-0.041254338,-0.028550986,-0.12817368
