Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.018948335,0.14119294,0.16538118,0.090930864,0.033694565
-0.06784525,0.0022491906,0.054270305,0.02201831,-0.107207164
-0.03652863,-0.05039894,-0.0023154486,-0.07372369,0.00010207156
-0.00020241737,0.091440424,0.12969646,0.026200792,-0.06504252
-0.007475938,0.13290341,-0.0013092645,0.0020992104,-0.043837175
-0.088232815,0.1698711,-0.01566751,0.02940147,-0.011686599
-0.04540687,0.15216881,-0.0146038905,0.024547372,-0.0108995065
-0.11974381,0.18024798,0.04732217,0.06812727,-0.00053173106
-0.059772626,0.21592742,0.007717779,0.04272614,-0.01092699
0.037711788,0.1332913,0.054490466,0.049965836,-0.0107079595
-0.0176365,0.16776744,0.052170116,0.04380456,-0.011431156
-0.0060046744,0.1466941,0.027036224,0.01797746,-0.053804442
-0.03457949,0.15347463,-0.0070038866,0.045238163,0.06910579
-0.041437402,-0.071375936,-0.14126275,-0.090561815,-0.10392901
0.05719602,0.17849717,0.13390104,0.10612524,0.00601001
-0.040828332,0.15818694,-0.011442861,0.056246277,-0.015760195
-0.084222406,0.006786056,-0.09449085,0.005911242,-0.048219845
0.042343207,0.07510091,-0.07958484,-0.04072925,-0.009588471
0.017818011,0.14892413,0.016298765,0.028837657,0.01970023
0.010608657,0.16560975,-0.015941491,0.01627594,0.030098418
-0.116838604,0.104526356,-0.050788037,0.025190376,-0.008533772
-0.05493685,0.21798408,0.07033378,0.052025,0.0400541
0.014930312,0.2339608,0.07009825,0.11526404,0.06496324
-0.0021931536,0.17957768,0.00013852463,0.012998295,0.035409402
-0.013376076,0.22924529,0.1393784,0.13533702,0.11392304
-0.054893095,0.17978229,0.00820869,0.08059704,0.007896837
-0.057419874,0.13323313,-0.020377995,0.011460768,0.010643019
0.0386952,0.03854446,0.09031674,0.107953675,0.0041717356
0.053291403,0.044873897,-0.08909944,-0.114065595,-0.022500295
-0.0716475,0.18701796,0.0066698715,0.018498039,-0.054072194
-0.011511999,0.20280758,0.00015827804,-0.0326851,-0.009669801
0.05447559,0.21527627,0.13689438,0.07632797,0.047878843
-0.04454987,-0.011178594,-0.06541647,-0.08424858,-0.12307826
-0.04964173,0.05473874,-0.042332295,-0.05008647,-0.118056305
-0.22526373,-0.016159657,-0.13861354,-0.08777795,-0.2520033
-0.026408048,0.1767444,0.019728439,0.016539622,-0.008741743
0.07056809,0.037100375,0.012978967,-0.060026217,-0.10307854
-0.032209065,0.03873859,-0.022833217,-0.009287456,-0.050404876
-0.054247618,0.01995682,-0.1104615,-0.09028448,-0.16427891
-0.14781368,0.08636343,-0.042934366,-0.039300002,-0.12856609
0.033675976,0.11439606,0.024155572,0.005560476,-0.0026304051
-0.010695463,0.22383472,0.079435244,0.052024927,0.02535414
-0.020608505,0.23618126,0.066456035,0.07958016,0.035736732
0.017527943,0.12414642,0.04986733,0.039459627,-0.01709451
0.006778013,0.10932687,0.010337608,0.0050056414,-0.030472593
0.09037353,0.09832346,0.08359216,0.06028774,0.024997585
-0.0076040123,0.0913063,-0.008153407,0.016868405,-0.06257534
-0.005605823,0.043355715,-0.008995338,-0.024516184,-0.11486713
-0.044469535,-0.03071147,-0.020780249,-0.03212757,-0.15288953
-0.16024804,0.09129981,-0.030831294,0.030235486,-0.11079173
-0.2364717,0.048058935,-0.08975777,-0.065073274,-0.15973952
-0.19688202,0.019375937,-0.15281117,-0.10876897,-0.12290919
-0.105005175,0.08783932,-0.04357508,-0.02434859,0.00095783174
-0.03705643,0.098289914,0.040043823,0.08822044,-0.016767465
-0.01452552,0.18693152,0.017109813,0.020949407,0.004891405
0.041658793,0.07093534,0.1341627,0.16832209,0.0888186
-0.020222887,0.15569416,0.060694333,0.13111122,0.037163433
-0.0033910964,0.15238562,0.08767635,0.119487114,0.033231642
-0.002408401,0.23762575,0.12478037,0.18873096,0.04580249
-0.06573934,0.1383582,0.0030314391,0.14702168,0.04313458
-0.004165964,0.20791236,0.101521775,0.080593504,0.060998883
0.02572727,0.0129371425,0.07510433,0.1044863,0.04362119
0.0046482678,0.16644397,-0.0071193944,-0.016813371,-0.0006432254
-0.01095557,0.01858139,0.038224,0.0003426671,-0.03117196
0.042642497,0.06805886,-0.01009886,-0.051993534,-0.08938547
-0.022637848,0.117044225,0.011706457,-0.034483176,-0.05833474
0.02227962,-0.017173588,0.05783598,-0.07903636,-0.042339474
-0.06306907,0.13991898,0.052409343,0.026883543,-0.0059413193
-0.025792427,0.21351884,0.08940409,0.07056254,0.008305157
0.05275573,0.12977523,0.1668329,0.045447785,0.042911723
0.0174898,0.15717751,0.063160166,0.08739728,0.034768254
-0.0054765064,0.23934802,0.12183893,0.06700234,0.06415443
-0.0057347184,0.14511655,0.03560569,0.012348139,-0.08708749
-0.014936414,0.10805898,0.052079357,0.048183333,-0.003834309
-0.04054699,0.20847881,0.046152264,0.08826525,0.028974745
-0.08216321,-0.05971943,-0.06937887,0.011030544,-0.028539363
-0.039256107,0.11709316,0.09752084,0.044657476,-0.09401652
0.04863517,0.13820086,0.19875056,0.109730825,-0.032205235
-0.10660701,0.1593547,0.083825946,0.04899285,-0.03102968
0.084840424,0.2428459,0.22692385,0.13278027,0.041894257
-0.09655498,0.06807695,0.09345575,0.10611501,0.025570605
-0.12503643,0.24600907,0.096019655,0.10363678,0.03467163
-0.09706285,0.2661906,0.14101325,0.18217248,0.074275725
-0.049381822,0.21206808,0.17786188,0.1818502,0.055345837
-0.07480791,0.026173675,-0.072019145,-0.071825735,-0.11975181
-0.061079375,0.05541677,-0.04191447,-0.010938063,-0.12764908
