Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
-0.023453608,0.083106495,-0.011974942,0.0010717721,-0.081140995
-0.004043891,0.07751885,0.011781963,0.013853974,-0.029064083
-0.009957381,0.00862007,0.029817738,0.054183077,0.0090458775
0.022091525,-0.032085553,-0.074034974,-0.013336638,0.0076298886
0.0003090836,-0.0020243656,-0.040072646,-0.039714456,-0.073499024
0.05556231,0.010729341,-0.0057285707,0.039230436,-0.012982005
0.05749717,0.0763483,0.050246574,0.026218126,-0.009235162
0.01802439,-0.008585783,-0.04942596,-0.010031711,-0.065775394
-0.013297703,-0.01890951,-0.045723118,0.033050634,-0.03644321
0.007182942,0.1048532,0.09418364,0.06571287,-0.042442303
-0.02104951,0.012193257,0.039301414,0.029824927,-0.010399617
-0.0058500664,0.03600388,0.049359564,0.03243199,-0.102345906
0.029983131,0.084027246,0.15178825,0.22280234,0.052247867
0.061223753,0.0356915,0.07051025,0.05212918,0.0692831
0.010621818,0.043227576,0.085797995,-0.025370773,-0.0039804964
0.0077790534,0.094389275,0.010519091,0.0641383,-0.031944886
-0.05600235,-0.010504454,0.0050637536,-0.018144755,-0.015707947
0.05522583,-0.011575548,0.045481905,-0.025164284,0.085356764
0.04745537,0.03571831,0.0055965483,0.009551594,-0.081530854
-0.011984624,0.037128232,-0.00456981,0.036235336,-0.04444855
0.00831222,-0.090291046,-0.034177244,-0.03592774,-0.07198683
0.004015496,-0.045182105,-0.033135824,-0.01926467,-0.004361327
0.034795042,0.040960032,0.03885016,-0.0018118266,-0.04028188
0.035083044,-0.010911034,0.029444491,0.06175202,-0.016400645
0.0064865183,0.030795377,0.028262317,0.0001975298,-0.05469788
-0.06721891,0.0051205084,-0.045672774,-0.055996526,-0.060565043
-0.021931777,0.047793984,0.015955012,0.04593598,-0.040147968
-0.020991651,0.04587056,-0.026757833,0.023526803,-0.00957209
0.02263844,0.032163076,-0.0234592,-0.012361748,-0.115304366
-0.010040605,0.015954493,0.019736288,0.017892942,-0.017055549
0.033841223,0.06493484,0.00034030154,0.034230933,0.005668316
-0.12082177,-0.020119844,0.04043796,-0.030722745,-0.1368953
0.05814106,0.10384561,0.07297459,0.00855853,-0.011521665
0.03354739,0.09037119,0.05883183,-0.023134694,-0.0036141742
-0.009530187,0.059693627,0.024024943,-0.00015634298,-0.01567224
0.028214024,0.033997405,-0.012281567,-0.012810454,0.0042357147
-0.03626071,0.02281084,-0.0032840017,-0.018622633,-0.06545018
-0.014861795,0.042193502,-0.020215362,0.03645403,-0.024452541
0.024629897,-0.0021547023,0.03859129,0.09753102,0.0052310126
-0.04554081,0.01397804,-0.026274422,-0.03718625,-0.091409884
-0.029291298,0.018483084,-0.026141293,0.006336609,-0.026215274
-0.016444176,-0.0046096984,-0.015417084,-0.007242971,-0.02965456
-0.06584261,-0.02318414,-0.06386851,-0.06411404,-0.07783861
0.00426676,-0.00014111213,-0.03313052,-0.025766002,-0.039282266
-0.027044611,0.03706803,-0.02780754,-0.00813132,-0.04206243
0.059629206,0.08038522,-0.0331277,-0.027063388,-0.038102053
0.057782087,-0.024531657,-0.014830089,0.04477588,-0.05332733
0.08425416,0.11083203,0.024863413,-0.013555545,-0.030441409
0.06796984,0.053398285,-0.03717117,0.0031413771,-0.0448448
0.037985463,0.095299274,-0.013076641,-0.043373585,-0.041232336
0.06717398,0.03507036,0.07774423,0.061088517,-0.018581461
0.031953856,-0.0015402278,-0.11895344,-0.07459467,-0.08187637
-0.04097539,-0.056867007,-0.11935937,-0.15149069,-0.0740524
-0.021880692,0.03709842,-0.051253993,-0.04097824,-0.06269192
0.031998686,0.092427455,0.012653126,0.0008307509,-0.0020740759
-0.038072508,0.077206895,-0.0063094776,-0.006117234,-0.0422885
-0.029181495,0.05579062,-0.012604091,-0.052184816,-0.12279375
-0.07782176,0.047427725,0.0021682847,-0.042810615,0.0017798031
0.015496172,0.029767904,-0.033932246,-0.029160736,-0.07015958
-0.0009435117,0.07919416,0.0416784,-0.037364185,0.017030032
-0.009065774,0.015621777,-0.049006496,-0.07440627,-0.13100341
-0.00904907,0.09337106,0.06499129,0.003775672,0.0059848977
0.01618879,0.105874956,0.07067092,0.0072485376,0.013859664
0.006532344,0.12430673,0.054635935,0.0065909773,-0.021315001
0.07025851,0.038992047,0.04299435,0.008340204,0.037693266
-0.01625715,-0.0077585615,-0.053367678,-0.10881251,-0.13937365
4.714355e-05,0.008887761,-0.037352808,-0.008264422,-0.04921063
-0.056154624,0.05712861,-0.07327092,-0.05781664,-0.12499222
-0.21823496,-0.06585029,-0.17818531,-0.15604374,-0.31052202
-0.049265373,0.012090093,-0.039592072,-0.048223805,-0.050672464
-0.009653452,0.043295432,-0.06603037,-0.057649307,-0.16318098
0.01934122,0.036968518,-0.0019835792,-0.013492894,-0.08294116
-0.012583111,0.015762439,-0.018014584,-0.019632185,-0.0727509
-0.014602222,0.08068926,-0.007146487,0.0045952927,-0.065252624
-0.10901272,0.022004204,-0.025795043,-0.054391097,-0.0838472
0.016420148,0.12744848,0.022777352,-0.012928637,-0.14293554
-0.014736256,0.051917553,-0.0015288331,0.015311676,-0.05684501
0.024165062,0.10764587,0.12134407,0.053523794,0.040682804
-0.013842556,0.0056497566,-0.0030655935,0.03041249,0.01597576
0.009658775,0.08705354,0.037217893,0.0063677803,-0.060175866
0.04088517,0.0625154,0.023439765,-0.00737371,0.02028335
0.00024141278,0.038236506,-0.025751075,0.017948035,-0.054799907
-0.04504345,0.0476057,0.0056743626,0.06867555,-0.073087245
-0.011268874,0.077467725,0.041476466,-0.021919861,-0.04232064
0.029731775,0.06332673,0.033204142,-0.014115149,-0.020660646
0.0059775235,0.050926886,0.04253933,-0.002329247,-0.027469302
-0.040905416,0.065813705,0.050043225,-0.037163235,0.009939089
-0.026839092,0.020236049,-0.027238403,-0.034865182,-0.05060129
-0.0365933,0.051660698,-0.0022054482,-0.0062467055,-0.08727287
-0.02229789,0.03789093,-0.037354384,-0.047399428,-0.0727933
0.0071223867,0.021930024,-0.0006324332,-0.01329322,-0.053798098
-0.031049617,0.05959987,-0.035162997,-0.053959433,-0.06290606
0.063512415,0.12440333,0.098143294,0.018325455,0.045996245
0.0582496,0.082521096,0.09236006,0.022962082,-0.0036247615
0.008383767,0.10771053,0.06923176,-0.003235959,-0.07578381
0.0625278,0.105074726,0.14020818,0.050949562,-0.038727038
