Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.023913406,0.05072593,-0.033300474,-0.061138682,0.0028484873
-0.02102545,0.094238296,0.013321979,0.042642124,-0.0046439404
-0.014258489,0.085762754,0.034853388,0.028944787,-0.0084959045
0.020891916,0.06060035,-0.01652077,-0.054577976,-0.03324289
0.05642915,0.044840593,0.055100657,0.045979045,0.12516248
-0.023160223,0.015978828,0.017174117,0.015148155,-0.020232191
0.07639739,0.068890594,0.059779633,0.033137694,0.025010882
0.033257507,0.050293665,0.005946623,0.026766194,0.0896435
0.024533493,0.036843173,-0.0025106976,-0.027403599,0.04485114
-0.02696109,0.034463543,-0.0010302509,-0.020045832,-0.017344
0.07355335,0.044175964,0.059875168,0.011116869,0.043619897
-0.00016018748,-0.00029631332,-0.060432307,-0.08358085,-0.080755204
0.035427146,0.07500291,-0.001384411,-0.047740787,-0.06398623
-0.06524934,0.03291577,-0.052955806,-0.073754385,-0.10785665
0.005214286,0.08144203,0.11510292,0.036610037,0.03414759
0.010359824,0.06385013,0.016276242,-0.039851725,-0.08439171
0.10629881,0.038189482,0.007870194,0.035710573,-0.020317696
0.0056313463,0.056354396,0.0114903245,0.046790205,0.058468595
0.011615891,0.045433104,0.016760636,0.05732967,-0.013583519
0.09771711,0.11436544,0.11323197,0.07985368,0.08539832
0.007348177,0.06571786,0.03194272,-0.02999285,-0.018539408
0.039588276,-0.048929855,-0.09524961,-0.09798099,-0.10703154
0.014265202,-0.047243133,-0.10626915,-0.056165025,-0.086583585
0.030389724,-0.033774037,-0.11786448,-0.084858306,-0.08891326
0.026540436,0.0021934402,-0.100077376,-0.031651028,-0.103547096
-0.032948088,0.03295553,-0.048471242,-0.03648963,-0.07739982
-0.05244565,-0.007471673,-0.0801976,0.003953019,-0.072776034
0.015615324,0.08909334,0.0026357379,-0.0034167161,-0.056369998
0.0469914,0.071099535,0.052490413,0.0099676885,-0.034181815
-0.06729604,-0.009902645,-0.06247458,-0.08715088,-0.029430006
0.010155935,0.08346045,0.101126805,0.007747565,-0.086034104
0.063303106,0.10228475,0.07379997,-0.07744448,-0.008129246
0.004655326,0.011747015,0.017250735,-0.08254397,-0.12977761
-0.03395171,-0.005857371,0.007164768,-0.06121537,-0.10621222
0.026919296,0.03538918,0.0027972106,-0.065900296,-0.09098166
0.009262927,0.038385235,0.009704821,0.039710306,-0.006861073
0.047155946,0.009477218,-0.019798465,0.025157118,-0.07084153
0.08072465,0.025002122,-0.0100274645,0.030205812,0.003949548
0.021134693,-0.07379022,-0.07398325,-0.09772853,-0.12751181
0.001853147,-0.023773076,-0.0022771526,-0.03297841,-0.026583847
0.009877898,-0.055015177,-0.08388413,-0.09562643,-0.10080987
-0.06078364,-0.043858387,-0.10877793,-0.13018557,-0.12673962
0.02164571,0.019174727,0.020393789,0.026766947,-0.05072059
0.042106666,-0.040710326,-0.04326128,-0.06568504,-0.0751906
0.015845606,0.02706927,-0.0033464227,-0.031102378,0.019059451
0.11485508,0.014387773,0.044021476,0.062163156,0.045187697
0.040472306,0.002326291,-0.095383085,-0.12264337,-0.078973636
0.0027121184,0.033275478,0.033954114,-0.013439145,-0.030140886
-0.014189998,-0.019257328,-0.009625865,-0.05547534,-0.056788355
0.06916854,0.009544775,-0.056723222,-0.052726395,-0.05989666
0.07365156,-0.0100398315,-0.041086707,-0.027859878,-0.028254323
0.053162064,0.055882312,0.0003372347,-0.014988733,-0.04424995
-0.027612545,-0.018473549,-0.06321137,-0.080234304,-0.1246696
0.039716516,0.026120517,-0.052954137,-0.07367256,-0.09584384
-0.0036120862,0.037330072,0.033880766,-0.06766673,0.02333094
0.056463197,0.0130046215,-0.003173824,-0.049788598,0.046682373
-0.0030555925,0.012630445,0.081196256,0.05080925,-0.018586207
0.019166835,0.076091215,-0.021843033,-0.008476836,-0.0685885
-0.048232455,0.0048296135,-0.047428083,-0.08430058,-0.12003518
-0.010593824,-0.048888292,0.02848062,0.0065872474,-0.09331097
-0.0040362678,-0.021147298,-0.063918754,-0.1201249,-0.12513646
-0.0012309179,-0.012237316,-0.045552976,-0.10008107,-0.12894526
0.021371039,-0.044517852,-0.08215496,-0.08761317,-0.10664643
-0.13297082,-0.075317614,-0.08071885,-0.08089912,-0.21131182
-0.021377755,-0.10850353,-0.084267214,-0.049731743,-0.18043205
0.059542518,0.0128854625,-0.07399543,-0.0117318,-0.06547273
-0.037866414,0.0019922778,-0.038576495,-0.010312645,-0.062419824
-0.0018874388,0.037934475,0.05606219,0.035379227,-0.0050378833
0.06777448,0.014193954,-0.03650402,-0.016366472,-0.024689363
0.04909972,-0.050948795,-0.03514582,-0.046007983,-0.0676801
0.034777835,0.015442643,-0.03153338,0.016509589,-0.024299372
0.028973244,-0.030794553,-0.06460032,0.025785744,-0.07147501
0.0325375,0.0032665539,-0.10192794,-0.025885584,-0.07386495
-0.008676747,-0.029114671,-0.11911756,-0.11660148,-0.09338291
0.008274484,-0.059070848,-0.07691409,-0.09562668,-0.09614691
0.055119645,0.07629241,-0.099961475,-0.024005234,-0.031604752
-0.023830095,-0.044780657,-0.1043717,-0.14938897,-0.116873056
0.042129174,-0.013359368,-0.058983717,-0.026126044,-0.021004248
0.03615631,0.022548858,-0.06353296,-0.0046621263,-0.04973938
0.029570684,0.031666774,-0.028810073,-0.0069895387,-0.03342421
0.042373966,0.028392822,-0.038199343,0.03543491,0.002127231
-0.043850344,-0.018717278,-0.0622966,-0.004360281,-0.041465543
-0.007849541,-0.009857353,-0.056934554,0.012525523,-0.019779248
-0.047537442,0.0034952313,-0.039664593,-0.043910198,-0.032072015
0.003939643,-0.025131064,-0.035906423,-0.042266846,-0.015680417
-0.014454542,0.013113355,-0.0024099872,-0.01803656,-0.043991193
-0.05291979,0.013403175,-0.066897936,-0.06630428,-0.06135194
-0.027017329,0.008864937,-0.029313449,0.016809445,-0.06517975
0.02786367,-0.023956701,-0.027155222,0.013556373,-0.015415538
-0.09414922,0.053660132,-0.042585067,0.004419416,-0.1600356
-0.034800164,0.0026762402,0.0029574465,0.02489711,0.004573752
-0.08949464,0.007287031,-0.026955057,-0.044118144,-0.048407827
0.063055575,0.027904345,0.03836749,0.0101267,0.036350403
-0.10694936,-0.030600818,-0.06704887,-0.09111987,-0.18170893
-0.11365214,-0.052792396,-0.08357055,-0.052651804,-0.14266725
0.008959368,0.050491527,-0.017786102,-0.040432014,-0.06552208
-9.62012e-05,0.03346458,-0.03900867,-0.08104149,-0.077756874
-0.07633012,-0.043037333,-0.061040048,-0.036403324,-0.07313478
-0.023133127,0.017031278,0.021265883,0.004251026,-0.057245865
0.011702403,0.06405762,-0.053282324,-0.05615987,-0.07947546
0.04143681,0.064772636,-0.02216962,-0.05895632,-0.030763414
-0.0067682313,0.05027263,-0.028548928,0.015934099,-0.050595008
0.057133876,0.022620443,-0.0015434385,-0.035565834,-0.023073824
0.031199988,0.05435021,-0.057926454,-0.072475016,-0.04854212
0.02312548,0.05496365,-0.03883612,-0.029992048,-0.021799538
-0.010228828,0.063776985,-0.014773993,0.0009706137,-0.033194646
-0.0017577475,0.035670526,-0.011937865,-0.017313335,-0.024164658
0.036876053,0.03370709,0.0043515554,0.022928758,-0.018385354
-0.016213924,-0.027803684,-0.06594549,-0.08526972,-0.107112534
-0.043170303,-0.003044339,-0.057879098,-0.07864158,-0.1069281
0.040407263,-0.009845734,0.014069494,-0.00042060134,-0.10493681
-0.012944617,0.010974618,-0.023182906,0.012039576,-0.10015763
0.015055356,0.02535183,0.017453516,0.025726777,-0.07430425
-0.007818052,-0.027600665,-0.030164877,-0.052358262,-0.08683352
-0.016456861,0.050816644,-0.008878133,0.0063432124,-0.09415871
