Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
-0.029979581,0.04802622,0.0032218508,-0.01759071,-0.1274438
-0.00038379617,0.04760169,0.0839345,0.12133293,0.05535605
0.012526186,0.12168819,0.09926661,0.06249407,0.007573208
-0.13093641,0.0117958095,-0.041451894,0.080778256,-0.038904708
-0.04836092,0.07463987,0.07741257,0.14361452,-0.019881045
-0.06372893,0.034298427,-0.0113963615,-0.015249623,-0.12134174
-0.023673287,0.041660015,-0.0023323037,-0.01558893,-0.11233993
-0.008142553,0.040421285,-0.013205174,-0.01507673,-0.053580306
-0.08147986,-0.034525234,-0.008706454,0.02537583,-0.120751165
-0.10725745,-0.0040195584,-0.06337513,-0.076888844,-0.13086152
-0.10468581,0.027301295,-0.050426524,-0.026813485,-0.1608736
-0.11494489,-0.039536536,-0.027974643,0.015131919,-0.18734154
-0.013447478,-0.00406282,0.01460675,-0.06578208,-0.06809588
-0.0779112,-0.008684772,-0.09707244,-0.09330255,-0.14288451
0.026166677,0.009596284,-0.052695878,-0.022825085,-0.0177092
0.007005118,0.004304283,-0.025710192,-0.017034255,-0.1064613
-0.0448395,-0.04651303,-0.02357764,-0.011849998,-0.07107242
-0.087607354,0.0037439559,-0.057413347,-0.042039804,-0.08769047
-0.058896415,0.05034489,-0.018656343,-0.03378258,-0.12358786
0.021063758,0.030570658,0.06373155,0.0060933568,-0.053974725
-0.12947021,-0.014168515,-0.06641839,-0.12139742,-0.204317
-0.20069832,-0.0401173,-0.118794344,-0.13426146,-0.21984676
-0.045443684,0.018362675,0.019525617,-0.013435591,-0.09070385
0.015962314,0.09443851,0.10784772,0.05851175,-0.04271099
-0.028739471,0.09791823,0.08337551,-0.010961615,-0.074635774
-0.029087737,0.09643246,0.0027463976,0.02707674,-0.116395116
-0.03365648,0.06390952,0.07298009,-0.010321283,-0.082232654
-0.015762482,0.064112075,-0.003860008,-0.036424365,-0.080857724
0.05050113,0.07914558,0.040694647,-0.029901111,0.010963036
-0.05909867,-0.055045336,0.022269502,-0.0096464455,-0.13498414
-0.08537609,-0.0465411,-0.013434743,-0.036041565,-0.1647518
-0.111215435,-0.050615627,-0.016104352,-0.045685664,-0.15739164
-0.07350713,-0.027220022,0.031741038,-0.038413487,-0.14167641
-0.061438322,-0.07169437,0.009027711,-0.06980381,-0.14316222
0.016731575,0.0015870732,0.061529938,-0.019371297,-0.07173277
-0.026774729,0.03247021,0.034482103,-0.049003337,-0.06693683
-0.0715627,-0.019724293,-0.00096669234,-0.048327938,-0.1668106
0.009645814,0.053119052,0.046024617,-0.034259737,-0.102457725
0.046256106,0.048283957,0.0920737,-0.051974893,-0.044069085
-0.050006617,0.016814563,0.04640446,-0.031418096,-0.1512671
0.023029452,0.0017340034,0.06392775,0.10179952,-0.11885197
-0.03585141,-0.010592358,-0.034832988,0.0073488574,-0.22260267
0.06669113,0.039892785,0.09962686,0.120123684,-0.08829258
0.04159689,0.01193672,0.10102411,0.03412506,-0.12836003
-0.040531546,0.03533977,0.0032730848,0.064218,-0.12439667
-0.026940737,0.03142005,-0.004013717,0.028470749,-0.10523693
-0.081823945,0.007469968,-0.009792851,0.027019346,-0.14760715
-0.020603782,0.033031374,0.03775057,0.037957754,-0.18384719
-0.05106297,0.0076746326,-0.00216999,-0.013899996,-0.1919384
-0.038663395,-0.04574925,-0.013671884,-0.033307888,-0.088027015
-0.024790691,0.084753394,0.04906548,-0.002726134,-0.14419174
-0.08227551,-0.011570992,-0.0120158605,-0.008677173,-0.17326331
0.03663356,0.0271755,0.0055277795,0.0372867,-0.15159814
0.020053655,0.011549135,0.10339691,0.03092425,-0.0771504
0.0054741986,0.10449443,0.14307737,0.10714001,-0.085280254
0.022860792,0.13166709,0.14509328,0.1509608,-0.045627456
-0.11937179,-0.08285645,-0.0699904,-0.03267415,-0.14909476
-0.030490197,0.06305198,0.06031388,0.010240757,-0.054066807
-0.14324233,-0.034855947,-0.054672144,-0.08861479,-0.12462343
0.0078487,0.01613516,0.041596904,-0.09087025,-0.041446134
-0.098221205,-0.036097005,0.014265933,0.0010438561,-0.1428118
-0.045964237,0.0022872468,0.06534196,0.0023132376,-0.09481865
-0.04103142,0.04867711,0.05552041,-0.008537328,-0.064174935
0.061785154,-0.037360452,0.037798043,-0.05054284,-0.054166142
-0.12087393,-0.064033486,-0.023182888,-0.07137583,-0.15022539
0.041194126,0.030339664,0.14788271,0.03890927,-0.069349006
-0.019785188,0.004489405,0.005896535,-0.030492095,-0.10842351
0.07765157,0.092250034,0.12475866,0.1104296,-0.0067042382
0.010729833,-0.003937781,0.028919404,0.05182074,-0.09133602
-0.12509584,-0.039192103,-0.07051449,-0.09866873,-0.2427065
-0.011006812,0.027908728,0.064907834,0.018262792,-0.058810733
-0.10974991,-0.072046876,-0.116904214,-0.13820079,-0.22038212
0.04931148,0.04519906,0.0035048332,0.049170796,-0.118814856
0.04159507,0.056457184,0.007651914,-0.02031206,-0.15598015
-0.003663877,0.027436998,0.004067135,0.03773818,-0.15065432
-0.050193712,0.029113613,-0.007236759,-0.036974847,-0.13436237
-0.11952783,0.040784664,-0.043340582,-0.0055073258,-0.18769129
-0.018459124,0.008396654,0.064044006,0.05475959,-0.05321499
0.04051977,-0.026365312,0.06665413,-0.02540518,0.019566521
0.0029882197,0.025408275,0.10761242,0.12073442,-0.032599192
0.100283116,-0.00079047494,0.12942164,0.051220383,0.02899747
0.0727958,0.086704895,0.18429017,0.1924672,0.102340534
0.075038955,0.060713507,0.17532335,0.04089879,0.10220088
0.14897859,0.0044332864,0.13627055,-0.014555284,0.012820551
-0.08843651,0.030877912,-0.06560877,-0.04450345,-0.11991245
