Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.08911522,0.056742083,0.07185225,-0.0018591667,0.0036681052
0.0003422876,0.021835525,-0.07135903,-0.107847586,-0.09268622
0.08779147,0.034374174,0.019027598,-0.051815346,-0.062061552
-0.008930754,0.025741477,-0.07456157,-0.015083829,-0.031284906
0.081275925,0.0032641338,0.0152073,-0.039358318,-0.06887779
0.13571846,0.008135449,0.040858194,0.064367734,0.06290809
-0.04688088,-0.014389582,-0.087598406,-0.049094573,-0.13980205
0.051704016,-0.03562455,-0.07841755,-0.06933634,-0.16400506
-0.038058266,0.0044645295,-0.08985625,-0.07397051,-0.11775221
0.11246453,0.030750476,0.07059283,-0.0510725,-0.02901776
0.075613245,-0.031204773,-0.04558763,-0.14422052,-0.11307858
0.09625392,0.07147522,0.15778992,0.03619054,0.010127479
0.037872724,0.019382203,-0.034725,-0.094452254,-0.08289985
-0.015026319,0.030325565,0.02246586,0.012746678,-0.022796245
-0.08322401,-0.009559635,-0.06881384,-0.010025175,-0.11450619
0.018863715,0.07367632,0.07443514,-0.011053447,0.06117988
-0.15869686,-0.12197614,-0.12524197,-0.22249755,-0.21070762
-0.025055658,-0.12901555,-0.054823183,-0.1111705,0.014631071
0.033859,-0.032357994,0.009342558,-0.043545343,-0.082884796
-0.023604127,0.0050421916,-0.015109247,-0.09019382,-0.084530644
-0.030433074,0.061464492,0.031107299,0.024704704,-0.11395914
-0.080552205,-0.03626538,-0.11065399,-0.14391206,-0.10406992
0.018887183,0.055035084,0.009696294,-0.09787479,-0.0071747378
-0.0020516515,0.05352638,0.043365687,-0.03267376,-0.050958455
-0.050276265,-0.0310686,-0.0797174,-0.10493675,-0.12020789
-0.030681424,-0.0064075645,-0.08974382,-0.11947058,-0.1439205
-0.02024629,-0.06848083,-0.1464289,-0.15993583,-0.04946874
0.018518675,-0.07732878,-0.016773947,-0.04032527,-0.07139445
-0.030681424,-0.0064075645,-0.08974382,-0.11947058,-0.1439205
-0.02024629,-0.06848083,-0.1464289,-0.15993583,-0.04946874
0.1060789,0.023970487,-0.007201313,0.013779735,-0.064033255
0.030231813,-0.02131455,-0.114461154,-0.06219177,-0.09944301
-0.057731397,-0.047843754,-0.09272288,-0.07119867,-0.07402276
0.055688284,0.080759645,0.045795597,-0.033494525,-0.02308958
0.04689779,-0.034739837,-0.031424522,-0.058715355,-0.026918877
0.018599,-0.11776863,-0.034523953,-0.061882176,-0.07525758
0.057650387,0.14666638,0.07467306,0.11537873,0.06404927
-0.21323565,-0.07390037,-0.22313017,-0.15726586,-0.27554426
-4.1168183e-05,-0.022084009,-0.0844902,-0.087014176,-0.08697029
-0.06489513,0.01698611,-0.15909354,-0.15837589,-0.12947094
0.026920183,0.054516777,-0.026209123,-0.102925695,-0.015754132
-0.16558364,-0.042496234,-0.1331206,-0.09925449,-0.018983066
-0.1794937,-0.015842073,-0.1356724,-0.15371329,-0.082557246
-0.058085244,0.099670164,-0.08943807,-0.045132227,0.12674221
0.045756124,-0.012793471,-0.09101991,-0.15590277,0.06355654
0.03890377,-0.09615399,-0.009906383,-0.09988598,0.0011127554
-0.0109084565,0.013953481,0.016149007,-0.04133117,-0.023344379
0.024180837,-0.08773734,-0.03362873,-0.058361873,-0.09359403
0.076131724,0.029122667,0.26877058,0.069651395,0.08336511
-0.034116328,-0.07029821,-0.010770773,-0.059373666,0.0013894364
-0.035632465,-0.031647388,-0.0979186,-0.15408757,-0.06678505
-0.02181046,-0.02805031,-0.062264994,0.0017633252,-0.029464975
0.029883085,0.02214035,0.016517982,-0.0231575,-0.034846745
0.0071775606,-0.014886688,-0.015884086,-0.10446215,-0.029185034
