Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.031139307,0.04913264,0.027430976,0.009783671,-0.063082695
-0.060599245,-0.09001882,-0.062448904,-0.037497092,-0.0720481
-0.03294166,-0.13544755,-0.14496192,-0.18986164,-0.20465064
-0.095899574,-0.056621283,-0.14827636,-0.058481477,-0.17415082
0.07149563,-0.00042889593,0.0013785698,-0.07688902,-0.09058148
0.03940426,0.05028016,0.022471778,0.009111124,-0.092201434
0.09625115,0.06165698,0.04422956,-0.010491771,-0.039787058
-0.0076092402,0.09956479,0.058059927,0.035665777,-0.05202744
-0.0337404,0.10896077,-0.022210531,0.02495817,-0.05814585
0.03915534,0.063782565,0.02759612,0.024102945,-0.049750175
0.0022249045,0.11186252,0.08785552,0.06323863,-0.053830948
-0.08089622,0.02316425,0.07585309,0.04497482,-0.009102934
-0.073350646,0.052256603,0.0475318,0.008062029,-0.0049774274
0.016320506,0.06357701,0.03531565,0.0799208,-0.024239931
0.03011011,0.05654406,0.0701938,0.037646778,0.0673839
0.048015468,0.05722565,0.039639793,0.009249005,-0.039972536
0.043128468,0.06888924,0.07087794,0.04219288,-0.05927284
-0.0037306696,-0.021269146,-0.03432343,0.032456897,-0.043017548
0.030641096,-0.07440321,0.0005386933,0.024004402,-0.08024594
0.10933906,0.042078435,-0.0286549,0.016454987,0.031127436
0.13864666,0.008327105,0.02271254,0.04218863,0.029244367
0.07745508,0.03676585,0.018139187,-0.02350717,-0.052152816
-0.048989244,-0.04381936,0.01540052,-0.021456279,-0.04129448
-0.010449912,-0.023424141,0.048695676,-0.03018153,0.0025302544
-0.008831605,-0.013633206,0.030585501,0.05240669,-0.0081623085
0.020616448,0.014743781,0.03322611,0.021241117,0.010997176
0.07155206,0.04907538,0.04912782,0.002481549,0.025787685
0.02544743,0.015296161,0.119369805,-0.032238565,-0.10989269
0.03532864,-0.039915033,0.09164815,-0.05280278,-0.072780944
0.077410586,-0.026593583,0.05842259,-0.07318498,-0.004884945
0.04763833,-0.13879138,-0.013289891,-0.061410613,-0.010514797
0.014105707,-0.004160618,0.017783172,-0.03738959,-0.06368196
0.009273861,-0.034999292,-0.07610222,-0.11824107,-0.1596963
0.06820738,-0.06598751,0.024106916,-0.006359527,-0.009026276
0.010360847,-0.037402708,0.052991845,-0.024152812,-0.031343505
0.055952065,-0.029649789,0.05725137,-0.02921242,-0.017365778
-0.0105709005,0.07875818,0.023709795,-0.028650451,-0.023459587
0.019656036,0.12281902,0.10563968,0.03456475,-0.08972946
0.079142325,0.1459159,0.14399698,0.061384067,-0.028345574
-0.10560312,-0.025882382,-0.026445694,-0.023103487,-0.08623659
-0.035215233,-0.022616671,-0.05578006,-0.05698518,-0.19030023
-0.051172055,-0.017205779,-0.026082817,-0.09718999,-0.07789379
0.043659996,0.016872507,0.015173419,-0.053367347,-0.06295815
-0.030658519,0.0066180546,0.019879278,-0.013366942,-0.01169055
-0.099196054,-0.022470163,-0.07399685,-0.081477284,-0.07294703
-0.10679992,0.090554595,0.053235922,-0.03277576,-0.1243778
0.048545532,0.06510691,0.15115261,0.049252924,0.027947463
0.05484921,0.1615099,0.09833236,0.054142945,0.030354109
-0.04916372,0.11805317,0.11819019,0.015412781,-0.05556969
0.02332624,0.04805067,0.009186238,-0.027431356,-0.0019239727
-0.058896836,-0.0036175558,0.019120015,0.104302585,-0.023787213
-0.047227282,-0.05839589,0.008918826,0.07603797,-0.064264685
-0.09919943,-0.043485507,-0.00097243115,0.042307924,-0.06272427
0.03879723,-0.024367334,-0.06610397,-0.0033487668,-0.049123798
0.06794645,-0.0016094735,-0.07423377,-0.06839864,0.005449161
-0.0011293674,-0.058813535,-0.06790933,-0.0466554,-0.02860792
0.1269924,-0.0373212,-0.0023197394,0.006934138,0.014965506
-0.20971853,-0.15258168,-0.2786599,-0.20373733,-0.25414354
0.07219756,0.043584097,-0.033167467,0.010531435,0.0067392252
-0.053007048,-0.0077751875,-0.042391006,-0.060192943,-0.1350753
0.07092739,0.017098768,0.0164719,-0.038641043,-0.016607901
-0.06348165,-0.019370247,-0.07472523,-0.09494689,-0.11964906
0.079143815,0.099802725,0.090684816,0.10312459,0.081451
0.078234404,0.022714311,0.039928775,-0.004307423,-0.00074323546
0.01693455,-0.036793485,0.022994885,-0.06616931,-0.08431108
-0.013433065,-0.07430258,-0.007848613,-0.036215127,-0.05756835
0.0140520735,-0.065367,-0.02214523,-0.059785105,-0.0645847
0.028018601,-0.036532607,-0.04903021,-0.119484454,-0.13468744
0.02083207,-0.01723805,0.008091825,-0.029393444,-0.09021025
0.05027032,0.043219734,0.047617137,-0.027321264,0.0005491661
-0.022673892,0.008966779,-0.041348696,-0.028450398,0.036672182
0.09165464,0.05018524,0.05039274,0.0061450517,-0.03274001
0.017986767,0.05975407,-0.047510818,-0.03709296,-0.016615745
-0.11839411,-0.09026834,-0.11324881,-0.053030845,-0.21552047
-0.073579565,-0.06392108,-0.11671234,-0.07048952,-0.033191975
-0.028530203,-0.026078168,0.053457595,0.04550794,-0.09188048
0.051281802,0.047328517,0.021439118,-0.02596821,0.047278397
-0.010077828,-0.017411273,-0.008674012,-0.047249783,-0.09425908
0.008291766,-0.032661702,0.0016324734,-0.050425936,-0.18096144
-0.039396968,-0.14072396,-0.07254045,-0.16200262,-0.16590875
0.04035974,0.0048915674,0.00057750195,-0.04835373,-0.031882767
-0.023713183,-0.098557025,-0.10887501,-0.10088934,-0.18448593
0.0435911,-0.10104259,-0.064462245,-0.04265073,-0.05652471
-0.0390719,-0.0057998076,0.029789539,-0.032820944,-0.020321859
-0.015537805,0.027906567,0.048663914,0.08588588,-0.087731615
0.049539592,0.050539017,0.08251031,0.02279494,0.022711612
0.03097058,-0.04279793,-0.024328552,-0.008653773,-0.09113953
-0.019687764,-0.05699441,-0.024757318,0.021877963,-0.04785433
0.01656938,-0.073590584,-0.060012963,-0.07689502,-0.120986976
-0.04137913,-0.159591,-0.093786865,-0.17362441,-0.17236759
-0.14981611,-0.041590348,-0.12831137,-0.03259301,-0.13869447
-0.014027216,0.04812277,0.016584499,0.040856227,-0.037116505
0.02788978,0.017257852,0.0045664567,-0.035592042,-0.054943684
-0.03284305,0.079602346,0.070684925,0.03853904,0.01620468
0.040612124,-0.06097333,-0.0028606318,-0.052553657,-0.09979458
0.030072434,0.054963157,0.093275055,0.03234673,-0.06784859
-0.0377925,-0.07272553,-0.10919539,-0.12026931,-0.19932722
0.12229361,0.13855486,0.14362654,0.06805341,0.105859585
0.04029222,0.0028323904,0.13849078,0.056491315,0.0048143193
-0.053908188,-0.03659044,-0.027687807,-0.06297412,-0.15581317
-0.05107019,-0.076749995,-0.031348623,-0.10645158,-0.16802633
0.004448004,0.059124686,0.018926363,-0.028446833,-0.051191747
0.026622802,0.052396074,0.09644967,0.07034458,-0.07570638
0.014232513,0.07307513,0.042270333,0.025477737,-0.011337135
-0.057044413,0.15329877,0.123315886,0.114751846,-0.03123789
0.040612124,-0.06097333,-0.0028606318,-0.052553657,-0.09979458
0.06405808,0.010897437,0.029802453,-0.010921977,-0.009100502
0.07276265,0.025307653,0.027819993,-0.060472615,-0.04852242
-0.08069791,-0.13623838,-0.16401044,-0.1943179,-0.19328637
0.079143815,0.099802725,0.090684816,0.10312459,0.081451
0.084789105,0.015805256,0.067928515,0.00654589,0.005589635
0.046433225,-0.032976087,0.028505294,-0.016518794,-0.003773966
0.04220201,0.029381264,0.12961973,0.05266778,0.031047394
0.07220456,-0.011252499,0.042389028,-0.023061376,-0.018834066
0.029000886,-0.00043144263,-0.0036935722,-0.09274182,-0.0823544
0.05523555,-0.045096435,0.027661514,-0.060996473,-0.08826179
-0.0087486515,-0.021892603,0.014700105,-0.020635094,-0.0713941
-0.047049336,-0.04921109,-0.07383264,-0.09932992,-0.14808568
-0.015403825,-0.04221468,-0.073925294,-0.04340515,-0.084234
-0.06356124,-0.0485142,0.007144901,0.11460512,-0.0807824
-0.019515619,-0.09159388,-0.039688736,-0.034186978,-0.12264633
0.027068686,0.006059847,0.036547728,0.016746504,-0.016279431
-0.01601608,-0.017982617,-0.03335525,-0.024569076,-0.058705393
0.060518786,0.11537954,0.037551343,-0.06038721,-0.07821193
0.057968523,0.13996078,0.06850562,0.045566212,0.0013416931
