Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
-0.016730893,0.04797703,0.031902447,-0.012711867,-0.105535
0.012645267,0.14630717,0.115306,0.022633603,-0.044517495
-0.0020855367,0.12181619,0.05956672,0.027651267,-0.04973326
0.010184843,0.07817673,0.043956794,-0.060475923,-0.09545748
0.068989694,0.07942706,0.06918333,-0.01317594,-0.09112924
-0.02723879,0.025256803,-0.01233812,-0.040446065,-0.15033865
0.028822865,0.020150429,-0.04589258,-0.07784649,-0.07536814
-0.019267956,0.00437044,0.045852724,0.015132542,-0.01086301
0.015503256,0.010540217,-0.03784863,-0.025844889,-0.12158419
-0.024824679,0.073286444,0.08764851,0.01920947,-0.072865546
-0.03138327,0.040266287,0.00015089288,0.022167027,-0.093184404
-0.11928775,0.018474298,-0.07394694,-0.08059513,-0.23555446
0.017450947,0.03021568,0.057405762,0.0016916262,-0.11855984
0.049191404,0.13095205,0.078532875,-0.006030939,-0.056809682
-0.08623241,-0.021344207,-0.12907158,-0.12708932,-0.28226483
-0.08186433,-0.013295933,-0.030982349,-0.058988474,-0.2616674
-0.034347028,-0.013630676,-0.06890933,-0.102653995,-0.17051056
-0.02983157,0.02346891,0.0055434206,-0.061296195,-0.122278996
-0.06649688,0.035927545,-0.00074382394,0.0049897023,-0.10859256
-0.028471638,0.13740407,0.0497917,0.09154767,0.010766926
0.06587179,0.073618196,0.024819884,-0.011746237,-0.10545786
0.010493081,0.09810297,0.08753537,0.08186187,-0.012064894
0.05016768,0.07894853,0.050428577,-0.050534688,0.077689536
-0.020595368,0.049527697,0.04099353,-0.014542531,-0.068394035
0.025980014,0.094075814,0.102477774,0.10321885,0.010788776
-0.059532307,-0.0014669131,-0.10875963,-0.092556976,-0.25370872
-0.13597126,0.05558063,-0.088108085,-0.105384246,-0.2103516
-0.07637595,-0.06598409,-0.142767,-0.101230204,-0.16440523
0.025455508,-0.014246127,-0.03126024,0.040009484,-0.00051834993
-0.012493221,0.060182035,0.005004734,-0.02402443,-0.060845975
-0.13266568,0.027799966,-0.07590644,-0.099425286,-0.25422662
-0.020577362,0.032222755,-0.07849254,-0.11029082,-0.17637958
0.0036469456,0.09524569,0.013119005,0.051552974,-0.07245513
-0.007898207,0.022134788,0.0044984873,-0.033354405,-0.049266748
-0.107042044,-0.074237764,-0.13977413,-0.09963094,-0.3040804
0.09217321,0.05913114,0.019151578,-0.0010588914,-0.05552818
0.025143351,0.018069766,0.01815746,-0.051473107,-0.11082125
0.006242701,0.02821637,-0.025055094,-0.034776907,-0.15347272
-0.18552975,-0.080614455,-0.13251972,-0.117862724,-0.30083257
0.0150459325,0.016127769,-0.04212204,-0.082615346,-0.11904926
-0.11194231,0.045897588,-0.11881277,-0.091064304,-0.15130834
-0.018536009,-0.044558715,-0.0845907,-0.09814843,-0.19894372
-0.018568996,0.0074511194,0.025224082,0.0060124877,-0.123254314
-0.063975155,0.029429777,-0.067582935,-0.06196139,-0.1281074
-0.056482606,0.009092577,-0.05159638,-0.044015117,-0.13494919
0.051759917,0.03972125,0.08453849,-0.011685799,-0.080418885
-0.040423118,0.0537578,0.111577414,0.04154754,-0.05832365
0.03298401,0.051269613,0.14398146,0.060847223,-0.105847634
-0.03297472,-0.030657705,-0.035085246,-0.09392041,-0.25067395
0.033760346,-0.044325095,-0.043623786,0.0045927987,-0.077924065
-0.009640453,-0.02510212,0.039798506,0.0115763135,-0.11764383
-0.010872174,0.055368014,0.080975674,0.010625644,0.016273461
-0.0010543335,-0.031708464,-0.081338406,-0.04634545,-0.19201347
0.0013328977,0.03666202,-0.03777942,-0.10942438,-0.1044789
-0.0029349285,0.067588195,0.07694562,-0.036699846,-0.06942032
0.04410237,0.10631354,0.0020153206,-0.02823802,-0.06723508
0.04205308,0.08117009,-0.007904394,-0.04887629,-0.09643267
0.08113845,0.06603694,0.029994959,-0.0040557943,0.10390753
0.024386663,-0.0052714865,-0.061210975,-0.1701059,-0.062567465
0.17575037,0.05654236,0.04469024,-0.03148219,-0.062138297
-0.076248646,0.04705079,-0.059954125,-0.062192954,-0.1822649
-0.055581376,0.04617049,-0.045645263,-0.049939916,-0.1577837
-0.1010038,-0.07642141,-0.15024573,-0.106218785,-0.18046132
-0.010232381,0.013675588,-0.040627673,-0.02602522,-0.071394734
0.012590483,0.022463227,0.045411885,-0.12497219,-0.06877274
-0.027929857,-0.024920743,-0.087072074,-0.06989356,-0.20787758
-0.09724523,-0.036499374,-0.09161352,-0.0904392,-0.14538687
-0.08117439,0.023470825,-0.035565343,-0.024330562,-0.14850903
-0.03507989,0.015852636,-0.035057094,-0.048524976,-0.155923
-0.032305945,0.014396761,-0.07077012,-0.053535357,-0.17571405
-0.019120283,-0.04278067,0.023804113,-0.020627959,-0.1369256
-0.007778842,0.06961454,0.08107397,-0.013558913,0.0006407313
0.0043245787,0.05977125,0.021343125,-0.061097853,-0.14158113
-0.04184156,-0.0014584153,-0.034109645,-0.08994369,-0.13756163
-0.11244096,0.008387212,-0.04772582,-0.050341997,-0.16908908
0.0009842068,0.030990755,0.049367256,0.0067535583,-0.10477041
-0.019463561,0.008881265,-0.07000935,-0.06958959,-0.07051687
0.111064136,0.06905957,0.08945484,0.019112535,-0.03212744
-0.11065553,-0.035623014,-0.10008894,-0.14351091,-0.19932958
-0.06552714,0.055496063,-0.049498472,-0.061691824,-0.15365317
0.088667795,0.0074901963,0.036486868,0.0017694193,-0.08623575
-0.0674988,0.008512184,-0.12229106,-0.08973278,-0.2608264
-0.08754343,0.020035312,-0.05891841,-0.075670585,-0.15232208
-0.020787809,0.030432442,-0.08024719,-0.11129427,-0.17679583
-0.114721976,0.03495393,-0.043562476,-0.084673345,-0.18181452
-0.087785065,-0.05717904,-0.09764594,-0.09711671,-0.20830071
0.04658836,0.0092894845,0.03602831,0.008706445,-0.07495886
-0.0075968597,-0.011304972,0.061704583,0.0051485505,-0.103097335
0.018226067,0.069483645,0.13428777,0.0358673,-0.013896376
-0.005340022,0.052805163,-0.039615005,-0.06017957,-0.07161005
-0.015556227,0.060968522,0.006294244,-0.053350814,-0.053504348
-0.08201163,0.012606239,-0.076627165,-0.106344044,-0.12202634
-0.0050892057,0.035148937,-0.0058084065,-0.057704948,-0.11338934
-0.002764143,0.011150742,0.0154486075,0.005793453,-0.0037803454
0.051131725,0.038874168,0.028693806,-0.049449205,-0.058367338
-0.035783365,-0.03985034,-0.08904384,-0.07269947,-0.20748647
-0.08787486,-0.023849051,-0.085278034,-0.06974168,-0.14176977
-0.12378864,0.028498176,-0.07042824,-0.12273213,-0.20296074
-0.027964216,0.04572403,0.009309623,0.011342129,0.003974895
-0.059683003,-0.011133149,0.049625818,0.0035853274,0.007820098
0.014159465,0.095573425,0.08030054,0.042386103,-0.0068920683
0.027986977,0.09320283,0.1927097,0.084066294,-0.026861021
-0.021810107,0.101631865,0.039919347,0.060496103,-0.058725785
-0.024914939,0.08673348,0.059502713,0.10238382,-0.030920453
-0.021810945,0.07670392,0.022833461,0.036186192,-0.10547482
-0.07632509,-0.039552137,-0.14636377,-0.1367735,-0.28439718
-0.009198881,0.049866762,0.02898306,0.020605152,-0.08386825
0.026301324,0.0190456,-0.0045747496,-0.018940967,-0.090865485
-0.06426136,0.06309742,0.07809126,0.121132575,-0.06124527
-0.14733501,0.055483066,-0.018071992,0.13295609,-0.050278552
0.039697293,0.018672006,0.016719695,0.05392459,-0.07479479
0.06351521,0.07672373,0.008315789,-0.007389646,-0.074978575
-0.009948837,0.040587004,0.036639437,0.106584676,-0.0046858727
-0.05464115,0.053916644,0.0077910125,0.060081355,-0.05654995
-0.027253378,0.01208332,-0.04472701,-0.035061758,-0.13102905
0.009644626,-0.03322714,0.015302502,0.011689335,-0.070482686
0.05636441,0.035499256,0.04470495,0.017444428,-0.07732159
0.01442638,0.059283864,-0.029661417,-0.011336599,-0.083575755
-0.0952269,0.04064018,0.008344788,-0.03943117,-0.08980346
0.058352135,0.06487843,0.015128231,-0.02241652,-0.099678814
0.05183824,-0.03042581,0.032271877,0.0062703216,-0.063287586
-0.08053575,0.056692544,-0.043305352,0.0058225933,-0.14757556
0.025783636,0.07749062,0.008252961,-0.047290526,-0.15556751
0.006800232,0.03417028,-0.009190092,-0.019867688,-0.100313686
0.054247,0.08832431,0.04219276,0.017610503,-0.10126114
-0.07701402,0.03199806,-0.062904656,-0.063657165,-0.19092666
-0.07821484,0.04157473,-0.057276163,-0.028897066,-0.18402642
-0.066772155,0.08204676,-0.012362045,0.0042975643,-0.09456112
0.0023002103,0.018999523,-0.0052493475,0.016477354,-0.09446885
0.039578855,0.01731399,0.029038727,-0.0046736095,-0.11044301
0.069759764,0.03408873,0.092920154,-0.012789223,-0.009829737
0.00323876,0.06819023,0.0074558556,-0.06711323,-0.06062049
0.05841332,0.08790119,0.054272916,0.018737158,-0.008586679
-0.038572032,0.027577918,-0.055635996,-0.038320363,-0.18710983
0.028564095,0.06502081,0.036223013,0.060573038,0.056251574
-0.039564032,0.041989367,0.08002579,-0.008654862,-0.09732708
0.007038383,0.040920228,-0.019600261,-0.051968876,-0.17897531
-0.027399022,0.041235887,0.026586065,0.031704877,-0.055365253
-0.085037604,0.0628475,0.017816614,0.013901968,-0.09415351
-0.03700415,0.019128092,-0.011847241,-0.032678127,-0.16167381
-0.058675136,0.054248046,-0.080397636,-0.114026174,-0.24127567
-0.09749822,-0.0009704158,-0.074916795,-0.09571828,-0.17340168
-0.049645934,0.05922486,0.0062842313,-0.032296456,-0.112309024
-0.0118591525,-0.023239909,-0.074199505,-0.1281541,-0.08340126
0.013737735,0.04063765,0.003847381,0.041471053,-0.055633284
0.018844645,0.04373408,0.032691225,0.019641738,-0.05546411
-0.0054831915,0.058480646,0.00821324,-0.013496255,-0.06971974
-0.084280536,0.016425287,-0.07724574,-0.06528085,-0.16375285
-0.047665417,0.09359887,0.014623728,0.03868801,-0.057288863
-0.039663803,0.09786064,0.059303693,0.05419334,-0.02416036
-0.00228245,0.08695097,0.01273762,-0.001835769,-0.04729365
-0.034292452,0.08505537,0.11127236,0.10820584,-0.04171145
-0.020734007,0.027305946,-0.015912898,-0.009292573,0.010342741
-0.015276144,0.104491234,0.021581756,0.081050545,-0.07564455
-0.12854683,0.011806631,-0.050650965,-0.054256,-0.15546873
0.026693441,0.06542568,0.037979033,0.06380522,-0.033232853
-0.0016050693,0.11545572,0.11552934,0.1108913,-0.06470088
-0.1761888,0.008252982,-0.101043925,-0.15784395,-0.26539156
-0.08381808,-0.11170729,-0.043356333,-0.047396578,-0.29887766
-0.16576967,-0.017506056,-0.073954135,-0.08423969,-0.19343662
-0.1355502,-0.09357461,-0.0705021,-0.05732917,-0.32565317
-0.20904884,-0.07342761,-0.056532364,0.0019987859,-0.27506748
-0.16610554,-0.06850295,-0.12787056,-0.064261295,-0.30107102
-0.22170526,-0.006077094,-0.03607457,-0.042412147,-0.1947703
-0.19636393,-0.036041223,-0.06846681,-0.07458853,-0.25152153
-0.12624398,-0.0077315243,-0.106933534,-0.02045713,-0.14772826
0.0108380765,0.01296881,-0.019938715,-0.017160133,-0.063809894
-0.051841807,0.06549594,-0.0054875636,-0.006592704,-0.096255995
-0.07486293,0.044367287,-0.05668076,-0.009611485,-0.11139532
-0.05558031,-0.0069487467,-0.06734522,-0.065184206,-0.08522134
-0.09954414,-0.007257391,-0.021514256,-0.05885604,-0.08339076
-0.13303073,0.049237505,-0.008542115,0.0003256919,-0.13322085
-0.07036397,-0.006423084,0.01904513,-0.05051005,-0.052516706
-0.17444716,0.089242235,-0.018212102,0.006539004,-0.04793611
-0.07802077,0.1084424,0.03490726,0.0044746464,-0.015578396
-0.057641204,-0.044209767,-0.095207796,-0.09967336,-0.18714294
-0.08470562,-0.035221245,-0.115842715,-0.0885517,-0.22089279
-0.11875633,0.05849726,-0.060895387,-0.028937299,-0.17020859
-0.16058505,-0.032445494,-0.12478189,-0.08514631,-0.26818532
-0.1351169,0.014566307,-0.022164913,-0.034971207,-0.18174869
-0.19840825,0.007855141,-0.09863977,-0.034641147,-0.23647329
-0.11933088,-0.03608179,-0.07510442,-0.08815664,-0.22980185
-0.07800539,0.021029305,-0.061237145,-0.0043787863,-0.1219127
-0.102517374,0.07594171,-0.035356835,-0.022331148,-0.19768134
-0.16654183,0.037369862,-0.07212152,0.003036722,-0.18141417
-0.06964317,-0.0062015057,-0.07477953,-0.03622352,-0.15830342
-0.04222845,0.011736507,-0.0061832406,0.0012692953,-0.16132876
-0.104924455,0.04736408,0.00034052134,-0.028634172,-0.15293224
0.07686253,0.02431088,0.003228061,-0.03530521,-0.14205658
-0.06013393,0.03710857,-0.021333728,-0.017779177,-0.20443869
-0.10793654,0.026787844,-0.053905714,0.0034268703,-0.2188328
-0.21170688,-0.03579571,-0.07448377,-0.066031516,-0.25064898
-0.019872019,0.033618998,0.060572185,0.022624182,-0.08115097
-0.019986784,0.0076399674,-0.0021031816,-0.022821585,-0.14667155
-0.105943784,0.090874314,0.02118995,0.06755904,-0.059825715
-0.09665558,0.07115006,0.014200939,-0.03580626,-0.13886547
-0.091818854,0.023415638,0.029836386,0.07601264,-0.06495395
-0.14775616,-0.009504899,-0.098208755,-0.06714627,-0.29060233
-0.19872306,-0.03941849,-0.08395504,-0.037672255,-0.15824941
-0.091752775,-0.047214918,-0.10041903,-0.0884472,-0.18237641
-0.19147742,0.003702748,-0.047078952,0.04336201,-0.17470448
0.032993603,0.07803209,0.13423534,0.02086441,0.031753484
-0.082747795,0.004908439,0.02203288,0.019904634,-0.079116456
-0.04325828,0.063235976,0.04069575,0.055778973,-0.072169855
-0.0211148,0.013119344,-0.06210302,-0.072200045,-0.25965157
0.008596954,-0.012287803,-0.013128487,-0.05530149,-0.05674551
-0.107042044,-0.074237764,-0.13977413,-0.09963094,-0.3040804
-0.05248104,0.06005485,-0.0009443965,0.012478871,-0.10601783
-0.064519264,0.10861149,0.036211755,0.039644614,-0.0766362
-0.113662615,-0.024540404,-0.10436748,-0.034471974,-0.22492312
-0.09963388,0.12919077,0.031475198,-0.0013085883,-0.108467475
-0.14044088,0.03745296,-0.037275393,-0.06865348,-0.20496882
-0.053789858,0.09640971,0.04726961,-0.045547515,-0.037486143
-0.16560727,0.039482675,-0.10538234,-0.083956935,-0.24319497
-0.15752828,0.12239914,0.043288615,0.035735033,-0.10426095
-0.08832316,0.09848015,0.00024892343,0.037488483,-0.15020956
-0.08604099,0.14522502,0.09099954,-0.0037111756,-0.09754184
0.040299706,0.067764156,0.036485866,-0.017216608,0.016781632
-0.123516254,-0.05452605,-0.10684,-0.101221666,-0.2201846
-0.025170304,0.037267625,-0.0019065719,-0.037428547,-0.14077967
0.035796262,0.02321864,0.06146267,0.026256561,-0.025221191
-0.009711109,0.09698243,0.085112706,0.07125553,-0.04786203
-0.03314223,0.121532656,0.10947813,0.009761319,-0.053138364
-0.05999249,0.0074547604,-0.06461954,-0.04199916,-0.13537318
-0.06792112,0.02386454,-0.053817146,0.0010793619,-0.2231821
-0.03434962,0.14298064,0.077516176,0.03399876,-0.07818253
-0.11193332,-0.045854088,-0.15098107,-0.13461676,-0.28107005
-0.061533548,0.14515021,0.041444227,0.020290954,-0.08235141
-0.16208902,0.069968395,-0.09465136,-0.08764073,-0.19207764
0.0012390232,0.035299603,0.021276046,0.011046331,-0.0914862
-0.07821484,0.04157473,-0.057276163,-0.028897066,-0.18402642
-0.11088757,0.05011937,-0.013542954,-0.041478544,-0.1284473
-0.07084261,0.09994101,-0.029419044,-0.007217285,-0.113176264
0.024937507,-0.032594528,-0.09123801,-0.055629626,-0.061143853
-0.0942293,0.08051953,0.0112969335,0.031577602,-0.07372573
-0.11373535,0.06673081,0.0014996757,0.013285009,-0.13653737
-0.16972557,0.022730814,-0.099649444,-0.14329049,-0.27904224
-0.17377391,-0.04567885,-0.10889059,-0.12026876,-0.19447497
-0.16143416,0.15700051,0.06561171,-0.015322149,-0.08879162
-0.08343324,0.18077461,0.14374705,0.013034691,-0.0054935715
-0.048955195,0.007922469,-0.01429187,-0.028935358,-0.16986406
-0.06925731,0.08184942,0.021405727,-0.028171642,-0.14240254
0.005379984,0.14288913,0.16987184,0.007880828,-0.04012897
-0.069882534,0.05160695,-0.03692178,-0.040755495,-0.17316943
-0.19392774,-0.003203899,-0.15108144,-0.103534654,-0.35514095
-0.054704197,0.115269646,0.09244991,0.06385419,-0.04266052
-0.061427094,-0.027297337,-0.055869088,-0.037052236,-0.16978583
-0.053614467,0.12614045,0.06161158,0.12619296,-0.049764138
0.01710229,0.10426177,0.11114356,0.105185695,-0.0134920105
-0.10578871,0.032084912,-0.061321363,-0.03360983,-0.13799855
-0.11155286,-0.008588151,-0.01091354,0.029405423,-0.049978103
-0.011351076,0.011032587,-0.060853995,-0.031214211,-0.117885835
-0.11509483,0.050416518,-0.12077887,-0.08799218,-0.1389324
0.011126858,-0.036473423,-0.037173662,-0.026037756,-0.19680914
-0.099524446,0.051956825,-0.05262786,-0.054318585,-0.1437492
0.060196497,0.014485052,-0.009553556,-0.009201996,-0.07087614
-0.12887847,-0.035607107,-0.10533018,-0.07289411,-0.17722118
0.028445147,0.0019606794,0.034782253,0.0173042,-0.033119332
0.00402618,-0.0102726035,0.020049214,0.016786495,-0.049107067
0.05754119,0.0023441175,0.07037005,0.044123,-0.034304332
0.028957287,0.05819817,0.07731511,0.06257526,0.010993559
-0.010297581,-0.03075282,-0.0009656176,-0.041736297,-0.13309924
-0.028978208,-0.005128742,-0.04459534,-0.06858475,-0.10418056
-0.06614766,-0.025960399,-0.03825128,-0.0110237785,-0.07632726
0.0041506817,0.005542551,0.033411946,-0.008284397,-0.07851435
0.027966553,-0.020477438,0.057599068,0.029645469,0.0048098993
0.028770123,0.07041084,0.097138,0.09627843,-0.02554022
0.03225704,0.055679508,0.047422435,0.09521827,-0.036248095
-0.09915912,0.08051789,0.011725534,0.05620432,-0.0670144
-0.0019751806,-0.02625104,0.010361892,-0.0016082991,-0.058041107
-0.0023569409,0.00644082,-0.012014231,0.059021503,-0.12942411
0.033121962,0.04504803,0.061535526,0.037895225,-0.08600346
0.026589599,0.05898876,0.0035043322,0.046541333,-0.041346967
-0.020558624,0.020924335,-0.061721314,0.0034323768,-0.11874978
0.13051406,-0.031202283,0.010715185,0.06896912,-0.018846251
0.090295255,-0.008109794,-0.023822002,-0.005348366,-0.077997684
0.029547947,0.02048066,-0.0072049904,0.011695562,-0.038641743
