Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.0011386108,0.045924697,-0.023325695,-0.018168751,0.0816856
0.0508958,0.101474635,-0.010594028,0.049844697,0.037697133
0.029184163,0.009762019,-0.056982946,-0.014567558,-0.012869056
0.10314006,0.07517254,0.019454611,0.016541434,0.011120198
0.029251605,0.08149062,0.11679252,0.059623163,0.008734886
-0.02656854,-0.025790982,-0.004439883,-0.033589464,-0.06851656
0.023585398,0.04936957,-0.012711132,-0.0834286,-0.061088353
0.03145895,0.03511546,0.051707625,-0.0080608,-0.045103367
0.039566208,0.096673444,0.091526866,0.096754804,0.07514037
0.024494397,-0.013009911,0.001544236,-0.09516846,-0.0589053
-0.041789573,-0.12940569,-0.044216886,-0.0037415233,0.0010617077
0.057535835,0.014290869,-0.059427857,-0.0320039,-0.0558866
0.0712103,-0.00452796,0.0275223,-0.09570732,-0.06801029
0.023768008,0.046192147,0.06240716,0.042560007,0.025183067
0.020809729,0.024933323,-0.04415274,0.042067245,-0.004878171
0.008579899,0.07628948,0.053373866,0.0675514,-0.013226003
0.087198935,0.03363235,0.06861306,0.009498224,0.0021261536
-0.007960685,0.101835504,0.03556114,-0.008041961,0.051411062
-0.0018982603,0.07258848,0.004460944,-0.026304798,-0.027491478
0.043988477,0.07287133,0.11791712,0.06624392,0.009845351
0.026852094,0.058511898,-0.02091628,-0.117424324,0.012468554
-0.038341988,0.074496776,0.12431191,0.07421496,0.024905635
-0.088470355,-0.04770141,-0.04811692,-0.07383415,-0.19457571
-0.012015475,-0.035154767,-0.036469035,-0.051354688,0.027574163
0.038968727,0.013209786,-0.09100637,-0.096503004,-0.073415026
0.062008657,-0.044772927,-0.044958714,-0.06335016,-0.11532198
0.02389235,0.01513093,-0.06760315,0.012483376,-0.07003535
