Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.01908664,0.0518917,-0.06316343,-0.04808087,0.056202326
-0.05000992,0.044615444,-0.047189955,0.042927988,0.06749961
0.09468813,0.034677602,0.036263905,-0.003838081,-0.018132243
0.07194622,0.14031915,0.026526,0.04032401,0.05546692
-0.011094372,0.08247408,0.03853298,-0.012558233,-0.011306483
-0.22471054,0.012013159,-0.21916796,-0.19655037,-0.13418414
-0.12980522,0.11573419,-0.057878867,-0.037988324,-0.036305655
-0.0023775436,0.0039866343,-0.1954442,-0.14465044,-0.037065152
-0.022038022,0.103405856,-0.032873664,-0.005671623,-0.087487414
0.013766453,0.06704451,0.026743677,0.0147026405,0.037709244
0.04547809,0.12218326,-0.019331476,0.070230246,0.054606844
0.06957866,0.015865013,-0.009200467,0.013606981,0.03909842
0.076021075,-0.036468185,0.014839716,-0.015052063,0.05951965
-0.15862939,-0.07122447,-0.141623,-0.060994573,-0.15783507
-0.021577239,0.06541434,-0.028842743,-0.05444686,0.021344641
0.09435651,0.15780021,0.07391676,0.033938423,0.051013052
0.004622208,0.074191906,-0.031726375,0.0047467407,0.08114471
-0.0034668166,0.07656833,-0.049899682,-0.07802077,0.0038981028
-0.020207532,-0.0066810064,-0.032658562,0.0039510913,0.06554033
0.027036708,0.050211646,-0.01740354,0.045927875,0.04831373
-0.035515845,-0.0006103255,-0.010562826,-0.07634322,-0.06358116
-0.030080266,-0.0051864684,0.036026247,0.07839384,-0.049845643
