Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
-0.11103513,-0.026954133,-0.072331905,-0.050098985,-0.034741968
-0.003035944,0.09516134,-0.06642683,-0.023547126,-0.028731793
-0.02735802,-0.014505919,-0.036713082,-0.012530351,0.039889522
-0.042004198,0.0009509288,-0.054691758,-0.009511351,0.01612059
-0.00806869,0.032517806,-0.010093039,0.0037461203,-0.007614307
-0.08110063,0.019571891,-0.03267588,0.0072071273,-0.042444237
-0.06388438,-0.069716245,-0.055900726,-0.06353414,-0.08195492
-0.32351577,-0.04322967,-0.18089657,-0.14756891,-0.15757987
-0.09542825,-0.053083174,-0.07803726,-0.11628873,-0.15143925
0.025925932,-0.042656664,0.0188717,0.041206885,-0.066943355
-0.03087835,-0.014146835,-0.02270121,-0.05373236,0.012963871
-0.05260471,0.051470075,-0.027517531,0.005703371,-0.040358096
0.13728228,0.09317864,0.03613285,-0.002232695,0.026372146
0.065793365,0.066256136,0.080478705,0.023294391,0.046350893
0.02187109,0.08714335,0.012292396,0.04294021,0.017083373
-0.037470557,-0.0048351223,-0.028185437,0.08002981,0.07330628
-0.07642937,-0.038851555,-0.05714354,-0.092831284,-0.06390685
-0.027084474,0.0074577555,0.04137226,-0.035829563,0.017428698
