Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.037769563,-0.02626889,0.06036924,-0.0378691,-0.09015215
0.049633577,0.06229387,0.10318735,-0.011612359,-0.06737792
0.10828275,-0.024312314,0.08459051,0.03694638,0.026355345
0.12838197,0.040896516,0.05927868,0.012779016,0.053888906
0.04635247,-0.032324016,0.03598851,0.016122006,0.06525075
0.009788474,-0.00017919764,0.08702792,-0.06550355,-0.021340713
0.019825907,0.10750134,0.2508614,0.08788857,0.17257988
0.055426598,-0.021340387,0.046177078,-0.04428058,-0.053975806
0.02033731,-0.078877315,0.053997092,-0.04663539,-0.13720125
-0.116385974,0.061678246,0.01305962,0.09598309,0.007350564
-0.057512622,0.0962467,0.003764036,0.006908806,-0.008279352
0.01636035,-0.02552186,-0.016792526,-0.042421136,-0.08003051
0.07525612,0.08430333,0.09551391,0.033132326,0.002376657
0.12144413,0.1606144,0.15015227,0.049817905,0.07435948
0.059737645,0.06000651,0.017481696,0.047190398,0.038039405
0.032253314,0.074167706,0.061938174,0.06973127,-0.04439993
-0.086281836,-0.048916638,-0.0016025752,-0.10154814,-0.09001294
0.09265285,0.017932279,0.042114913,-0.07693227,-0.08217575
0.14265217,0.0048039034,0.07807727,0.034254167,-0.0040426925
0.11140378,0.04406761,0.094614714,-0.04794485,-0.0006664647
0.12177619,0.03937149,0.11296657,0.13846797,0.09192259
-0.0041000536,-0.1312584,-0.048059944,-0.020446712,0.07360063
0.06334391,0.07224044,0.2227197,0.1430374,0.16691673
0.06652131,0.10624516,0.1301566,0.08267958,0.087917656
0.022740208,0.123869665,0.15540653,0.2533521,0.0955794
0.009501321,0.0012262836,0.07987252,-0.009602617,0.08509117
0.0736702,-0.0048455894,0.015627665,0.078448206,0.032118935
-0.051680036,-0.020115606,0.08917534,0.06896958,-0.044169635
-0.014724769,-0.021620905,-0.067688614,-0.04129732,-0.09678492
