Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
-0.009622992,0.023310035,-0.015808254,-0.007949058,-0.03647811
0.033357203,0.027344797,0.021440096,0.008497286,0.021334492
0.049013574,0.08393932,0.027288383,-0.027846575,0.0029621497
0.082956724,0.08760582,0.10868341,0.14185244,0.15385644
0.0042083263,0.029116467,0.037224058,0.006915739,0.00053534284
-0.052861094,-0.043846533,-0.13330898,-0.12177064,-0.067671865
0.00903431,0.09462196,0.05834174,0.009014456,-0.017789356
-0.019022804,0.069334626,0.03343068,-0.013687862,-0.08818181
-0.05578918,0.02073739,-0.08615127,-0.046818882,-0.19586113
-0.010575923,0.21519893,0.11215947,0.090686865,0.099727556
0.020706303,0.017027132,0.01158952,0.015492108,0.002994258
-0.07267435,-0.046457313,-0.08076635,-0.054504924,-0.1393337
-0.15303268,0.0041206386,-0.11719416,-0.10233141,-0.15723793
-0.07594514,0.027128492,-0.08199479,-0.067568615,-0.094538555
-0.017123142,0.039154142,-0.0032236632,-0.010567896,-0.080501206
-0.02403251,-0.11105132,-0.05594165,-0.022560427,0.004991172
0.0356257,0.051561043,-0.030336589,0.007683493,0.03952027
0.015966512,-0.034837376,-0.041695386,-0.0142002925,0.08237798
0.064747624,0.102241054,0.048368268,0.049598474,0.018761378
0.048530027,0.03605911,0.09755044,0.090254135,0.006962966
-0.14464527,-0.060483903,-0.10630307,-0.009261619,-0.029267801
0.0032394752,0.01509532,0.017826155,-0.061855353,-0.14801678
0.059481934,0.030381065,0.052089445,-0.024323203,-0.002183862
