Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
-0.05492592,0.041610293,-0.07325757,-0.0128183225,-0.09814719
0.025169248,0.102797695,0.053888164,0.043288246,-0.010744955
-0.0026913024,0.025422554,0.01454405,-0.005544095,-0.10725138
-0.018336482,0.009642664,0.0032583834,0.0026695803,-0.0806595
-0.034586586,0.028509349,-0.06593292,-0.021366267,-0.07102792
-0.0038445517,0.07673403,0.07708846,0.041756034,0.021144833
0.012262159,0.036321513,-0.078245796,-0.038802467,0.027074952
0.053805485,0.08043183,0.019302798,-0.045995556,-0.06372211
0.05712794,0.02619275,-0.013029505,0.022234071,0.00070387125
-0.034760043,0.07282707,0.028704947,0.06890441,-0.027204713
0.01328895,0.020162085,0.046593845,-0.069095686,0.07313476
-0.00975175,0.0859818,-0.061470278,-0.08459474,-0.028068656
-0.003005173,-0.007884213,-0.08421736,-0.05063086,0.0050593615
-0.018109124,0.027940422,-0.039993472,-0.12296125,0.022817526
0.011675042,0.055019874,-0.00909033,0.008130582,0.05217105
-0.033726677,0.018532146,-0.11061208,0.0115794,-0.038652334
0.049378604,0.10381463,0.11978016,0.047199685,0.0021288097
0.026056044,0.10829888,0.08966165,-0.039062478,0.021237792
0.003374773,0.06471056,0.002388101,0.027319372,0.011943109
-0.005172381,-0.035646,-0.048346613,-0.008071654,0.091940224
-0.014585862,0.046950772,-0.08290665,-0.045541193,-0.032112207
0.026980955,-0.010390928,0.0047820257,-0.053974584,-0.03208051
0.07279765,0.044548336,-0.04782065,0.0046037007,0.024770968
-0.13696392,-0.06342302,-0.16338246,-0.072575785,-0.099540986
-0.0048354343,0.05687859,0.08553108,0.010396107,-0.034073003
0.17555425,0.1796081,0.22984023,0.23616378,0.204726
-0.12369283,-0.039693475,-0.19609395,-0.08330675,-0.08342301
-0.08299945,0.016251761,-0.111803256,-0.08868819,-0.15814647
0.028419524,0.07177645,-0.020928802,0.009248358,0.007922519
0.022537116,0.08596842,-0.06389191,-0.0011048941,-0.029946823
0.039196625,-0.14425188,-0.17758113,-0.08308685,-0.02814864
-0.123199955,0.06350434,-0.10296327,-0.043132655,-0.07472577
0.008739796,-0.035894502,0.039611407,0.0042025903,-0.022648886
