Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.049651828,0.04883565,-0.0041325204,-0.051898085,-0.11094143
0.06426406,0.03525834,-0.065790564,-0.03400674,-0.052822776
-0.07465319,-0.013178153,-0.014980346,0.022717927,-0.08195399
-0.0564484,-0.014898952,-0.101709,-0.107396245,-0.109578505
0.0024349885,0.071658954,-0.01833556,0.010532875,0.009914289
0.0030311001,-0.047805592,-0.17458318,-0.07800077,-0.16076398
-0.026874147,-0.0034949612,-0.12434188,-0.124945015,-0.124407955
-0.059454374,0.029241318,-0.054983493,-0.10415634,-0.17887159
-0.2031129,-0.039922245,-0.13289501,-0.112793684,-0.2878959
0.18415113,0.07045572,0.095017284,-0.044679027,-0.0061203055
-0.09549254,0.012869875,-0.030840633,-0.037049517,-0.0011290037
0.11560143,0.124795824,0.15922634,-0.0111560635,-0.023510518
0.0717012,0.08070339,0.057826124,-0.009365914,-0.03145602
0.107372,0.087166674,0.010014959,0.017404228,-0.050917502
0.06322214,0.025392834,0.054669306,0.02781197,0.011907026
-0.14174384,0.0454666,0.0060216216,-0.07162804,-0.08620286
0.042662747,0.071548276,0.025356114,0.021740457,-0.037786324
-0.011525735,0.076672345,0.07802419,0.01277717,0.05094077
0.07920635,0.077778876,0.07403105,0.0731051,0.033402853
-0.0067092814,0.0024187695,-0.044338014,0.012892511,0.006821811
-0.01645568,5.9662387e-05,-0.050639406,0.09246802,0.07744676
