Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.014283891,0.019661592,-0.04381672,-0.031564806,-0.019620754
-0.14235589,-0.01007174,-0.120056614,-0.17884943,-0.16772784
-0.21318659,-0.14190876,-0.18244416,-0.17541587,-0.19646381
-0.09257296,-0.0033660848,-0.06621069,-0.16352019,-0.19510207
-0.06418774,0.0036963467,-0.057400748,-0.14842999,-0.07708751
-0.03650975,-0.1031706,-0.15333639,-0.10480608,-0.09076567
-0.13088842,-0.06572106,-0.1971967,-0.21557036,-0.23822126
-0.14125204,-0.09047158,-0.14845829,-0.17919105,-0.27188987
0.046078004,0.09242053,0.11406617,0.018337343,0.028065305
0.020178968,0.0019245613,0.039409585,-0.03534243,-0.008762222
-0.019159231,-0.02114057,0.0054124966,-0.047593053,-0.049418505
-0.030483767,0.065297455,0.03384649,-0.04047589,-0.044482406
0.11974237,0.047147773,0.077474326,-0.0046325945,0.029409636
0.021874156,0.04632801,0.059838265,0.005603742,-0.050465472
-0.027626302,-0.007477278,0.07350642,-0.0076550674,-0.02912868
0.05367361,0.12646055,0.10924584,0.018752038,-0.017478425
0.059549917,0.07585622,0.09985662,-0.029457565,0.0131132575
-0.16825992,-0.02098231,-0.05505026,-0.09632532,-0.12053692
0.08130688,0.00048089307,0.06283371,-0.04714746,-0.05776941
