Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.080421776,-0.0060374066,0.014231462,-0.08478138,-0.04248847
0.08511834,-0.013087193,0.0016578073,-0.01929012,0.063326605
0.0711807,0.0018237494,0.090214014,-0.0020111138,-0.04631897
0.07295938,0.05198357,0.034514695,0.06830181,0.036735043
0.0051775277,0.03841694,-0.017625872,-0.061131716,0.035292525
0.0014213016,0.014020821,0.016579526,-0.059410367,-0.06495488
0.019539673,0.093918286,0.00032697804,-0.0813622,-0.050759364
0.06492153,0.046524264,0.03999608,-0.029654622,0.05521936
0.06131386,0.08341426,0.11267008,0.02495534,0.006627187
0.0532382,0.012338305,0.052120555,0.06311022,-0.007124787
0.009820893,0.0115072,0.080171354,0.0031775679,-0.07112049
0.057434652,0.054399975,0.075076714,-0.000562815,-0.018862173
0.04680413,-0.017666277,0.082263194,0.025844809,0.039874308
-0.028866224,-0.020784326,-0.066718265,-0.09532667,-0.09566091
0.07639545,0.07750275,0.07492014,0.021637581,-0.06343505
0.06744543,0.09756371,0.10907515,0.06534384,0.015637338
0.023545844,-0.0545967,-0.07726617,-0.1270654,-0.05082497
0.06257243,-0.001579117,0.15446192,-0.044532098,0.016565055
-0.042144474,-0.109463446,-0.08506963,-0.16383058,-0.19520095
-0.07671325,-0.058912165,-0.056691386,-0.12908667,-0.09976005
0.08810468,0.0063383915,0.10495792,-0.022696473,-0.075746514
-0.10420547,0.012727221,-0.048409473,-0.072375774,-0.064821206
-0.10106109,-0.097941704,-0.08945815,-0.113964334,-0.2780543
0.08176248,0.0071089836,0.12219711,0.05908048,-0.061198287
0.040530864,0.114095636,0.042483028,-0.06770972,0.08973752
-0.00012353621,0.055011295,0.08497597,-0.019340541,-0.009210153
-0.0685124,-0.028680732,-0.026031258,-0.12880196,-0.18135518
0.03262573,0.04341515,0.084000275,0.0026601162,-0.055817097
-0.068783954,-0.0034621693,0.10271251,-0.002755046,-0.13312785
0.07303614,0.05507378,0.09968738,-0.00029188953,-0.017984916
0.012686214,0.0017205519,0.029281076,0.0035404433,-0.05305646
-0.08647674,0.024779879,0.029766176,0.050646693,-0.11165866
0.06648236,0.048408825,0.105571836,0.0667599,-0.03684957
-0.0192936,-0.0035879295,-0.017805574,-0.13593835,-0.11965364
0.044234086,0.00795068,0.10617046,0.056707658,-0.062454898
0.040855266,-0.029395418,0.04206898,-0.0548231,-0.09381217
0.07472664,0.040146895,-0.013201024,-0.032448526,0.07961847
-0.053414434,-0.011295792,0.03719969,0.023805574,-0.07545779
