Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degradation
0.049734436,0.012245338,-0.03859407,0.019597623,-0.0038632676
0.11088163,0.11749477,0.08226948,0.06542045,-0.025811192
0.046218216,-0.06513524,-0.055976197,-0.021821193,-0.047128435
0.013835415,-0.0074332543,-0.027484417,-0.0072598103,0.03997432
-0.04425554,0.03072511,-0.09573493,-0.030711621,-0.023482258
-0.13561428,-0.003509814,0.027997203,0.05907712,-0.018575814
0.035633747,0.056743942,0.0037584044,0.024776215,0.023377765
0.07831463,0.08784373,0.024688544,0.016181605,0.07877633
0.054683466,0.11914753,0.067140214,0.06886634,0.0050313957
0.016966036,0.04632778,0.07479194,0.015632432,0.10525119
-0.10469771,-0.08832657,-0.15950406,-0.08313002,-0.15944904
0.035458148,0.055270255,-0.0033497289,0.11945036,0.10734696
0.079586044,0.073484786,0.04387417,0.010717731,0.040054046
-0.021882946,-0.00053212047,-0.08207808,-0.023769226,-0.06889255
-0.0058177635,0.03902147,0.020421587,0.006189851,0.08008635
0.0027086902,0.038434736,-0.034739904,-0.044452704,0.034456797
-0.08247075,0.030442841,-0.06922306,-0.12061472,-0.15505198
-0.121636644,0.031752426,-0.13928902,-0.062481724,-0.1244647
-0.15858,0.012779597,-0.10528165,-0.0706329,-0.14026135
0.061270714,0.06303889,0.098979436,0.030074123,0.095578834
-0.0045409575,0.09034601,0.005282961,0.034403484,0.112789735
0.038180906,0.1171869,0.033192858,0.08566171,-0.00087755546
0.040439762,0.060846653,0.11259937,0.06293682,-0.010055505
-0.06225019,-0.00461582,-0.019358305,-0.020132009,-0.11688012
-0.06836956,-0.030414611,-0.031681232,-0.061311413,-0.10905887
-0.064809404,-0.005681034,0.01552925,0.05475547,-0.06941912
-0.053174805,-0.006314805,-0.08175428,-0.0050931536,-0.056082323
