Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.08914955,0.074039325,0.033868633,0.023762641,0.055141643
0.11714714,0.07964142,0.07056253,0.0438413,0.052275702
0.10238145,0.12806883,0.034089196,0.08170366,0.08654037
0.10401157,0.037641723,-0.0029550004,0.010507133,-0.020200536
0.08671612,0.1012245,0.034041926,0.035653457,0.07289651
0.013503832,0.08714197,0.04243716,0.003523115,0.061056804
0.079043254,0.108310536,0.07614549,0.028603889,0.057630435
0.09764387,0.20898789,0.15069593,0.13861886,0.09595317
0.045386933,0.0492161,0.0539648,-0.073526025,0.011070315
0.08657225,0.09464887,0.0669518,0.036862977,0.08201395
0.0061174883,0.11635679,0.06773183,0.098810084,0.017786272
-0.0919967,-0.0059800087,-0.037211075,-0.0394329,-0.05375787
0.12056206,0.04235639,0.009134289,-0.06098248,0.019556498
0.10781437,0.062311262,0.05029428,-0.045079492,0.027768508
0.032590564,0.0073893834,-0.01665651,-0.05914776,0.021239826
0.019573078,0.11793651,0.078288466,0.06490204,0.018905967
-0.087679476,-0.0014398778,-0.09813925,-0.016338628,-0.07187671
-0.057562537,0.03277683,-0.038043186,-0.022218227,-0.05665572
-0.039788093,0.061713174,0.02246733,-0.0011581153,-0.042126827
-0.011918219,0.045962676,-0.014767173,-0.025131457,-0.06009852
0.08668538,0.07835538,0.1007973,0.11889103,0.047437645
0.10578247,0.06903769,0.050648175,0.046856273,0.094407536
0.025343291,0.058469277,0.020414941,0.07039571,0.052522924
-0.0067709433,0.123838976,-0.01770484,0.082963705,0.083723046
0.018487487,0.08001152,-0.0020130873,0.07731627,0.12638491
0.13484564,0.024675794,0.060101047,-0.059749153,0.08505231
0.108036846,0.06913846,0.03833323,0.033103257,0.10648011
0.06683801,-0.039417684,0.044375382,0.036276616,0.09352714
0.10654572,0.086048596,0.017149778,-0.030627212,0.04757999
-0.07555277,0.029068297,0.0069906237,-0.024528556,-0.056719784
