Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.11339547,-0.07338336,-0.12504156,-0.16103722,-0.08143115
-0.105821684,-0.1465875,-0.08156744,-0.12370713,-0.17844346
0.009621542,-0.025949994,0.041617975,-0.023182198,-0.049707774
0.05997118,0.012344416,0.022651678,-0.014307366,-0.03935045
-0.06420939,-0.109899476,-0.07272586,-0.16617303,-0.091036424
-0.13306989,-0.033535294,-0.094529875,-0.13687357,-0.12284087
0.041746553,-0.020166159,-0.0012067216,-0.08611329,-0.090079784
0.08424862,0.063232884,0.11101792,0.037045714,0.08387365
-0.022488631,0.03476247,-0.11482758,-0.06200796,-0.052900217
0.059192777,0.022286672,0.0069228597,-0.049939185,-0.032301433
0.0963484,-0.05805089,0.04966114,-0.018314272,-0.050986253
0.048597977,0.04815216,0.009133296,-0.08327989,0.0006266292
0.038863756,0.0044935904,0.008507298,-0.077371046,0.09401728
0.07964745,-0.012979629,0.010378942,0.03824832,-0.1081129
-0.021546561,-0.13840908,-0.013160874,-0.14652899,-0.13786748
0.027161801,0.020679582,0.025545172,-0.039152756,-0.04918602
0.002943946,-0.08286982,-0.0077775,-0.1278411,-0.0129510565
-0.02918624,-0.007009144,0.010460908,-0.019279828,0.041002806
-0.09921563,0.02844047,-0.025474004,-0.056669466,0.0076668374
-0.035416387,-0.05803072,-0.073464975,-0.07062666,-0.022487367
0.053774018,0.025391134,0.03490331,0.06611197,0.0016091727
-0.0064365556,0.01995895,0.048816137,0.0067009856,0.070661746
-0.08128459,-0.06900998,-0.061387565,-0.07067205,-0.03958823
-0.035917595,-0.0090575935,-0.04478006,-0.022241987,-0.019099107
-0.02136076,-0.06248189,-0.0061248876,-0.03722363,0.0014307741
-0.0036737323,0.0018603439,-0.029166266,-0.029569067,-0.026847573
0.089393646,0.048391752,0.098371975,0.015299155,0.086712524
-0.0036291173,-0.09037091,-0.045925282,-0.04341047,0.0017104242
-0.07760776,-0.089749396,-0.064863436,-0.05644442,-0.0795346
-0.061653536,-0.03461153,-0.1133665,-0.0812999,-0.03734131
0.053343154,0.052891597,0.115808725,0.24780115,0.087396875
0.017596733,-0.017392559,0.0102576995,0.011164722,0.039693702
-0.07225706,-0.13692492,-0.069612235,-0.03679955,-0.04581999
-0.1550309,-0.04296758,-0.06012178,-0.027397687,-0.028899329
-0.00869012,0.08988057,0.0079595335,0.009117937,0.036736317
-0.0072713867,0.037372835,0.005846449,-0.06751479,0.0021034945
0.048807736,-0.046071403,0.031646412,0.06414737,0.097451925
0.051001504,0.026087461,-0.05039798,-0.10474351,-0.037603367
0.07665336,0.03988809,0.06547089,-0.047000363,0.05412087
-0.027287887,0.008298322,0.05327863,0.077376984,0.007868748
0.11513408,0.05393842,0.03594774,0.002438848,0.04694823
-0.014642024,-0.05630137,-0.096477725,-0.15549195,-0.02155872
0.008954238,0.06891289,0.07818981,0.037338354,0.06465409
0.063719384,-0.108281925,-0.06446769,-0.059641436,-0.07959622
-0.11770951,-0.15483136,-0.09566791,-0.06830687,-0.05362278
-0.20073768,-0.18974662,-0.13133681,-0.07445177,-0.092534676
-0.16176653,-0.2940472,-0.1823691,-0.044907067,-0.048243284
-0.012470219,0.021488892,0.034251016,0.058973737,0.008620917
0.015028546,-0.029623505,-0.007777963,-0.04284541,-0.049462512
0.10313919,0.061433982,0.09446005,-0.0054439777,0.09492126
0.056496084,0.10910725,0.16577223,0.15289381,0.056766175
-0.012416977,-0.010604606,0.018789155,0.0042918306,0.018431185
0.0325223,0.026102161,0.067050554,-0.009340022,-0.02484642
0.069311425,-0.016818084,0.009334706,-0.06293851,0.00041085854
0.08017537,0.062544055,0.038363576,0.014295824,0.023086844
0.11664021,0.117970005,0.15049349,0.14596452,0.018526455
0.058356844,0.014002592,0.031697236,0.058490995,-0.0132795535
0.010777222,-0.042978883,-0.011232838,-0.020083288,0.024847608
0.002563606,-0.021206593,0.040596418,-0.027057555,0.025360188
0.10567002,0.065759934,0.08168352,0.064945936,0.08268235
0.063587785,0.02550595,0.061713938,0.039322607,0.03089414
-0.07555277,0.029068297,0.0069906283,-0.02452855,-0.056719784
