Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.053693447,0.026880926,-0.024983838,-0.04328352,-0.061545018
0.011319827,0.02462516,-0.03468731,-0.0591212,-0.11592353
0.07906016,0.06984387,0.037799466,-0.044198714,-0.06593679
0.06735569,-0.017330019,0.0713685,0.12916583,-0.055950142
0.05417543,0.06332782,0.017923227,0.016920239,0.01565164
0.006825692,0.025559867,0.0016083436,-0.0497946,-0.002673043
0.049067985,0.042421497,0.0019304897,-0.0060550924,-0.05212837
0.10880965,0.022612179,0.00026207068,-0.020295547,-0.096265726
-0.003853757,-0.01513107,-0.016922018,-0.0675051,-0.12617745
0.01749413,-0.04364989,-0.048569217,-0.08774706,-0.09390482
0.07319909,0.06328634,0.010505011,-0.0052726096,-0.076328225
0.07226084,-0.0059817224,0.02240289,-0.025778832,-0.07448159
0.035162665,-0.009495849,-0.0035829525,-0.007995179,-0.06781558
-0.031510197,0.059256785,-0.024127884,-0.02091984,-0.05225986
0.057735596,0.055683367,0.020162713,0.061596926,-0.037950255
-0.024083674,0.15439618,0.017478358,-0.010548994,-0.06599386
0.06329409,-0.0066869725,-0.018372813,-0.039425403,-0.10389396
0.0047888607,-0.024226168,-0.036990564,0.022860015,-0.06297255
0.09799299,-0.0033236202,0.05571278,0.017137025,0.047564786
-0.032737143,-0.023366483,-0.0057934774,-0.009744789,-0.09929908
-0.0004601525,-0.03450848,-0.03531523,-0.042996734,-0.03508237
0.05874502,0.059836596,0.010804238,-0.06241545,-0.06610971
0.0006296048,-0.030995132,0.039809145,0.08567245,-0.062620014
-0.15774198,-0.05847434,-0.12294102,-0.12128177,-0.16671376
-0.010462221,0.045719758,0.01083719,0.06546764,-0.14158173
-0.0072859973,-0.121375114,-0.04618564,-0.045122996,-0.07893899
-0.09183235,0.005112,-0.12890409,-0.12737904,-0.21593429
-0.029991128,-0.03927698,-0.07393171,-0.15072632,-0.11712147
0.03516935,-0.04135661,-0.045154005,-0.050026063,-0.1081459
0.0882026,0.028795542,0.03626731,0.10592458,-0.14905047
0.0051285317,-0.030511614,-0.040368125,-0.07463413,-0.11087303
0.06464571,-0.014028132,-0.059373863,-0.09042667,-0.12743549
0.041227315,0.030447422,0.009165012,-0.042665977,-0.095996365
0.0036076084,-0.025444623,-0.033500776,-0.08674851,-0.06669325
-0.046139576,-0.049326412,-0.033795584,-0.02892067,-0.050911136
0.021173365,-0.057075366,-0.0248793,-0.062042534,-0.08153501
0.04084781,-0.050272524,-0.025079884,-0.1224727,-0.16711701
0.120982915,-0.0253583,0.039331008,-0.07050151,-0.042183578
0.07375027,0.017561067,0.010799457,0.0584421,-0.12045592
0.014810057,0.047410145,-0.04473877,-0.0004092455,-0.11082134
-0.04651404,0.03247112,-0.059049994,-0.020639533,-0.10582302
-0.08999996,0.030728042,-0.059182912,-0.042639393,-0.21817851
0.062072024,0.01251559,0.03189466,0.13041618,-0.120800324
0.1115232,0.07005329,0.04719866,0.06638807,-0.0060122767
0.12572213,0.029053938,0.030384816,0.024325076,0.050129347
0.02011788,0.023029506,0.00095277326,-0.036688544,-0.038965438
0.039851364,0.024526026,0.018980725,-0.040689725,-0.047814406
0.11608304,0.074691534,0.05320289,0.010846393,-0.031552497
0.06833765,0.124194086,0.042464055,0.056893893,0.019012116
0.08028666,0.03461335,0.0061156456,-0.00065934705,-0.0015841499
0.06500253,0.075280234,0.009725961,0.019109953,-0.076818496
0.06831828,0.02423491,0.057890195,0.014421146,-0.0042352676
0.056106836,-0.010253471,0.05474983,0.015791258,0.017498683
0.11602716,-0.008507149,-0.010305937,-0.018791758,-0.02382215
0.0050596166,0.106577635,0.02996354,0.034909293,-0.03194946
0.094031855,0.02799209,-0.023360116,-0.08356421,0.010377756
-0.006676618,0.026196394,0.03482257,-0.02822927,0.039638147
0.054218657,0.0067643067,0.015134664,-0.072650835,-0.021986749
