Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.019832417,0.044186193,-0.040104397,-0.10650713,-0.01410374
-0.048279356,-0.02968297,-0.093679756,-0.1501137,-0.1639636
0.009051987,0.0039290083,-0.05664633,-0.107609235,-0.035689775
0.018097125,-0.007649772,-0.10620042,-0.14135434,-0.09793456
-0.005050541,0.023826657,0.008663816,-0.06877143,-0.10795614
0.013948291,-0.015476154,-0.051309533,-0.08443673,-0.06487941
0.014419889,-0.0025856271,-0.033048496,-0.07814501,-0.08709964
0.018309277,-0.01576727,-0.08234442,-0.11657177,-0.093380794
-0.058191273,-0.06772631,-0.088315725,-0.14107393,-0.09051016
0.028312558,-0.076878995,-0.08453316,-0.06503369,-0.053820245
-0.05575975,-0.023791667,-0.04480207,-0.09381418,-0.07871378
0.033030026,-0.06859915,-0.07213656,-0.08921972,-0.1449087
-0.07090096,-0.072483286,-0.051836435,-0.0752588,-0.20706421
0.03266034,-0.050534017,-0.029892873,-0.105377994,-0.09655151
0.058017004,-0.009572303,-0.046916388,-0.07445809,-0.02985186
-0.0134181455,-0.049331374,-0.04885599,-0.059646748,-0.11143986
0.0064905165,-0.052551612,-0.02788215,-0.16677515,-0.114894345
-0.080479674,0.000282662,-0.077876106,-0.1342954,-0.14096422
-0.051671535,0.052739643,-0.0066974363,-0.023757678,-0.120600015
-0.020061472,0.022741884,-0.004448539,-0.0050573,-0.08853942
-0.0280524,0.019103993,-0.025453532,-0.059117775,-0.10056906
-0.06861144,0.027800806,0.022471512,0.08558747,-0.048625305
