Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.10794805,0.021944765,-0.033757128,0.029031053,-0.045355972
-0.051776752,-0.106596544,-0.07504099,-0.0700051,-0.07707286
-0.016879495,-0.044165723,-0.02926799,-0.08010248,-0.10138483
0.0029318705,-0.07634291,-0.04006634,0.015700446,0.022882568
-0.058039986,-0.008271128,-0.026203135,0.057607617,-0.056480683
-0.0993744,-0.067701764,-0.045116674,0.05577165,-0.06354414
-0.03328062,0.0015015267,0.03286211,0.13274685,-0.015689334
-0.10990769,-0.06349193,-0.0045454223,0.04247632,-0.11872328
-0.0684691,-0.05955112,-6.515253e-05,0.045982666,-0.033696737
-0.048718803,0.04398691,0.022687547,-0.05296777,-0.08763069
-0.08264676,-0.07523723,-0.052923046,-0.014992354,-0.06043986
-0.069648266,-0.01233571,0.019284032,0.043311603,0.0030740649
-0.081995994,-0.07910781,-0.027090445,0.06784741,-0.0052830037
-0.13554338,-0.10610631,-0.06039776,0.0013740575,-0.053331807
-0.16051683,-0.123307504,-0.068546034,-0.013464894,-0.036045138
-0.021067299,-0.033199165,0.009160269,-0.026098205,-0.058493413
-0.08011605,-0.14346981,-0.09644756,-0.030511882,-0.07755039
-0.10909742,-0.17109357,-0.11816011,-0.124604285,0.03022461
-0.012628522,0.011538731,0.035920836,0.03988012,0.039694887
-0.076310284,-0.09753369,-0.048782483,-0.07759698,0.0469385
-0.12020946,-0.11621245,-0.11904378,-0.13105544,-0.12568757
-0.049058933,-0.060262285,-0.061965764,-0.118462875,-0.087028146
-0.052682355,-0.06573846,-0.051091917,-0.082044885,-0.036645178
-0.052312464,-0.08450391,-0.079270534,-0.15514806,0.0002545109
-0.019271445,-0.0044511743,0.035862118,-0.025959598,-0.0799088
0.050763912,0.01919704,0.035040736,0.04028536,0.06552754
-0.03329292,-0.02397697,-0.008291243,-0.05246505,-0.12881517
0.00077310577,-0.091312446,-0.012225071,-0.0705986,-0.008242712
-0.09139872,-0.013039525,-0.03764259,-0.057314456,-0.09766231
