Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.11624383,0.02004951,-0.01117051,-0.030467276,-0.03506642
0.06791421,0.12772241,0.038001798,-0.048828475,-0.018211773
-0.008781426,-0.01565417,-0.07903212,-0.03648149,-0.13552706
0.15549637,0.15829638,0.043084286,0.07904874,0.011724938
0.04321271,0.023043014,0.0125212595,-0.017970884,-0.09056973
0.1036682,-0.047246657,0.011778907,0.0067426227,-0.03552957
0.05945687,-0.010326006,-0.06856005,0.02042187,-0.091692135
0.022401663,-0.00024754298,-0.016017422,0.046597358,-0.14997087
0.0073855575,0.033691555,-0.033832137,-0.035062008,-0.09687566
0.057193667,0.0070353933,-0.03162745,-0.01982227,-0.1196774
0.0031115003,0.061344475,0.011458065,-0.0055711945,-0.08789344
-0.06049492,-0.03953865,-0.016069718,-0.0731389,-0.06385898
0.009467799,0.051776625,0.01569974,-0.005262197,-0.13552892
0.12728998,-0.02596967,-0.012293111,-0.01321131,-0.06727798
-0.0082203755,0.063116714,0.013895547,-0.03422429,-0.10383257
0.010917999,0.09266092,0.132509,0.12827018,0.009440685
0.021563113,0.02048356,0.051396415,0.010116372,-0.08453488
0.0072236154,0.092626415,0.06623773,0.027365554,-0.062189788
0.02081319,0.011781357,0.028567499,-0.0013693427,-0.099122934
0.011435393,0.024039868,0.041682146,0.030361254,-0.10312899
0.010647234,-0.006745724,-0.012007813,-0.04130505,-0.11483638
0.09492754,-0.010313176,0.007055779,-0.08386549,-0.06047105
-0.023224626,-0.0388823,-0.023130443,-0.022873905,0.0035988018
-0.022885518,0.0035731895,-0.003105471,0.038164936,-0.10052636
-0.05475288,-0.0012951451,-0.0344126,-0.041224536,-0.11019318
0.07596983,-0.047558375,0.0412335,-0.022475503,0.118365556
0.043492466,-0.012358978,-0.046571065,-0.081358,-0.09430407
0.10248518,0.023564333,0.022544518,-0.0643555,-0.031990647
-0.0039705075,-0.02982438,-0.08347687,-0.034804992,-0.016421165
0.03913089,0.015361201,-0.03120052,0.014635073,-0.019411653
-0.04145908,0.021914966,-0.050919216,-0.04598768,-0.08979227
0.011998842,-0.014966076,0.035361275,-0.030887872,0.026579395
0.06756623,-0.051045664,0.03728626,-0.040690977,0.1238506
0.06956371,-0.0041001234,-0.014809959,-0.06787515,-0.062308885
0.06486759,0.057537705,0.012104945,-0.04124467,-0.0444855
-0.012559937,-0.018756395,-0.12396398,-0.035909474,-0.08463572
-0.021228181,0.040067457,0.0142163,-0.024036903,-0.027430698
-0.03098793,0.0030557213,0.0021224609,-0.03536911,-0.07607248
0.032031767,-0.021574605,0.028651688,0.00032460317,0.07316619
0.021562098,-0.016049176,0.03984033,-0.026532294,0.053373262
0.022376291,-0.054319166,-0.0140000805,-0.06819588,-0.08233968
0.014586541,0.00926943,0.0040310877,0.01227792,-0.07341021
-0.050727166,-0.014956329,0.051328868,0.0109364875,-0.008019121
0.023144605,-0.028701082,-0.033031933,-0.08516049,-0.10174535
0.06486759,0.057537705,0.012104945,-0.04124467,-0.0444855
-0.00018882193,0.07216566,0.021120887,0.050075896,0.066572696
-0.18195389,0.08641854,-0.046302035,-0.009667698,-0.11040712
0.066673316,-0.016966268,0.0018903622,-0.041982185,0.056168232
-0.017903887,0.014229142,0.0195163,-0.0208098,-0.05676086
0.014445844,-0.016088283,0.04553162,-0.021939473,0.050533302
0.063654445,-0.04509924,0.030562349,-0.029035915,0.1234391
0.06448667,0.0013830978,-0.015550787,-0.079123706,-0.048048884
0.086215004,0.024536468,0.030007735,-0.06630332,-0.025426803
-0.106687956,0.00527546,-0.045437112,0.09180002,-0.037945867
0.0066885147,0.0059244237,0.0020733671,0.019389618,-0.06089501
-0.015109694,0.059322484,0.011378188,0.0473443,0.03143131
-0.018920306,0.0027425291,-0.0034757294,-0.029301621,-0.0886516
0.06612071,-0.019219002,0.04040697,-0.0022200802,0.0810387
0.021745022,-0.008832877,0.047648992,-0.023522364,0.03872444
0.07970759,0.013348497,0.00051160296,-0.073242985,-0.04213121
-0.003255006,0.025971455,-0.030042207,-0.005520005,-0.043316774
-0.02879567,0.032691587,-0.03254409,0.035983954,-0.09252305
-0.028424764,0.0077893655,0.04981239,0.015016527,0.00085597485
-0.0033917706,0.024178362,0.008567661,-0.038945653,-0.070861384
0.017894264,-0.022976642,0.038943358,-0.044786233,0.06913823
0.082341895,-0.049228407,0.040338427,-0.028122466,0.13015692
0.0697787,-0.037884586,-0.012002997,-0.04384032,-0.071895264
0.013689957,0.048339874,0.019069243,0.02690326,-0.021847187
-0.041073922,-0.004964641,-0.017854042,0.038038716,-0.044134572
-0.07318262,0.032597587,-0.029856991,-0.019018568,-0.086877376
0.059076082,-0.04273089,0.035582785,-0.011653465,0.11308186
0.05856853,0.08430199,0.047827397,0.029149834,-0.06159547
