,Care,Fairness,Loyalty,Authority,Sanctity
,Harm,Cheating,Betrayal,Subversion,Degredation
0,0.060801957,0.054731265,0.012916497,-0.053692468,-0.0086771995
1,-0.012024879,0.040743023,0.00463557,-0.017086701,-0.04797825
2,0.09221458,0.07550041,0.07565907,-0.01003911,0.021491945
3,0.019176079,0.0138090085,0.0042442707,0.029027056,-0.0022210302
4,-0.05335677,0.06032829,0.05971923,0.03321593,-0.06888506
5,0.08619745,0.05006718,0.049843743,-0.05632639,-0.01370114
6,0.07497607,0.056938644,0.02009263,-0.02173944,0.0063600484
7,0.08226052,0.1613225,0.054297045,0.20368269,0.059554145
8,-0.10681737,0.041164372,-0.07340942,-0.095102906,-0.14481789
9,-0.0109287575,0.018226864,0.0056905625,0.026380612,-0.083679385
10,-0.049709037,-0.008737004,-0.026384287,-0.09371272,-0.2184551
