Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.05861853,-0.034544237,-0.04259543,0.031871267,0.004294968
0.04820527,-0.030747306,-0.05848871,0.048697144,0.018911853
-0.0366874,-0.08250844,-0.08807928,0.022722738,0.0297274
-0.11955929,-0.013438351,-0.008320935,-0.035764374,-0.09047012
0.021113709,0.024471132,0.030152239,0.005847525,0.0016444484
0.018767966,0.031506307,0.0016430095,0.060765952,0.054579664
-0.10931231,-0.05939042,-0.13761921,-0.074064046,-0.07397308
-0.05719375,-0.095302485,-0.14965566,-0.12160957,-0.07292247
-0.0814107,-0.014186947,-0.120731525,-0.15567054,0.038106397
0.032409225,-0.031209867,-0.065718636,-0.005023182,-0.029405361
0.092790745,0.00769155,-0.017684186,-0.08109587,0.017502194
0.020761773,-0.012419974,-0.040123753,-0.028769244,0.06506034
0.0071182093,0.0031570722,0.0103883585,0.067243695,-0.046441168
-0.066421054,-0.018517915,-0.01633893,-0.03144145,0.02703797
-0.03235469,-0.0076209838,0.04662484,0.09195182,0.08396886
-0.079592586,-0.016858056,-0.10186779,-0.104216486,-0.007099899
-0.19316915,-0.0069152284,-0.13012241,-0.1331885,-0.12799022
-0.03599318,0.04590059,0.0019246079,-0.0009446414,0.06915195
-0.11988595,0.015740227,-0.0690715,-0.03667161,-0.0009988602
-0.07542773,-0.07668635,-0.05208315,0.01731448,0.009087196
0.007923046,-0.073688954,-0.010018377,0.118571416,0.08498758
-0.038141232,-0.10953364,-0.18174534,-0.2243684,-0.034872256
-0.13802887,-0.1618936,-0.17792912,-0.13160491,-0.010198787
-0.092623055,-0.14885639,-0.13143693,-0.21808839,-0.034097668
-0.13223702,-0.14556086,-0.12790275,-0.114254385,-0.047871318
0.055252157,-0.11071119,-0.076023035,-0.1217375,0.10935354
-0.2601949,-0.03849011,-0.118880235,-0.07394842,-0.11016087
-0.09273637,0.008646969,-0.0421838,0.0370306,0.03805203
-0.017619256,0.03732045,-0.085843384,-0.021175863,0.0028912527
-0.1193999,-0.0103615755,-0.08035037,-0.0642748,-0.026850007
-0.040896207,-0.07880098,-0.05470351,0.023018293,-0.051232528
-0.08453667,-0.08571777,-0.0585078,-0.018926134,0.025792148
-0.09098928,0.06641309,0.006220999,0.054265074,-0.025009235
-0.07505043,-0.069009334,-0.04340852,-0.033437423,-0.004745351
-0.040911213,-0.08256236,-0.023939988,-0.01507303,0.030430384
-0.04906864,-0.014098454,-0.023857635,0.09210314,0.01518699
0.04016836,-0.061741445,0.015240288,0.054155007,0.02675003
0.027781837,-0.11265427,-0.06341608,-0.0637626,-0.0040271394
-0.057895288,-0.096191585,-0.08645673,-0.094132856,-0.060205556
0.01596746,-0.14019714,-0.059647974,0.044619452,0.04567348
0.013364913,-0.023285773,0.01692373,0.054489248,0.14873113
-0.009986624,-0.03703192,-0.04036936,-0.02277854,0.10496019
0.09592139,-0.14696343,-0.040109925,-0.098251075,0.07315391
-0.07082073,-0.21026936,-0.18340072,-0.16297396,0.0043552257
-0.05138901,-0.11593187,-0.17273973,-0.11604362,-0.0015820409
-0.16084544,-0.13107346,-0.16459244,-0.063645884,-0.045000397
-0.15159944,-0.087215796,-0.14405513,-0.1633984,-0.03361365
-0.10395309,-0.09564219,-0.15859286,-0.15597518,-0.052970275
0.021096883,-0.117584445,-0.07462411,-0.0978685,-0.0144245345
0.043470573,-0.093265235,-0.087678805,-0.0533833,0.037827086
0.03893237,-0.07754716,-0.014527777,0.04308864,0.03788747
0.017669445,0.013609153,0.056405216,0.13108036,0.047927793
-0.006376084,-0.1638248,-0.10618451,-0.17572033,0.0039310814
0.031423155,-0.08009897,-0.087585695,-0.12930782,-0.036608957
-0.063716024,-0.11767078,-0.141969,-0.15681857,-0.07529269
0.027734749,-0.078509115,-0.106303066,-0.09687723,-0.029399907
0.003375777,0.091100186,0.0441095,0.12132217,0.14729223
-0.085458994,0.073349364,0.055887677,0.10298296,0.057613775
-0.10657141,0.041342806,0.002985226,0.12038904,0.07606813
0.005231643,0.06745054,-0.0021163076,0.11523369,0.09411899
0.023526639,-0.027396936,-0.072184265,-0.0186794,0.062906995
-0.0372654,0.088412106,0.03274601,0.064836055,0.06707647
-0.05308897,0.09428582,-0.03278813,0.117351204,0.03638127
-0.039492495,0.03514375,-0.0028736293,0.02810531,0.1268004
-0.1291113,0.08971849,0.0024475977,-0.011659319,0.06847292
0.02182384,-0.047082894,0.030600017,0.052450772,0.14382723
0.016724866,-0.07278246,0.11287789,0.118605904,0.102935076
-0.053608693,-0.09432022,-0.061182335,-0.05325962,0.028323082
-0.039779853,-0.039125644,-0.038151693,-0.053334862,0.0477048
0.07146376,-0.049716137,-0.027526226,-0.03062432,0.07167626
-0.090809,-0.19484179,-0.15477264,-0.11628339,-0.034684293
-0.08927635,-0.15737624,-0.122421764,0.039915837,0.058437023
-0.051651847,-0.16403939,-0.07159038,0.013039317,0.09698445
0.010238148,-0.058124498,0.0078666415,0.048532035,0.027481722
0.022046173,-0.049863327,0.05424993,0.09247204,0.04369455
0.036048144,-0.01348466,0.053733125,0.06361433,0.031122342
0.014058015,-0.023725241,0.05098366,0.085382834,-0.0346717
0.053572737,-0.017414216,0.09258653,0.1228308,0.038377035
0.07389697,0.03119718,0.06263564,0.06369894,-0.030362802
-0.15230581,0.039756842,-0.07348842,-0.086747766,-0.06340553
0.0045505366,0.019850753,0.08342157,0.23174071,0.04623136
-0.030602261,0.04636407,0.009476123,0.014161138,0.107239194
-0.058499947,-0.019059401,-0.046136428,0.037456274,-0.013768967
-0.015603393,-0.13882571,-0.053988148,-0.024975471,0.020610984
-0.03214591,-0.08359299,-0.006262511,0.025341965,-0.06563914
0.031228885,-0.003968276,0.06874959,0.058435053,0.034424152
-0.08267842,-0.19798756,-0.12370254,-0.10330358,-0.039328687
0.040223,-0.025024919,0.03887677,-0.049873933,-0.0039814636
-0.055813663,-0.0877679,-0.054676063,-0.013545942,0.021121478
-0.05060345,-0.102054216,-0.06337121,-0.015428552,0.05271443
-0.02133128,-0.054271042,-0.041815076,-0.044306286,0.015092431
0.034059066,-0.05850128,0.029137887,0.052227333,0.055835474
0.022221953,-0.108970284,-0.047280557,-0.021810535,-0.01718364
0.013658121,-0.090719074,0.06607153,-0.04915645,-0.016318072
-0.087330304,-0.0911289,-0.061679367,-0.06806123,-0.05752213
-0.053493455,0.10246371,-0.006352476,0.025367755,-0.11890991
0.07822545,-0.011763152,0.0075414525,0.0800984,-0.036374338
-0.034515798,0.05916097,-0.0076739574,-0.019772654,-0.025553122
-0.022498194,0.022210175,0.0057652597,-0.014702398,0.03491841
-0.056416325,-0.17445287,-0.15199155,-0.05607646,-0.025377035
-0.038134344,-0.054750852,-0.08455855,-0.11929976,-0.0036130142
0.007255571,-0.12651275,-0.10260596,-0.074291766,-0.0536229
-0.009126445,-0.11557985,-0.04432305,-0.044105478,0.049516134
0.0009849239,-0.08288684,0.020935524,0.010728747,0.055089895
0.02872344,-0.02933978,-0.054376077,-0.053193748,0.0078799
-0.028339416,-0.06044717,-0.02523432,-0.0062926384,0.0050447215
-0.13286588,-0.046952408,-0.057717893,-0.040707473,-0.07871676
-0.07619282,0.016173737,0.0459342,0.036319677,-0.036808122
0.05275864,-0.055359315,-0.03877376,-0.052192625,0.17001086
0.028846039,-0.0015500803,0.019246306,-0.02655305,-0.021973182
-0.056208678,-0.052210607,-0.022585992,-0.047798272,-0.009865562
-0.018502083,0.01740254,0.043286584,-0.063436314,0.0063008815
-0.0003209766,-0.026159473,0.0687281,0.11194137,0.0052281963
-0.031793974,-0.12699229,-0.057658423,0.007459956,0.11185315
-0.069389366,-0.038633354,-0.044847243,-0.026045632,0.08947445
-0.0024329275,0.13638575,0.04878321,0.10605204,0.21289086
-0.19443259,0.13087441,0.041648686,0.1462333,-0.023894545
-0.12211209,0.015088727,-0.06573355,-0.074696414,-0.042277742
0.053002596,-0.0073698647,0.022435918,0.016471328,0.047284894
0.08792201,0.026341826,0.021759653,-0.09341943,-0.027286015
-0.016983127,-0.0833657,-0.03009649,-0.01635926,0.043434277
-0.0066707656,-0.12163329,-0.01201199,0.051439404,0.05154237
-0.015937772,-0.08920617,0.034389764,0.07002932,-0.0009463995
-0.055723257,-0.009399734,0.023969056,0.123444304,0.13504139
