Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.04825143,0.21161616,0.08811989,0.16356814,0.024287358
-0.003185168,0.07782784,0.026045457,0.10393596,-0.033764556
0.0009121271,0.047454208,-0.008767998,0.2336516,-0.009539936
-0.1678519,-0.11045592,-0.08993395,0.05077555,0.025751084
0.15445788,0.05708213,0.12441037,0.08493719,0.11454551
0.14806154,0.01437854,0.08087336,0.052213278,0.010321153
0.13339737,0.06350685,0.056734428,0.033712566,-0.15654771
0.19359125,-0.00010921288,0.059712008,0.03138957,-0.020518463
-0.02712196,0.12203543,0.07399853,0.088297375,0.05229257
-0.032579247,0.026505386,-0.017413553,0.03588557,0.036492586
-0.06843523,0.048062056,0.011327126,0.032028824,-0.05338293
-0.02717509,0.08118875,0.03658265,0.07786705,-0.005972905
-9.96422e-06,0.07492585,0.107878745,0.11189922,0.066495135
0.021694759,0.061689965,0.03193733,0.003666283,-0.026388446
0.024091437,0.18360281,0.12592685,0.20513314,0.06121269
-0.036867306,0.043817215,-0.0065138107,0.124856584,-0.022642542
0.018382281,0.010561345,0.011780354,-0.009907513,0.12508082
-0.08912176,0.018237215,0.0075016413,0.11875522,-0.12374452
-0.11054742,-0.0725098,-0.04419508,0.070006445,-0.084533505
-0.017012829,0.0025543468,-0.039147627,-0.060277767,-0.1851154
-0.03443246,0.13692316,0.05542685,0.14464927,-0.08598066
0.041466568,0.14164504,0.009828126,0.11652545,-0.0427448
-0.045224898,0.21416749,0.04872942,0.12991789,-0.0066359397
0.0033612847,0.01971419,-0.025906418,0.055900566,-0.037594207
0.021216664,0.02130726,-0.008871302,0.06378038,-0.08970125
-0.11670332,0.057810873,-0.07595816,-0.048026383,-0.09908877
-0.034206405,0.06403582,-0.029722366,0.041758724,-0.03788309
-0.07816134,0.16887593,0.028931,0.18912268,-0.053860996
-0.029662779,0.08933603,0.022895992,0.059558257,-0.013428369
0.026468221,0.16568395,0.11370814,0.216102,0.038318895
-0.0679974,0.02715071,-0.067193165,-0.033992194,-0.1147729
0.024531556,0.1530102,0.07196827,0.18933174,0.004297128
-0.17697722,0.016990896,-0.041540448,0.022232499,-0.08677599
0.0537968,0.054887563,0.062636316,0.14103562,-0.0050710915
-0.020289887,0.036752403,-0.009595003,0.09560167,-0.0021659415
-0.007833628,0.042356886,-0.008910367,0.1702817,-0.03341376
-0.09379373,0.08646317,-0.028328873,0.066929266,-0.030722152
-0.071888074,0.04990235,-0.040854987,0.03729453,-0.09487348
-0.08678076,0.06314051,-0.081977546,-0.018200058,-0.070959136
0.014415303,0.04423307,0.008507773,0.092406064,-0.049367655
0.080549814,0.07164873,-0.0005445648,0.11653494,-0.014715201
-0.016570061,0.011515748,-0.054524653,0.037192117,-0.04630323
-0.057553723,0.080779776,-0.04633424,0.11336906,-0.08039476
0.050848644,0.0027442614,-0.047718324,-0.038276937,-0.17964455
-0.055661857,0.039924808,-0.06943628,0.08467507,-0.069962926
-0.061110783,0.035317384,0.014453408,0.121013716,-0.03760418
-0.062359575,0.022467079,-0.023362817,0.081590585,0.019548532
-0.09749984,0.025375318,0.123542845,0.14013575,0.07957644
0.044811003,-0.027997978,0.021972552,0.20010093,-0.018840563
0.03876818,-0.01884194,-0.005737953,0.11052869,-0.0313722
0.09498363,0.11705586,0.025927298,0.17743433,0.05737099
0.04475619,0.07147752,-0.0014025383,0.15853576,0.025399584
-0.050685283,0.010465212,-0.057812173,0.0077697127,0.013958405
-0.051682778,0.007301502,-0.03595219,-0.021742444,-0.025205996
0.06498593,0.19025792,0.14930505,0.13948148,0.08583978
-0.0862703,7.535331e-05,-0.056547694,0.093727894,-0.08527428
-0.06567008,0.019505199,-0.055164523,0.13878828,-0.03326503
-0.0009794319,-0.0144728925,-0.043746885,0.035516225,-0.082513094
-0.03425399,0.020261422,-0.057657205,0.097109616,-0.10853541
-0.15344968,-0.0051668514,0.05108518,-0.015808519,-0.108401366
-0.045312572,-0.06974928,-0.10042404,0.039638173,-0.13277867
