Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.03537175,0.14198336,0.105826944,0.121874474,0.13480288
-0.10592494,0.2117519,0.1250849,0.15909308,0.07529038
-0.011179345,0.105504364,0.086715266,0.12790819,0.14485066
-0.10956353,0.2070603,0.073904574,0.15404749,0.05078934
-0.057655726,0.002278205,0.0330555,0.09649032,-0.033953134
-0.15204707,0.11239791,0.033979993,0.05973295,0.021360744
-0.035559397,0.11453137,0.052633338,0.072362065,-0.037222013
0.02818695,0.07235449,0.03933416,-0.054206885,-0.08023096
-0.041831635,-0.005771965,-0.02865098,0.0041913064,-0.046456877
-0.032406468,0.1654003,0.06670898,0.1585908,0.042159885
0.015022302,-0.001821449,0.0021072878,0.081222326,-0.08268546
-0.069043055,0.12780157,0.077595994,0.1108131,0.060075473
-0.10909988,0.008258101,-0.046210416,-0.019562997,0.016816676
-0.025644433,0.14302237,0.07393505,0.10866672,0.020426948
-0.12744424,0.10038318,0.02555459,0.08526619,0.027034974
-0.05863355,0.25248542,0.14248544,0.05934462,0.027030457
-0.09425808,0.17966554,0.1209047,0.10921852,0.009839835
-0.020550538,0.058616497,0.013161009,-0.078191236,-0.03798735
-0.121561885,0.14149055,0.0575971,0.132254,0.017217677
-0.038814396,0.07304099,0.06422902,0.14704856,0.059211705
-0.045752913,0.25071225,0.087559186,0.15038075,0.08805146
0.001066518,-0.019054595,0.022063963,0.030842831,0.04563531
-0.047586415,0.037974797,0.05547153,0.06948729,0.033378787
-0.0668591,0.07007189,0.057449542,0.102601595,0.03274385
-0.043429133,0.11063064,0.07821211,0.11333472,0.078953594
-0.078814186,0.08522528,0.050871603,0.10764489,0.0021089856
-0.05053526,0.039955486,0.012141557,0.13940403,0.009343388
-0.023091242,0.06441328,-0.0030769538,0.016774382,-0.059733134
-0.05812537,0.06436233,0.0781821,0.06550261,0.012491772
-0.028156571,0.0025194464,0.031291205,-0.019490393,-0.04748898
-0.020178318,0.027225586,0.06360355,0.031858094,0.038690947
-0.029692546,-0.033773992,0.0017865465,-0.07279103,0.014673622
0.0029059919,0.2159402,0.12178038,0.16438504,-0.002137266
-0.044835746,0.078500286,0.067382306,0.06272423,0.013937239
-0.07221397,0.22541349,0.14106941,0.1716423,0.12402959
0.01824116,0.07997204,0.07243554,0.013422278,0.10118298
0.053010076,0.090613775,0.040837754,0.07033125,0.053009003
-0.025032917,0.040329393,-0.05600523,-0.0007196134,-0.040401272
-0.030967746,0.14002831,0.045676608,0.018279925,0.08726905
-0.050290417,0.03136839,0.014228274,0.097523086,0.096640915
0.009709986,-0.022509968,0.12127977,0.052787952,0.06407143
-0.05360376,0.06432679,0.108436376,0.03203863,-0.02984715
-0.06418795,0.014363293,0.14189056,0.024384988,0.046745587
-0.036487892,0.07484788,0.048083108,0.003362555,0.028578296
-0.016793197,-0.0063438257,0.050627537,0.02273123,0.06571261
-0.04871537,0.11109288,0.053506844,0.18677987,0.038415935
-0.14034988,0.021594865,0.0072360337,-0.0010369197,-0.053031806
0.010416795,0.0054538534,0.117588714,0.09087516,0.12552679
-0.08413382,0.0850375,0.07246178,0.12548384,0.089722306
-0.12285392,0.12607643,0.02397624,0.15189108,-0.04279324
-0.14341082,0.16074741,0.027408106,0.13193637,0.09162027
-0.14823046,0.044697583,-0.03420774,0.027202219,0.017776197
-0.07348475,-0.006767786,-0.05758754,0.16258577,-0.020311158
-0.020809159,-0.024604049,0.071213745,-0.025661426,-0.06872191
-0.066102475,0.012323491,0.023885706,-0.05295083,0.016549088
-0.11236046,0.055905636,-0.004784329,0.0899017,0.019439496
-0.2290434,-0.00802825,-0.040491242,-0.025613781,-0.009156378
-0.25496432,0.016206972,-0.06622351,-0.048078433,-0.038219947
-0.08899787,0.046493556,0.004416626,0.03159575,-0.03807951
-0.06028968,-0.0057383925,-0.038236495,-0.058499828,-0.07010649
-0.10463717,0.13235316,0.06849523,0.1652723,0.07722014
-0.11206786,0.17147574,0.027114209,0.13431802,0.16118078
-0.1103849,0.12276067,0.04731952,0.061854012,0.07735048
0.10291488,0.076276764,0.07008356,0.069121964,0.114166394
0.0012421506,0.15037459,0.06010724,0.12418774,0.11101957
-0.07214865,0.06884296,0.055504534,0.13281888,0.032935202
-0.16369447,0.10972689,0.020971134,0.057249397,-0.010169782
-0.04037308,0.023557454,0.0012225471,0.12243019,-0.035241067
-0.07775727,0.059162192,0.004208641,0.025847213,-0.0012058634
-0.16130495,0.027579647,-0.03194888,0.027155155,-0.043854844
-0.13884628,0.029178534,-0.01156718,-0.007739201,-0.03855355
-0.14717583,-0.04797749,-0.017366592,0.006960096,-0.07364041
-0.14903001,-0.036952116,0.013773908,0.029302396,-0.05330909
-0.018296476,0.017768169,0.070719935,0.065634556,0.014992772
0.020719208,0.02567092,0.06449575,0.045471907,0.023612136
-0.14400567,-0.083146304,-0.008476863,0.01267098,-0.11670157
-0.1408943,-0.00014688028,0.0046756873,-0.018065603,-0.0031994209
-0.1304963,0.0055606496,-0.011939401,-0.018877996,-0.07236428
-0.08745921,0.002833212,0.026755437,0.026250467,-0.03578558
-0.1491426,-0.034105405,-0.04836739,0.05817323,-0.09648742
-0.1178981,-0.015741898,-0.03633115,0.0008689803,-0.08965858
-0.12954757,-7.210998e-05,0.0081753,0.0073907645,-0.05833209
-0.13515791,-0.060857907,-0.039054632,-0.08915208,-0.035450656
-0.13337022,0.059606127,0.021896664,0.0031497884,0.0033629816
-0.08326273,0.09247084,0.10565236,0.092295915,0.038950793
