Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.09976194,-0.043781687,-0.04450954,-0.09739736,0.011408174
-0.09356889,-0.069544196,-0.026705483,-0.04669558,0.03434949
-0.0035580695,-0.0010979474,0.0032449886,0.034293998,-0.041220363
-0.04365825,-0.019317403,-0.020827472,-0.07195895,-0.057393096
-0.15668765,-0.067099825,-0.08636762,-0.14663386,-0.067633875
-0.088637404,-0.0703055,-0.021501634,-0.065037444,-0.118403696
-0.05531853,-0.010072172,-0.01852718,-0.010027442,-0.07399735
0.019004792,0.0021664612,-0.021634296,-0.07840618,-0.063576356
-0.038957153,0.12552653,-0.012865189,0.041225635,-0.044222407
-0.15715787,-0.022573106,-0.091463245,-0.11174676,-0.037717957
-0.081252486,-0.091971025,-0.054323938,-0.04573067,-0.016027365
-0.09419976,-0.08365909,-0.015236047,-0.049453482,-0.10384054
-0.069465876,-0.0030739997,-0.12449935,-0.121338695,-0.10633871
-0.018849045,0.1317344,0.0042991564,0.065925784,-0.017038861
-0.038256608,0.03129486,0.025290098,-0.02848899,-0.06852792
-0.055257764,0.016386889,-0.023511223,0.036662903,-0.015806297
0.017541768,0.06510606,0.09522414,0.108618334,0.07192722
-0.120873496,0.014017878,0.01411095,-0.030995829,-0.033459485
-0.07482233,0.008033434,-0.022777028,-0.053587012,0.00027268752
-0.112262204,-0.07932403,-0.030495975,-0.057188146,-0.036709316
0.036296498,-0.009985779,0.026909716,0.030998357,-0.0806262
-0.028609257,-0.016004179,0.043169342,-0.009679923,-0.023326382
-0.071492314,-0.10248007,0.01847988,-0.024598282,-0.034501307
-0.0765085,-0.0055822404,-0.009334586,0.05744371,-0.04613964
-0.08538099,0.016360726,0.010265551,-0.012650574,0.058149695
-0.089838386,0.01516767,-0.01952769,-0.03397276,0.069672726
-0.10736777,-0.019604702,-0.03533385,-0.035869744,-0.012975331
-0.030478027,-0.05652856,-0.00476143,0.00045472197,-0.054632887
-0.04716109,0.030845292,0.0041641463,-0.03965771,-0.017548967
-0.050626118,0.033272993,0.062068745,0.059701014,0.0019009411
-0.019404102,-0.054205675,-0.049610406,-0.100960314,-0.11502987
-0.004525285,-0.15313524,-0.026157081,-0.09463998,-0.20576397
-0.038590185,-0.006393796,0.0027703028,-0.034386396,-0.02561649
-0.052553225,0.012037552,-0.047228266,-0.0752434,-0.042894434
0.038821835,0.0328589,0.08455361,0.059410207,-0.01368642
-0.037881676,0.029020341,-0.022426005,-0.058137655,-0.13894288
0.015620299,-0.014199231,0.035892628,0.016079152,-0.088061646
-0.0058583147,0.025263714,-0.020796701,-0.086958274,-0.04941495
-0.029212141,-0.014201451,0.0055873874,-0.00025396794,-0.041640647
0.07665078,0.060025193,-0.031821802,-0.034958042,-0.06153139
0.023211244,0.039787535,0.029907994,-0.021237819,-0.074009165
-0.030711573,0.013320666,0.029963158,0.028632201,-0.14571106
-0.084536105,0.05388338,-0.027629469,-0.07868026,-0.12617812
0.02914234,0.004109988,0.07040815,0.0215967,0.03900447
-0.06475845,-0.01932886,-0.018996382,0.0034424802,-0.06547803
-0.014518164,0.0070441044,-0.06859396,-0.1254176,-0.024089906
-0.04102205,-0.05332145,-0.11183139,-0.10565143,-0.042980358
-0.06837337,-0.1304198,-0.13107914,-0.122275785,-0.018781794
-0.10137153,-0.10185318,-0.10771853,-0.1338829,-0.084051095
-0.12529248,-0.019399904,-0.03356896,-0.065019146,-0.12005099
-0.054032553,0.031889886,0.03807094,-0.0033190325,0.039763294
-0.19399287,-0.027411921,-0.085081354,-0.17544405,-0.16796085
-0.15209286,0.025430039,-0.005936917,-0.111350276,-0.10720726
-0.17007518,-0.0704232,-0.035569154,-0.072695695,-0.0198804
