Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.084354974,0.088106096,0.028418375,0.059776068,0.045449026
0.012470698,0.19491112,0.14115623,0.11735423,0.12580852
0.120269045,0.10139237,0.14125732,0.10823159,0.11294612
0.08012125,0.08922861,0.117937714,0.13287583,0.058281578
0.10932512,0.13790578,0.067493886,0.13299601,0.049442664
0.13900171,0.10232146,0.17995837,0.10402745,0.2036802
0.058080513,0.18879494,0.13928458,0.110964656,0.09322347
-0.030528871,0.12126001,0.09735724,0.041065484,0.10159065
-0.058640197,0.11125524,0.09684168,0.07386185,0.12855846
0.025677944,0.13721937,0.095148996,0.06264861,0.01189333
0.053690553,0.009992364,0.0764494,-0.040664896,-0.0062112403
0.06440644,0.07160852,0.057366688,0.030479575,0.009607588
0.090766594,0.098471716,0.124361426,0.09159899,0.07400168
-0.0009852452,0.12897249,0.10598816,0.056256507,0.02808932
0.011932021,0.1339363,0.11087616,0.054852508,0.10948311
0.10222848,0.16370618,0.09557218,0.08979848,0.14000624
0.041949987,0.08473769,0.052314885,0.06893806,0.077585496
0.099503264,0.13433565,0.06782617,0.06663072,0.089823194
0.10478093,0.102636725,0.05447332,0.045166917,0.07741872
0.11614366,0.051875174,0.007959922,-0.030499067,0.061739735
0.031488966,0.095129356,0.034817524,0.013850676,-0.006853722
0.12078117,0.068432905,0.051322907,-0.0039753234,0.082558915
0.13706863,0.13425328,0.08866003,0.13490441,0.099949405
0.15083182,0.14728543,0.16952428,0.13541614,0.12794767
0.0010279473,0.15122806,0.004981615,0.0032544453,0.054051343
0.05355952,0.16617195,0.15037388,0.15265137,0.16374636
0.0939352,0.12117892,0.0899758,0.07229851,0.02249418
0.08463468,0.091778055,0.12981369,0.050369754,0.07649482
0.11615096,0.1638788,0.113539375,0.10894415,0.0847715
0.011998205,0.17265967,0.06579924,0.16353565,0.066065565
0.09393406,0.10778202,0.20368396,0.12760541,0.12290014
0.084055245,0.13939042,0.13079913,0.10859196,0.07808894
0.14513046,0.035484254,0.10574733,0.07297418,0.106679805
0.12107423,0.091692336,0.17031343,0.16142598,0.018220622
0.068764284,0.15928875,0.0874178,0.124887526,-0.004203911
-0.0067782723,0.14637037,-0.026935333,0.043591306,-0.041937757
0.094947174,0.19419934,0.09210807,0.121965334,0.023271304
0.13427286,0.07337266,0.055599168,0.016017511,-0.06330844
0.058686506,0.1118111,-0.007206546,0.017041337,-0.049639355
0.06594197,-0.024915332,-0.02093304,-0.034986615,-0.14716563
0.12769818,0.09488354,0.03996248,0.05338995,-0.07890037
0.027662005,0.23005393,-0.006847428,0.07462274,-0.1292585
0.0036507947,0.20204145,0.046794035,0.124131605,-0.06417238
0.017423494,-0.035413243,0.017543234,0.011749446,0.033243798
0.017160917,0.15855765,0.054085385,0.06780955,0.026563931
-0.02898743,0.13160849,0.08755412,0.04621341,-0.008729747
-0.021624768,-0.003543138,0.003184501,-0.025422903,-0.05502543
0.13915402,0.12962472,0.13846841,0.072856,0.1355044
0.070192695,0.06671395,0.04992096,0.0008917339,0.07119328
0.017977202,0.22041237,0.105293326,0.028529637,0.16726074
0.034664735,0.06990319,0.0353662,-0.008397265,-0.055420287
0.026515763,0.12692818,0.01893657,0.00068731606,-0.05860109
0.086194254,0.11998295,0.032157917,0.010841606,-0.032847144
-0.17082277,0.20046127,0.049928512,0.19127272,0.065334484
-0.12064382,0.22131741,0.07088443,0.21238372,0.09077932
0.003288211,0.13245358,0.053059377,0.15323487,0.02882478
-0.009024809,0.09152035,0.00032690726,0.059084848,0.041697234
0.02060737,0.26109943,0.12544179,0.18638518,0.12522236
0.010792503,0.2225309,0.20265791,0.13516888,0.12926611
0.052790903,0.10729802,0.053649426,0.07028452,-0.03533961
-0.08704525,0.1724374,0.077796325,0.12218489,0.0131638395
0.055063117,0.21015847,0.17694394,0.21414728,0.15530953
0.10362592,0.08893256,0.1097794,0.09797801,0.09359613
