Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.034030672,-0.021269513,-0.023730665,-0.019130614,-0.05590816
0.065803565,0.05202139,0.07565331,0.042152897,0.069167204
0.005526926,0.027878642,0.029300286,0.018254444,-0.10151394
0.03422825,0.016162079,0.0015608091,-0.122724704,0.0017786492
0.026280364,0.018503005,-0.0056971507,0.010344151,-0.06508988
0.037794426,0.023093015,0.015954332,0.0033193007,-0.018648585
0.037003674,-0.009770925,-0.031771965,-0.049682394,-0.0725512
0.019789677,-0.0038716781,-0.018313719,0.024861995,-0.06013962
-0.091963574,-0.045639858,-0.07974453,-0.069402836,-0.10820377
-0.0012641139,-0.061908085,-0.066557355,-0.10165797,-0.080470294
-0.02320701,-0.037808865,-0.02258576,0.026307276,-0.06825033
-0.0048908805,-0.019389737,-0.022611542,-0.015561666,-0.100134626
-0.069134444,-0.10850142,-0.0715806,-0.06256578,-0.20360245
-0.030329905,-0.069862604,-0.049002923,-0.0930703,-0.1323923
0.0029513591,-0.0139982775,-0.03532881,-0.007959707,-0.11680785
-0.16281036,-0.10601359,-0.15702562,-0.08521625,-0.23390442
-0.0776368,-0.09976079,-0.100740224,-0.1026344,-0.15870368
-0.1341366,-0.047202487,-0.1214569,-0.18210816,-0.14570878
-0.13512528,-0.0060202777,-0.054660544,-0.087634176,-0.11513895
0.02325741,-0.019919083,0.020877216,-0.05042933,-0.09347621
-0.013151037,-0.040564425,-0.014312809,-0.0050422437,-0.14223307
0.017186565,-0.06794809,-0.06120646,-0.13567807,-0.17252323
0.004550034,0.016765345,-0.09967901,-0.107285805,-0.12944943
-0.016674498,-0.057880074,-0.10179736,-0.106353335,-0.11985628
0.046973802,-0.033583853,-0.023189668,-0.0037262402,-0.040861227
0.059869952,0.024321834,0.0088320095,0.027797926,-0.045958348
0.07430477,-0.009310161,-0.013366529,-0.05730059,-0.08107121
0.075321734,0.049156778,0.051287383,0.017573863,-0.0007311683
0.10070005,0.024256427,0.042675156,-0.01039353,0.058566477
0.03211559,-0.019901374,-0.021941736,-0.02835453,-0.10394196
0.0672344,0.0134286145,0.0006836355,-0.0045478195,-0.024531297
0.10521126,-0.023908827,0.008941422,-0.0470872,0.04874642
0.01989833,-0.056181952,-0.057794593,0.0037357882,-0.05345939
-0.117281765,-0.029008081,-0.025647154,-0.037838258,-0.024893047
0.033028025,-0.0031722835,-0.040431295,-0.07158255,-0.18868761
0.009202314,-0.010055463,-0.04918118,-0.077070914,-0.121811636
0.05103621,0.008414291,0.0053429883,0.02323787,-0.02543703
0.01924726,-0.00013687275,-0.063584216,-0.0011997074,-0.06933569
0.07546401,-0.005136953,0.013546642,0.0012333393,-0.089774214
0.055585966,-0.004843872,-0.024967536,-0.07427721,-0.054047715
0.06471187,0.09690598,0.0005525965,-0.045178823,-0.0805264
