Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.048206914,-0.062455133,-0.004766855,-0.035305075,0.025565434
0.009423108,-0.0022591879,0.01576162,0.019985836,-0.0042721126
0.057850353,-0.034362476,0.07749536,0.034254454,-0.030017925
0.0592341,0.031688467,0.071855456,0.019495226,0.048477706
0.085121095,-0.04532273,0.06891732,0.009370051,-0.0044869613
0.017467072,-0.042287625,0.029493397,-0.002194177,-0.03654509
0.015620286,-0.025894152,0.034341127,-0.0040380517,-0.05273763
0.07234833,-0.07619581,0.0016610194,-0.07889938,-0.018264178
-0.02549414,-0.068754,-0.0109627,-0.056829337,-0.12079913
-0.07643984,-0.14753793,-0.1384271,-0.18231158,-0.22786215
0.0037337746,-0.039881654,-0.008810519,-0.04774827,-0.117552854
0.027949844,-0.04800231,-0.05141579,-0.11092135,-0.111551374
-0.02447711,-0.06051634,-0.107735164,-0.17323974,-0.14890659
0.1296342,0.0128307445,0.021722173,-0.058148313,-0.01674119
0.027449172,-0.050048575,0.017023705,-0.034843102,-0.015538923
0.050047267,-0.06230602,-0.007793367,-0.02627305,-0.030324437
0.009236572,-0.0048286077,-0.008053729,0.020706829,0.004288612
0.021474225,-0.111688755,0.033758357,-0.047671743,-0.07064071
0.105515525,-0.062658586,-0.005025131,-0.0563181,-0.013405509
0.075631596,-0.06092212,0.017424155,-0.015284619,0.011472741
0.07781098,0.01556253,0.04646651,0.009647701,0.0059501957
0.077659406,-0.06016293,-0.033282254,-0.041422658,0.02368464
0.018510118,0.021784866,0.021156749,-0.026437256,-0.006741962
-0.03143888,-0.019341247,-0.023214191,-0.076123565,-0.03888366
0.019492425,-0.024132442,-0.033987515,-0.05424686,-0.039200045
0.06025354,-0.045079663,-0.077203214,-0.08863595,-0.055690616
0.07100121,-0.07068238,-0.049907055,-0.076123916,-0.063090004
-0.017475912,-0.03351942,-0.059548646,-0.107452676,-0.08722478
0.046098765,0.019556344,-0.038558736,-0.06956403,-0.04216127
-0.03006208,-0.072277166,-0.033302564,-0.06641918,-0.14772649
-0.13219419,-0.09483944,-0.085394144,-0.046035368,-0.17150071
0.048854068,-0.105564825,-0.047629807,-0.087059185,-0.06647819
0.06592274,-0.07594541,-0.032300007,-0.06951207,-0.08410724
0.011593666,0.03013477,0.031054046,-0.061730526,-0.092418216
0.004146466,-0.07933041,-0.08834747,-0.1440422,-0.12544855
0.048825987,-0.03445161,-0.01761541,-0.15544824,-0.046474356
0.015044736,-0.013943743,-0.080552906,-0.13080028,-0.088276446
-0.0019169487,-0.04910078,-0.04692616,-0.08007005,-0.08977582
-0.013858144,-0.114222966,-0.06461392,-0.15811698,-0.1028208
0.053139847,-0.015459307,0.02503404,0.05923956,0.06913826
0.10956173,-0.09474047,0.02246946,0.005593028,0.08379866
0.079368964,-0.065962754,0.029154574,0.057252154,0.05442301
0.06921944,-0.03198088,0.06836945,0.11307712,0.013976276
0.10298802,-0.0079041235,0.0101156235,0.008060038,-0.03330738
0.07027276,-0.04712555,-0.00691907,0.048088796,-0.012699226
0.07753662,0.023348188,-0.007891007,-0.06286125,-0.023824535
-0.025567532,0.047551505,0.027725,0.04648815,0.04076688
0.03741363,-0.0702956,-0.0474556,-0.050754845,-0.08151143
-0.0041750334,-0.10019226,-0.073251605,-0.084615,-0.03681257
-0.0048800837,-0.120563,-0.010208106,-0.041272443,-0.08989251
0.082361415,-0.1428621,-0.0071056597,-0.0520032,-0.014076013
0.10393292,0.03329684,0.063980766,-0.04822445,0.068643294
0.022668295,-0.07412029,-0.044484686,-0.076171875,-0.0084495265
0.039035857,-0.043948248,-0.05621256,-0.04132749,-0.06653271
0.030344274,-0.021891113,-0.004065405,0.060229857,-0.020820681
-0.02683441,-0.07182473,-0.009728735,0.02697584,-0.03150797
0.09363385,-0.014802333,-0.03207153,-0.040853113,-0.051239833
0.067542166,-0.042988326,-0.012398848,-0.015929487,-0.013533813
0.06876931,-0.08162912,-0.039804786,-0.030317217,-0.03261725
-0.028861685,-0.12526816,-0.079418406,-0.054524485,-0.09567551
0.05309477,-0.07332155,-0.040777396,-0.005118424,-0.11651068
0.04510293,-0.083604686,0.034545284,0.02280706,-0.04481507
0.046856422,0.04620736,0.030063488,-0.011569792,-0.050140344
0.04200696,0.0076220706,-0.071604595,-0.077651694,-0.047544293
0.078823835,-0.032284014,-0.014627131,0.05045727,0.008599893
-0.0069448715,0.012226444,-0.041160207,-0.07138727,-0.11379017
0.017985877,-0.01566574,0.03046083,-0.018236928,-0.05795196
0.033982594,0.032182284,0.04159128,-0.0068674646,0.011917899
0.098192915,-0.10779444,0.014795008,-0.031506643,0.05227493
0.09134775,-0.06408667,0.0021850916,-0.0012778547,0.010382675
0.051649854,-0.08497843,-0.008867715,-0.028932428,-0.051206954
0.063321784,-0.0016481224,0.0352308,-0.009499291,0.0062765554
0.0063784514,-0.016869692,0.036883906,-0.09634145,-0.049446873
0.09593773,-0.085386485,0.047401566,0.014895854,0.031181473
0.02073953,-0.10266303,-0.067604795,-0.083089754,-0.07418039
0.069673195,-0.033621807,-0.08327509,-0.14325167,-0.09033945
-0.019659925,-0.06725444,-0.061930664,-0.104381576,-0.027569136
-0.056600712,-0.050603617,-0.06886766,-0.13714427,-0.20565604
-0.044464257,-0.027011026,-0.011901833,-0.067091994,-0.0690537
0.031581156,-0.09873958,-0.0074487776,-0.053963568,-0.076393306
0.001623061,-0.038506687,0.023756139,-0.054612394,-0.07436874
0.05879183,-0.07369906,0.006051928,-0.05355427,-0.021753874
0.018623944,-0.09457909,-0.0010542227,-0.010780853,-0.08378371
0.037462473,-0.031741302,0.022317307,0.017655877,0.012632557
0.02033152,-0.05655782,-0.008925376,-0.015787784,-0.038274925
-0.013097251,0.017730689,0.038615517,-0.02231282,-0.05265197
-0.008394772,-0.008187046,-0.006965556,-0.028123751,-0.049193736
-0.053790003,-0.07338366,-0.01710395,-0.058909584,-0.13283615
0.05319414,-0.08395415,-0.0304555,-0.074821085,-0.093438916
0.0766516,-0.072549835,-0.048759855,-0.047119886,-0.08307341
