Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.03454175,-0.0065685473,-0.036092564,-0.15023085,-0.07786409
-0.04172501,-0.00722453,-0.034779992,-0.09642451,-0.096591234
0.00036333688,0.084222965,0.03615264,-0.014231698,-0.037825324
0.03512329,-0.051522467,0.0653724,-0.07970524,0.010971431
-0.050940506,-0.03766362,-0.019132338,-0.0940453,-0.07795939
-0.03258253,-0.0027837027,0.034849074,-0.0044276975,-0.07501353
0.05098267,-0.07593199,0.019258298,0.050329894,0.00045080483
0.01999195,-0.04766896,-0.008190908,-0.08516877,-0.049459618
0.064434096,0.054036293,0.048966363,0.0010878779,-0.06601077
-0.10317406,-0.01431366,-0.026393784,-0.06825405,-0.019811057
0.058812782,0.011426495,0.09343839,-0.079789,0.024006572
0.02550659,-0.04781596,0.0022862386,-0.13046136,0.016980782
0.010057383,0.003153882,-0.03985516,-0.16197075,-0.027543476
-0.04533489,0.04794396,0.017444683,-0.034029964,-0.060179614
0.005891757,-0.011775225,-0.031880282,-0.13415524,-0.025776248
-0.022623891,-0.0556694,-0.06634936,-0.14718485,-0.042445853
0.007572571,-0.00046735443,-0.032336716,-0.12700927,-0.073088884
-0.009518839,-0.039068367,-0.040568274,-0.080459155,-0.07886997
-0.023078293,-0.010538584,0.0028975455,-0.08518976,-0.10292305
-0.041665785,0.027993273,-0.10066239,-0.13143033,-0.08654476
0.018948061,0.043755643,0.011834827,-0.021858081,-0.08867128
-0.04354559,-0.014506708,0.021021597,-0.09734656,-0.07854853
-0.0701592,-0.04562723,-0.07309946,-0.11579228,-0.13955891
0.027505457,-0.057066996,0.042496197,-0.036792494,-0.058017123
0.0510586,-0.04624094,-0.020434275,-0.13579501,-0.06438141
-0.0026284475,-0.034970373,0.0154301645,-0.070066206,0.0039658146
-0.0015758984,0.04506927,0.0017480957,-0.06905932,-0.038618803
0.05844145,0.09122972,0.03186584,-0.049198404,-0.012594199
-0.028649595,-0.087702185,-0.04915119,-0.12563553,-0.044272467
-0.08082627,-0.101174936,-0.08765845,-0.06448781,-0.07288332
-0.01485201,0.10025687,0.010997722,-0.04588082,-0.017187148
0.03372311,0.013488222,-0.025176747,-0.11698617,-0.01607179
-0.01315511,0.05806327,0.057704344,-0.017515194,-0.0056975717
-0.08618328,-0.037574112,0.011024024,-0.16096091,-0.09768596
0.050016973,-0.014163244,0.03430632,-0.11582357,-0.08468948
-0.0011369884,0.0149708595,0.0071452856,-0.13787149,-0.031234236
-0.0033438285,0.024673233,0.0161729,-0.090540044,-0.028618053
-0.061110955,-0.036196906,-0.062491655,-0.13044558,-0.05259553
-0.03589251,0.0093949735,-0.05015186,-0.12906922,-0.13036408
-0.030127734,0.061319932,0.058006577,-0.088878945,-0.056257393
0.046319768,0.0433466,0.015074484,-0.053660728,-0.021726731
-0.010859495,0.011165138,-0.02170853,-0.019104414,-0.09904576
-0.0021962482,-0.00083688274,-0.025101284,-0.05133839,-0.11500959
-0.014900457,0.06555182,0.045051306,0.09610316,-0.054226823
0.00048805214,0.06830019,0.023387928,0.012263108,-0.014546711
0.07545746,-0.05040174,0.037198815,0.008776309,-0.015239005
-0.002616765,-0.13607733,-0.017478958,-0.06603588,-0.118534945
0.01577056,-0.0549494,-0.085252166,-0.10044367,-0.06832477
0.030860119,-0.020034116,0.055725645,-0.016862098,-0.021145532
0.11504733,-0.06349529,-0.017124295,-0.08116417,-0.047176838
0.019910246,-0.06772342,-0.005365393,-0.05037657,-0.019460065
-0.009375675,-0.01866875,-0.041614234,-0.16722909,-0.045321986
-0.046532527,0.06423011,0.025430026,-0.021730421,-0.056918435
0.0014422424,0.0029390568,-0.027271472,-0.13206047,-0.043225255
-0.0015199576,0.09794314,0.07645646,-0.013803912,0.04836738
-0.020435616,0.01196754,-0.033551775,-0.11483009,-0.061172243
0.0662864,-0.02889428,-0.010192033,-0.13723016,-0.07493638
-0.03673148,-0.0544143,-0.009518878,-0.073783614,-0.06649369
-0.042003997,0.013188025,0.039289802,-0.05047773,-0.017738875
0.03052864,0.020935006,0.02326667,0.019649418,-0.006351406
0.06802085,-0.021829065,0.07065273,0.005961169,0.023674915
0.08257953,-0.026165288,0.037101842,0.04148969,0.022244833
-0.050074987,-0.028667074,-0.0017133951,-0.035489637,-0.12588394
-0.06799255,0.008512854,-0.013449125,-0.09142004,-0.014893571
-0.11026088,0.06724055,0.052728087,0.07285084,-0.014756126
0.015547083,0.08132039,0.14222871,0.14753526,0.1094494
0.057021588,-0.05018455,0.010960402,0.0024738982,-0.02004981
0.0011362843,-0.01129397,0.016160663,-0.010194007,-0.069945514
-0.055782847,0.007270947,0.018320352,0.050270744,-0.043864105
0.070999324,-0.033159718,0.061833024,0.024251955,0.059668012
0.036416423,-0.08781201,0.07791835,0.02375544,0.05995068
0.00084006134,0.011859551,0.048076816,0.033554077,-0.0622895
0.026798569,-0.0007946249,-0.009132659,-0.09569945,-0.07061444
-0.1367721,-0.027158448,-0.010883491,-0.020213204,-0.061998937
0.08221696,-0.17213944,0.045080353,0.0011809729,0.05845148
-0.02369202,-0.107517414,-0.06620454,-0.14235096,-0.08530947
0.08532107,-0.038229913,0.030288022,-0.015086612,-0.049116444
0.067147575,-0.040569097,0.028284412,0.026542164,-0.06604951
0.08721699,-0.009853089,0.045898937,0.05574169,0.02111895
-0.009267814,-0.06988127,0.018030297,-0.009685826,0.0035214536
0.027483264,-0.08658742,0.01229445,-0.002893243,0.00913964
-0.07743118,-0.02764057,0.039304323,0.029382981,-0.005619295
-0.025731772,-0.14548965,-0.043172024,-0.079428494,-0.056829385
-0.086499564,-0.0033657039,0.013242943,0.023543876,-0.09653519
-0.06576036,-0.14889003,-0.09122059,-0.1271864,-0.12063736
0.037528485,-0.002433695,-0.027598558,0.018902352,-0.025267225
-0.0022257622,-0.006480555,0.017583009,0.04735848,-0.031492535
-0.04536442,-0.024892204,-0.017119698,-0.10796994,-0.12919104
-0.024202548,-0.030461332,0.03932595,-0.0051028207,-0.1611685
0.025848914,0.031004554,0.04571863,0.04473056,-0.030846214
0.034767367,-0.03502359,0.029979927,-0.0024307221,0.0954737
0.029415913,-0.0075554196,0.013427925,0.05564741,0.026921418
-0.08404353,-0.039239593,-0.015452746,-0.0028008865,-0.06328551
0.049585365,-0.037175804,-0.023459272,-0.039630167,-0.05949889
0.0826622,-0.015992755,0.023740426,0.024923673,-0.062711686
0.07302953,-0.053399175,-0.010099497,-0.07602296,-0.1053553
0.04402586,-0.014772389,-0.028141204,-0.06320453,-0.13112289
-0.014323864,-0.0060468484,-0.03480328,-0.12436342,-0.03513063
0.059542336,-0.05850959,-0.0462795,-0.07847649,-0.04852716
0.08783861,0.07231675,0.08312655,0.04676683,-0.049841814
0.016041297,-0.008353872,-0.04079861,-0.07317139,-0.10149937
0.03780123,-0.006488582,-0.03791305,0.0066200104,-0.056494057
0.017983533,-0.0722725,-0.076238185,-0.14002858,-0.0634356
0.08167069,-0.012703389,-0.0041024955,-0.016504338,-0.09502325
-0.051799633,-0.006889907,-0.0072494433,-0.058115486,-0.090347305
-0.086250044,-0.060865223,-0.06413069,-0.03040933,-0.08913854
-0.028657366,-0.050045356,-0.022149041,0.004735357,-0.100228205
0.011755504,0.007582333,0.050251663,-0.017902121,0.032288894
0.03758619,0.031179762,0.08659876,0.033867426,-0.00492917
-0.00050135143,-0.03118787,-0.01295924,-0.00042284164,-0.015963532
0.00044598524,-0.028607776,0.015536368,-0.016090687,0.012506852
0.057796273,0.008865958,0.02463707,-0.059747674,0.039570246
0.015221408,0.007760871,0.0026431205,-0.07559183,-0.077762745
-0.0027730018,-0.04808532,-0.048137605,-0.124605685,-0.10559591
0.09103997,-0.043805625,0.027239203,0.012053201,-0.030274564
0.14557913,0.020374443,0.06610272,-0.0009502708,0.11040176
0.08516046,-0.049282867,0.04980753,-0.063618094,0.06853014
0.06521986,-0.043109216,0.049130954,-0.124290265,-0.03323455
0.032937072,-0.044074666,0.014917079,-0.119660474,-0.12872317
0.008294399,0.05151388,0.009452853,-0.019894104,-0.037264064
0.10614582,0.048876602,0.068158545,0.0025767237,0.048778027
0.08630899,0.018202204,0.028631004,-0.015888687,0.06986878
-0.031010173,-0.010457483,-0.06277712,-0.09698041,-0.10704395
