Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.0055611,0.060235403,-0.020831618,-0.023371425,-0.10369206
-0.011295527,0.078521654,-0.011296016,0.017709143,-0.09027727
0.051171325,0.1395342,0.04503012,0.12033233,0.017184723
0.01084586,0.09432631,0.017811593,-0.0071041267,-0.04560395
0.056266695,0.26933682,0.06921844,0.0936115,0.009099943
-0.045560688,0.076851055,-0.07537013,-0.03388471,-0.120497204
-0.045919627,0.15817948,-0.036305502,0.009134004,-0.12339282
-0.03805421,0.0792424,0.020259101,0.11851684,-0.20146245
-0.06239576,0.10264007,-0.065483496,-0.011125735,-0.14370067
0.047909647,0.15650544,0.022765366,0.056047328,0.017328998
0.044250432,0.15818815,0.03207761,0.060411416,0.02642433
0.072807625,0.20431283,0.12502849,0.13427624,0.07680612
-0.039113626,0.11028896,-0.026703902,0.034279987,-0.12030651
0.03537175,0.090094,0.011041076,0.03486028,-0.040527098
-0.03066454,0.041766774,0.00058345497,0.08524055,-0.089891255
0.002745919,0.10035123,0.016035823,-0.032864958,-0.013080671
0.020875115,0.12592508,0.07744044,0.09434845,-0.024326416
-0.019558497,0.110019125,0.09805805,0.06068363,-0.010080998
0.06900594,0.124207154,0.06568696,0.11020945,0.029014077
0.040209234,-0.08239944,-0.0031697284,-0.046564285,-0.10302122
0.05485473,0.074777946,-0.0034781604,-0.04189222,-0.094876155
0.091222376,0.10642553,0.01602067,0.08201213,-0.04781781
0.056020685,0.068253085,0.00021215994,0.009226019,-0.06490755
0.030951586,-0.046890125,0.06465015,0.056457642,-0.08158113
0.023553338,0.043715425,0.020981066,-0.01586249,-0.078679994
-0.025541652,0.08250454,-0.057690732,-0.04649368,-0.1347797
-0.061424434,0.05428626,-0.04827582,-0.06551532,-0.14770429
-0.0671497,0.08446423,-0.011865108,-0.005573051,-0.11806707
-0.03435758,0.13039836,0.03602294,0.023392016,-0.016315004
0.02156625,0.059106536,0.06293161,-0.002403481,-0.052690133
0.06435096,0.055092536,0.094767645,0.07514055,0.005663274
0.022886757,0.17105344,0.027412709,0.09290075,-0.05263629
0.04677816,0.08810742,-0.0030699396,0.064305894,-0.10455033
0.04592039,0.09011552,0.06292,0.09155577,-0.085195355
0.00726176,0.08803971,0.024499668,0.044077262,-0.042978346
-0.023537125,-0.07140815,0.016857449,0.029514607,-0.104182184
0.026623163,0.053863198,-0.0033415263,0.03486635,-0.052520406
0.09272767,0.12572187,0.027209438,0.063736215,-0.0043990766
0.012613747,0.08106007,-0.026197689,0.018249508,0.01708195
0.08460103,0.14436717,0.1201603,0.055530477,0.04648195
0.048952296,0.20718923,0.07136561,0.17349757,0.06907739
-0.14744957,0.06905006,-0.059956614,-0.12130591,-0.11613552
-0.13387819,-0.066296756,-0.085382566,-0.08998098,-0.09735822
-0.20021059,0.017443515,-0.04207007,-0.11168838,-0.099771395
-0.23999055,-0.12883784,-0.15366739,-0.14752828,-0.26929978
-0.0909845,0.08100532,-0.028682332,-0.07737985,-0.09274135
0.030504242,0.1494508,0.04934725,0.09427031,-0.0032218639
-0.07254713,0.13101906,-0.013012889,0.07134787,-0.10296578
-0.055012397,0.10997707,0.009771485,0.03791353,-0.13240649
-0.0019139992,0.22707719,0.014925487,0.06255312,-0.06965728
-0.04667375,0.10098909,-0.0054912837,0.009607742,-0.10738683
-0.19768429,0.011800032,-0.1291354,-0.092376344,-0.14795636
0.0038348045,0.07969953,0.025552526,0.027226798,-0.06797506
-0.0403327,0.025709191,0.06094166,0.012521617,-0.06703529
-0.08424253,0.0361914,0.035075545,0.0569359,-0.11718899
-0.0994707,0.0129176825,-0.023220427,-0.008322155,-0.124976255
0.014919831,0.036414508,-0.02657347,-0.033382393,-0.103339165
-0.20352161,-0.15844552,-0.1312176,-0.07185894,-0.21000686
-0.18989846,-0.109375246,-0.1627695,-0.03420147,-0.16714549
-0.14936495,-0.17007907,-0.18922356,-0.18785533,-0.16050518
-0.031178929,-0.2237215,-0.15463048,-0.1154778,-0.13481691
-0.057766747,-0.028814014,-0.029198041,0.01161743,-0.10685738
-0.03817518,-0.11144541,-0.06955125,-0.039954666,-0.15265048
-0.047276065,-0.16122541,-0.05004054,-0.050355963,-0.10384874
-0.051040422,-0.12755294,-0.057958994,-0.05968878,-0.12313648
-0.008065808,-0.13421473,-0.05332785,-0.07765235,-0.012987144
-0.014619129,-0.14787418,-0.054249257,-0.06748117,-0.048022073
-0.059127275,0.077850804,-0.039118182,-0.02759,-0.11028135
-0.23500063,-0.0050212797,-0.13363439,-0.12774587,-0.2041078
-0.14869598,0.0017014295,-0.07811536,-0.035309844,-0.14481041
-0.14794122,-0.15117179,-0.12666243,-0.136223,-0.16313113
0.0037763342,-0.029592568,-0.038054235,-0.07711979,-0.08924196
0.02129663,0.014510967,-0.022303378,-0.04677247,-0.10054849
-0.008656871,0.09035032,-0.005462298,0.011042096,-0.12046972
-0.021626,-0.010777235,0.08475803,0.06321245,0.030355696
0.04174033,0.02224277,0.09758428,0.083248764,0.02618087
-0.013166855,0.017964184,0.061639495,0.07412107,0.018973997
-0.0038367677,0.06896876,0.06936167,0.06705789,0.0042935433
0.030801939,0.042736154,0.15218478,0.11745104,0.029230282
0.005330731,0.091225766,0.108050875,0.1252915,0.08105682
-0.020198187,0.124483734,-0.006200945,0.06440195,-0.20574543
-0.051412165,0.048556764,-0.049640566,-0.020609273,-0.08131246
-0.008368565,0.097662106,-0.004708249,0.04960846,-0.048905734
-0.059687153,-0.038229648,-0.08223919,-0.13227527,-0.16334468
-0.096164584,-0.011136819,-0.033376202,-0.022047158,-0.09661174
0.023408122,0.13573588,0.024728058,0.06254898,-0.04355366
-0.061577763,0.065266125,-0.061019152,-0.010846192,-0.1750617
-0.0067211366,-0.036742184,-0.047741342,-0.07500677,-0.11596042
-0.017841484,0.108658805,0.030369781,0.002550561,0.020410769
0.054397117,0.17868517,0.06955186,0.020611033,-0.03183513
0.04385539,0.19334576,0.09297095,0.12893997,0.0043997094
-0.053913064,0.044214457,-0.08253009,-0.07285382,-0.12515613
-0.06328697,0.018994357,-0.007149483,-0.028421324,-0.08362587
0.05196303,-0.0018595029,0.08399613,0.114583306,-0.08089703
-0.037433587,-0.0054237368,-0.017136902,-0.030513484,-0.08086079
-0.04366655,0.010033973,-0.026520744,-0.023486476,-0.055724733
-0.016132092,-0.0264126,0.021774504,0.02281188,-0.078593425
0.006043845,0.09092067,0.106649026,0.1422672,-0.049538817
0.0014966931,0.11775231,-0.035820857,0.0003044661,-0.12430398
0.03605961,0.10817977,-0.016228978,0.013152296,-0.0571993
-0.01190659,0.11910115,-0.014744537,0.009615452,-0.10722621
-0.01927222,0.10709159,-0.04614843,-0.021237219,-0.109404966
0.012689836,0.13320197,0.028257437,0.091896,-0.13411772
0.051802743,0.11830662,0.10115793,0.100795574,-0.025841568
-0.11432597,0.02211833,-0.08099777,-0.07032784,-0.15536419
-0.12262845,0.07559003,-0.06063652,-0.018011708,-0.131568
-0.038657002,0.109128065,-0.062177707,-0.034371182,-0.1276408
0.009759058,0.22974746,0.054070123,0.10157489,0.0025826166
0.09616054,0.23647505,0.12281596,0.1091461,-0.013329842
-0.013514139,0.15317707,0.021080323,0.032738104,-0.050889593
0.008576149,0.11093441,-0.010203977,-0.0057771467,-0.08782267
-0.14368582,0.052277014,-0.046286643,-0.02133539,-0.19799995
-0.09530538,-0.030099168,-0.029182078,-0.053858913,-0.2256732
0.020365743,-0.06562313,-0.026039097,-0.04750759,-0.18267924
-0.016999183,-0.022157606,-0.027603965,0.044498827,-0.14445782
-0.06335777,0.05737856,0.0071987608,-0.03748588,-0.061942898
0.07412508,0.063594975,0.03203763,0.07043381,-0.112197086
-0.046108652,0.032695483,-0.033807747,-0.05369825,-0.18754324
-0.034957092,0.0471617,0.02340274,0.019139107,-0.05206893
-0.001765199,0.15101086,-0.028358767,-0.0787302,-0.061840616
-0.120282695,0.092280895,-0.089456424,-0.10993366,-0.20071378
-0.021083117,0.065390356,0.03484635,-0.0049255197,-0.03941789
-0.029555075,0.13268368,0.0088647865,-0.075884126,-0.059037633
-0.08736174,-0.015937816,-0.0416302,-0.047891308,-0.15925826
