Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.09926032,-0.014946297,-0.1017019,-0.11443083,-0.14552985
-0.13708213,-0.01566616,-0.09743054,-0.027509496,-0.16306423
-0.089946575,-0.067625225,-0.118105225,-0.08275122,-0.15953942
-0.09346426,0.008894568,-0.13011928,-0.044982567,-0.10807952
-0.089905396,0.041504778,-0.09808283,-0.037966207,-0.07057539
-0.08407474,0.0551467,-0.05150792,-0.031063484,-0.083743855
-0.0780639,-0.020526193,-0.10458161,-0.050429612,-0.10110104
-0.08562001,-0.0056873057,-0.08030523,-0.043851666,-0.16219766
-0.038704675,0.03867479,-0.058158416,-0.028228886,-0.11012804
-0.0513992,0.020744875,-0.07897639,-0.024316192,-0.072366
-0.016221263,0.03271311,-0.06919796,-0.0667193,-0.0484123
-0.034684625,0.049309585,-0.012852065,-0.024853943,-0.10554543
-0.043620538,-0.06133031,-0.08772198,-0.045612987,-0.1576041
0.019469071,0.05580298,-0.025664048,-0.0347758,0.003862895
-0.08928326,-0.012971306,-0.11091601,-0.08700596,-0.10408135
-0.09230708,-0.0006554853,-0.025250932,0.07780518,-0.11382379
0.0031419639,0.06278124,-0.010580723,-0.00055960007,-0.042530306
-0.031249167,0.040193476,-0.008558012,-0.008677813,-0.046990436
-0.20139575,-0.041189235,-0.14265421,-0.026817579,-0.16853315
-0.08815825,0.016053256,-0.0930741,-0.060183708,-0.13680243
-0.08281918,-0.007371895,-0.07643419,-0.008954014,-0.14730383
-0.03608588,0.026420336,-0.04099346,-0.03644132,-0.09411849
-0.14070927,-0.006241899,-0.10413099,-0.021849383,-0.13094054
0.045515813,-0.050253972,-0.036512412,-0.12568453,-0.103057966
-0.22153008,-0.021176426,-0.10680971,-0.001487284,-0.20681497
-0.10493265,0.042746026,-0.040100556,0.00861546,-0.0745974
-0.058996648,-0.0010605238,-0.043132283,-0.10124715,-0.18696263
-0.01565003,0.027107358,-0.048890024,-0.027942691,-0.094578676
-0.019958809,0.05420599,-0.041829266,-0.07702558,-0.037787374
-0.12242981,-0.015629435,-0.13342308,-0.091094114,-0.17314847
-0.16365324,-0.03904456,-0.16299294,-0.13978288,-0.17315993
-0.14545497,0.00026255287,-0.11326192,-0.16548638,-0.15701745
-0.071308106,0.021863762,-0.08884171,-0.081407934,-0.094759315
-0.054619834,-0.032727867,-0.026111066,-0.029003484,-0.1143625
-0.031810164,0.08505251,-0.04163014,-0.053993218,-0.11306831
-0.05508417,-0.06730888,-0.12124442,-0.0100867,-0.1687357
0.00807515,0.034390043,-0.012762275,0.027433455,-0.11329454
-0.08536582,0.0019124225,-0.070685536,0.06379379,-0.12950434
0.02827166,0.03496556,-0.012513226,-0.03566963,-0.06176466
0.0628372,0.08678327,0.120189816,0.08207189,-0.02400471
0.066614695,0.01894971,0.05568869,0.029086515,-0.09774241
0.007895062,0.059442077,0.05913175,0.00019969419,-0.08106812
-0.09345913,-0.0046660667,-0.12698396,-0.046102792,-0.11767667
-0.089905396,0.041504778,-0.09808283,-0.037966207,-0.07057539
-0.07929388,-0.005116022,-0.07756306,0.0015199853,-0.091153756
-0.053195722,-0.07803816,-0.111336425,-0.05354239,-0.16718657
-0.08407474,0.0551467,-0.05150792,-0.031063484,-0.083743855
0.019469071,0.05580298,-0.025664048,-0.0347758,0.003862895
-0.08928326,-0.012971306,-0.11091601,-0.08700596,-0.10408135
-0.08847422,0.0029918347,-0.098094635,0.0031869253,-0.129908
-0.057023183,0.02988354,-0.081576645,0.00027919654,-0.11912578
-0.0803651,0.01767799,-0.090702325,-0.07972482,-0.07610314
-0.055670116,-0.085227445,-0.023393117,-0.024147108,-0.16178021
-0.049042545,0.0075518265,0.014340004,0.022594504,-0.13109592
-0.04991001,0.0014975071,0.0042654714,0.04897956,-0.07409832
-0.011587916,0.041151293,0.07228377,0.0541572,-0.11749252
-0.068652965,0.024897257,-0.04781411,-0.051422726,-0.15077597
0.12362483,0.04644967,0.1145044,0.0687569,-0.016440809
-0.08963735,0.03490288,-0.047998033,0.037833586,-0.1113194
-0.08070069,0.12137233,0.029340286,0.053498313,-0.10453331
-0.08404838,0.021008193,-0.01490348,0.008429387,-0.12923081
-0.04214841,0.008787316,-0.025463395,0.015811611,-0.074277095
-0.096671045,0.019067554,-0.076174095,0.0069300095,-0.15298702
-0.14001322,0.029228149,-0.04401049,0.03819883,-0.12732735
0.041039303,0.07660394,0.12727019,0.08619089,0.014572538
-0.101518646,-0.018699404,-0.057729326,-0.027405981,-0.19430922
-0.13333704,-0.0018088073,-0.08580612,-0.031265464,-0.14022648
-0.0067185415,-0.05564725,-0.0843847,-0.06185914,-0.11255031
-0.04875825,0.07407825,0.026426367,0.03230353,-0.05749923
-0.022849858,-0.037570484,-0.10466725,-0.028793601,-0.18981859
-0.00340385,0.03293713,-2.7105212e-05,-0.0016801404,-0.07859358
-0.0641147,-0.004070705,-0.09764349,-0.05014635,-0.12999088
-0.042727157,-0.04372649,-0.05614309,-0.048723016,-0.12838092
-0.093161345,-0.04209076,-0.08366447,-0.043022856,-0.15853171
-0.1695192,-0.091822386,-0.12300053,-0.068430886,-0.22263654
-0.1645697,-0.10305263,-0.09678629,-0.013827957,-0.28326285
-0.008228256,0.12764212,0.044396266,0.008348495,-0.022906918
-0.041377023,-0.012069911,-0.07889243,-0.09645805,-0.075348295
-0.15543562,-0.046608426,-0.1281315,-0.098468095,-0.18124115
-0.047240905,0.04685431,-0.02577276,0.013358534,-0.107578784
-0.067043826,0.026967792,-0.063641,0.022598613,-0.14719914
-0.08231057,0.00897833,-0.09050454,-0.01720645,-0.15038027
-0.041797057,0.047478374,0.0021893233,0.023577394,-0.051178537
-0.014242559,0.01766823,-0.02087362,-0.027479883,-0.09444712
