Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.0272788,0.0179678,-0.07108539,-0.08487132,-0.034362856
0.086853065,0.0780803,0.034314767,-0.009404823,0.02776629
0.057287756,0.055358835,-0.054897025,-0.0591831,-0.0061064595
0.01151856,0.042309303,-0.05627916,-0.018526357,0.017572615
0.040495288,0.02064814,-0.099488646,-0.07133069,-0.11422481
0.019298673,-0.020222709,-0.103316724,-0.099670574,-0.0990744
0.033698678,0.026731446,-0.09194213,-0.075990036,-0.08813709
0.037818197,0.01642629,-0.10393063,-0.1094672,-0.043693475
0.029406948,-0.03775702,-0.0976055,-0.17249066,-0.08302979
0.03371593,-0.010810444,-0.059975863,-0.10419881,-0.101344585
-0.10436079,0.022374984,-0.12174311,-0.16244884,-0.16947836
0.039946638,0.037050124,-0.05123475,-0.08676465,-0.05487208
-0.07292457,-0.053286694,-0.06937688,-0.110924944,-0.13317935
0.039435003,0.02026616,-0.063211486,-0.11301836,-0.029918775
0.010833982,-0.035390228,-0.060942892,-0.100591406,-0.08604297
0.0009923866,-0.0030724593,-0.10294482,-0.055696696,-0.03020428
0.04264134,-0.027427446,-0.07372261,-0.091677964,-0.057397287
0.069420464,0.051897902,-0.03964843,-0.017534781,0.051189072
-0.04349189,-0.025837056,-0.115870036,-0.09719287,-0.18915626
0.048571553,0.018056037,-0.06432379,-0.06885523,-0.036762994
0.021185648,0.03721644,-0.027898867,-0.011861719,-0.05760555
0.020478465,0.0826843,0.00086203776,0.018769104,0.035621095
-0.020671174,0.078266144,0.08094259,0.11886629,0.09622826
0.097622104,0.08604544,0.07104892,0.067872666,0.03958832
-0.0045580054,-0.0063355817,-0.07417096,-0.11527069,-0.04822889
0.077106595,0.0366598,-0.014401548,0.040892176,-0.00018189289
0.058613963,0.037585717,-0.058424436,-0.07233489,-0.04007669
-0.013493026,0.042545438,-0.0074525126,-0.11554806,-0.05029025
0.06076128,0.019155385,0.015514327,-0.047238756,-0.029153137
0.05431577,0.03578321,-0.06217169,-0.070195824,-0.035380542
0.036626697,-0.015923714,0.01683065,-0.017741038,-0.077637725
0.0010323944,0.037930857,0.010416691,-0.014024777,0.019174665
-0.020915681,0.004738733,-0.04809444,-0.07150589,-0.097176574
0.096560195,0.05636449,-0.014653025,-0.04369146,-0.019372279
0.058342885,0.0432094,-0.027782984,-0.032760598,-0.019589435
0.033494357,0.03401677,-0.034712773,-0.07268649,-0.08953792
-0.0763292,-0.015423341,-0.0744083,-0.09278831,-0.07356121
0.023135941,-0.019336294,-0.096418545,-0.15344676,-0.056053497
-0.036464565,0.09743626,-0.081643075,-0.06767139,-0.023996685
0.04201156,0.20892225,0.12651695,0.18231592,0.18528983
0.047189727,0.036602918,0.002220386,0.013787534,0.027900128
0.12250413,0.13108318,0.0451838,0.085509375,0.12043513
0.06638684,0.034729313,-0.07585826,-0.019177957,-0.011323014
0.09391851,-0.0030310685,-0.061803177,-0.10948004,-0.053001326
0.053643256,0.004234585,-0.083958104,-0.12016413,-0.016611058
-0.031139467,-0.03579864,-0.028153282,-0.069928154,-0.055675566
-0.013916817,0.047914535,-0.01076038,-0.044281535,0.049381647
0.02606454,0.05004086,-0.035072125,-0.037076622,-0.01418764
0.04416187,0.009427732,-0.04316847,-0.11867036,-0.013837735
0.05983145,-0.0059929336,-0.047848813,-0.025378507,-0.0047970405
0.06637719,0.030745111,-0.030130487,-0.09931172,-0.014211727
0.03407865,0.09703161,0.030329034,-0.10047515,-0.035099775
-0.035519,-0.008271173,0.009295843,-0.049900405,-0.04667764
-0.059582077,0.028452307,-0.019652117,0.04015035,0.049039677
0.08957562,0.008748739,-0.04192599,-0.028962776,-0.022043351
0.044795174,0.00035711005,0.06501025,0.026617095,0.0014716092
0.06668808,0.0017385045,-0.0049782526,-0.077223524,-0.030291248
0.07097892,0.028965814,0.051146604,0.021317912,-0.023888323
0.07158409,4.2681582e-05,-0.048095644,-0.13156965,-0.02577041
-0.02038108,0.014927545,-0.005868994,-0.09946099,-0.070163906
0.060999364,-0.013376747,-0.05150993,-0.14670125,-0.015016085
0.10847434,0.026084289,-0.038935468,-0.15406416,-0.007157095
