Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.0076122195,0.03366848,-0.0043140845,-0.0023163534,-0.06771439
0.0029140674,0.10053879,0.0373663,0.047261737,-0.026504517
-0.069464475,0.05562108,0.0095306095,-0.09848358,-0.091091305
-0.067339875,0.0538701,-0.021393452,-0.047564253,-0.06900551
-0.060033277,0.030572034,0.02784798,0.08991477,-0.15440133
-0.106971994,0.013360511,-0.07540487,-0.039939392,-0.13458861
-0.049024563,0.0068744943,-0.027403561,-0.054556333,-0.14007221
-0.13366094,0.0217937,-0.011789174,0.0013489262,-0.099460095
-0.2204829,-0.0544034,-0.1580845,-0.15378805,-0.33041683
-0.056908242,0.03402139,-0.028405515,-0.049895793,-0.07243503
0.012224168,0.039907362,-0.07119943,0.013046173,-0.06424627
0.011079773,0.09442673,-0.023160722,-0.04351126,-0.040835544
0.015028413,0.09554812,0.061279967,0.02416222,-0.0031974195
0.09179628,0.17417294,0.12001342,0.04570878,0.031816944
-0.011094864,0.003952248,0.026138393,0.0009770393,-0.11889829
-0.04106661,0.052276593,-0.07951444,-0.11967352,-0.10487926
0.087724544,-0.015657557,0.03939204,-0.06114454,0.019888392
-0.12224673,0.04000891,-0.017900493,-0.011518777,-0.109747455
-0.1798936,-0.04644779,-0.029695796,-0.0023802938,-0.08638782
-0.10404167,-0.013956365,-0.06312493,-0.08078822,-0.12099984
-0.12135119,0.027280942,-0.009909504,-0.036725406,-0.07962104
-0.09308996,0.012354452,-0.005359446,-0.11549476,-0.13219424
-0.154698,-0.008156188,-0.07416822,-0.04065773,-0.18186378
-0.060954742,0.0017699068,-0.034782752,-0.04483156,-0.1761254
-0.15383324,-0.09331355,-0.1150961,-0.23374574,-0.17501141
0.0032957643,0.022453202,-0.010864512,-0.074766554,-0.047352377
-0.10917403,0.0022194646,-0.0808957,-0.09635018,-0.07810186
-0.10238459,-0.029680436,-0.044995412,-0.058520824,-0.04862065
-0.17525744,-0.046873912,-0.06456752,-0.038210645,-0.14680895
-0.14540668,-0.0036532334,-0.06432897,-0.07028824,-0.10073548
-0.08510287,-0.047466382,-0.112104274,-0.078195505,-0.25437692
-0.08361673,0.04899373,-0.05302301,-0.029496089,-0.07841169
-0.1482004,-0.0372792,-0.03577771,0.015776802,-0.06591606
-0.056529056,0.021208271,-0.015694633,-0.0016733222,-0.05056564
0.07052587,0.033394974,0.031845734,0.045493707,0.021741156
-0.09118338,0.011220835,-0.091925375,-0.09453057,-0.26293957
-0.11835046,0.017959204,-0.050518923,-0.017773436,-0.13966566
-0.084212705,-0.007138906,-0.080096364,-0.03139061,-0.12021569
-0.038799286,0.14097802,-0.00040151458,-0.022720426,-0.112843625
-0.15186895,0.03808828,-0.05732568,-0.0153636355,-0.11728652
-0.030064885,0.057624325,0.0026424807,0.021625623,-0.053118728
0.019146873,-0.042113557,-0.04272981,0.048036627,-0.0476965
-0.039584246,0.017643247,-0.06262806,-0.03450802,-0.084948525
0.00021603703,0.08921711,0.0064599477,-0.052286074,-0.052259266
-0.021972656,0.05647837,-0.0059510903,0.020914845,-0.05700398
-0.08565779,0.022645257,-0.050190177,-0.008050476,-0.08515233
0.079579026,0.061314557,0.04078693,-0.06501718,-0.08080056
0.018665884,-0.053374346,-0.11604492,-0.072072096,-0.20616505
-0.007944239,-0.0462167,-0.042658016,-0.06049274,-0.109341115
-0.07739371,0.0015702229,-0.021049129,0.027755912,-0.103599496
-0.11961678,-0.048983052,-0.030124161,-0.0448168,-0.13861041
-0.08650966,-0.025579996,0.008859546,0.0072016446,-0.07130211
-0.15526241,-0.024889398,-0.022106294,0.020331528,-0.11530806
-0.054210804,-0.045362145,-0.03415207,0.03860486,-0.008184296
-0.108400814,-0.052878432,-0.12333827,0.0015597083,-0.15856987
-0.1404519,-0.032995325,-0.13421503,-0.07635982,-0.29313472
0.063675016,0.01683328,0.023030125,0.001889403,0.037836056
