Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.02538659,0.02269033,-0.018477017,-0.06760381,-0.031796373
-0.0019412227,0.017435873,0.0024314346,0.015671443,-0.04547839
-0.02069688,-0.03864298,-0.053125955,-0.044671588,-0.086411744
0.019540213,0.053156648,-0.01582462,-0.0071725603,-0.007765365
-0.019874986,0.023403274,-0.006463956,0.00873805,-0.01706233
-0.055489287,0.032385442,0.028573778,0.0808016,-0.06415607
-0.015936045,0.017279722,0.016612306,0.0579989,-0.001795627
0.001599703,0.07616369,0.014838098,0.10617911,0.062247396
0.07989918,0.08129962,0.043803394,0.07248077,0.020294871
0.028357152,0.052898027,-0.017048288,-0.035241943,0.058668848
-0.07392696,-0.02139488,-0.028159272,0.06977737,-0.063859135
0.020144913,-0.028977854,-0.054579806,-0.06818208,-0.06725797
-0.03090627,-0.123077855,-0.03997486,-0.0027094628,-0.046555214
0.08231015,-0.05082071,0.012695345,0.033622608,0.028818594
-0.06652724,-0.079693556,-0.017279856,-0.010451414,-0.036323182
0.027662085,0.04866117,0.039358817,0.12224161,0.030676676
0.029778127,0.07630118,0.058167715,0.051252976,0.07987575
-0.012291256,0.025480049,0.031684514,0.06480188,0.04457426
-0.05109211,0.042129297,0.018595906,-0.043556303,0.011233484
0.06111925,0.05873161,0.033162795,0.041606918,0.038058892
-0.069357865,-0.08001328,-0.012543486,-0.01946545,-0.045050543
-0.053080164,-0.06649336,-0.02188592,-0.07454354,-0.08496538
-0.023020556,-0.114102,-0.035946395,-0.05436907,-0.019059544
-0.054263406,-0.10877859,-0.05188673,-0.082073145,-0.049999587
-0.053014707,-0.07175038,-0.00061136694,-0.017154422,-0.034696363
-0.033189494,-0.08034788,-0.030783704,-0.05480813,-0.087644495
-0.026070293,-0.017783463,-0.0016077077,-0.032987677,0.00457811
-0.041435193,-0.027197488,0.021730911,-0.002185803,-0.08726249
-0.021576568,-0.044445433,-0.002272165,-0.06394014,-0.044639375
-0.11921733,-0.074198864,-0.11362221,-0.10059667,-0.13384622
-0.0054811426,-4.3508597e-05,0.028631363,0.016172782,-0.019750591
-0.08029432,-0.037007596,-0.09665536,-0.099719994,-0.13525197
-0.025929876,0.0016250487,-0.015580188,-0.036281355,-0.05415552
-0.06237181,0.03434094,0.062658615,0.12138433,-0.030736621
-0.06605979,-0.10016893,-0.10113032,-0.102787144,-0.1441013
0.012467278,0.041900754,0.004715355,0.0045963177,-0.060649753
-0.067650616,-0.044430494,-0.030915096,-0.05306807,-0.03686371
-0.06216438,0.022703938,0.062059127,0.11572783,0.009100167
-0.14603347,-0.034791745,-0.0038760626,0.06870388,-0.07378441
-0.09389968,-0.039728608,-0.030051582,0.012316024,-0.045800477
-0.0380422,-0.026575921,0.004330639,0.021963008,0.038197298
-0.08724546,-0.09260711,-0.099569134,-0.12601012,-0.0770629
-0.08601159,-0.056330554,-0.06751332,-0.08020833,-0.05389761
-0.109301865,-0.05283908,-0.08149795,-0.0966503,-0.13973735
-0.17955875,-0.072509006,-0.11471532,-0.15594012,-0.10875261
-0.121463925,-0.09467601,-0.083735645,-0.05743128,-0.09546693
-0.00032113306,0.004339412,-0.05222388,0.02335096,0.021018904
-0.026423544,0.010347502,0.03454658,-0.02096883,-0.008803299
0.022240028,0.04503586,0.007738242,-0.07581465,0.04354199
0.08979757,0.024005165,0.07268465,0.018861499,0.04306341
-0.026737299,-0.0035032313,0.022195594,-0.0116888145,-0.049008068
