Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.024203528,0.022641128,0.0030221771,0.045527745,-0.006230496
-0.1095479,-0.030724484,-0.058653913,-0.10141431,-0.1667276
-0.1567968,-0.07262349,-0.078374706,0.0062797163,-0.15995239
-0.0149869295,0.059220638,0.057027526,0.024230914,0.05549401
0.003379732,0.095305495,0.012827063,0.024987169,-0.034588713
-0.03168754,0.06261186,-0.024725465,-0.021428522,-0.081906706
-0.030397858,-0.03335567,-0.020782435,-0.0006410945,-0.15208393
-0.06236082,0.0650848,-0.0198422,-0.08538802,-0.10227515
-0.06775935,-0.013240525,-0.03184786,-0.027217962,-0.08189219
-0.07757194,-0.009854723,-0.053558607,-0.031468876,-0.121064916
-0.17301802,-0.11597715,-0.13287225,-0.14950432,-0.2521946
-0.03818936,0.056923505,-0.046482883,-0.008664557,-0.055117838
-0.05282501,-0.03892041,-0.07875842,-0.036146447,-0.13138394
0.0035242662,0.028104132,0.0664714,0.050640658,-0.013024239
0.0056966143,0.01792638,0.009505225,0.036371138,-0.098016806
0.07255658,0.04758376,0.046598975,0.08780725,-0.013694057
0.10463504,0.15686493,0.11785502,0.111206904,0.004600782
-0.024329823,0.022678562,-0.005967322,-0.014165752,-0.06714019
-0.05732952,0.079738595,0.023139693,-0.0395322,0.0057047624
-0.12858173,-0.0012183031,-0.0067666145,-0.036100227,-0.13924451
-0.0389154,-0.0057380516,0.015521131,0.0008394555,-0.025153369
-0.044263095,-0.046235666,-0.016135043,0.08955954,-0.0036104592
-0.059443552,-0.05323691,-0.050839208,-0.01373263,-0.017120562
-0.025690634,0.028264377,-0.009651812,-0.032788187,0.0029146876
-0.07226367,-0.07603864,-0.07783828,-0.11018272,-0.086590745
-0.056054275,-0.04830274,-0.01959446,-0.087032154,-0.10536045
0.033704832,0.016003303,0.08306183,0.047311857,-0.06703419
-0.031941894,-0.03740796,0.008425191,-0.014664214,-0.06389703
-0.11760128,-0.09113462,-0.04292942,-0.013499815,-0.071226195
-0.02029683,-0.04826389,-0.0042862296,-0.017250234,-0.025535138
-0.06788783,-0.098565355,-0.0033307478,-0.08137562,-0.104957625
-0.00060971454,-0.045951493,0.021686409,0.013267964,0.06804171
-0.14749824,-0.06548972,-0.022232883,0.03233721,-0.07156641
-0.03179232,0.06267133,0.041014384,0.06749735,0.02919225
0.084105596,0.05744936,0.059393696,0.043437183,-0.04457886
0.03537933,-0.020956494,-0.039145462,-0.02705058,-0.07204704
-0.032325752,-0.021662286,-0.04067561,-0.013979344,-0.045300744
-0.0211723,-0.011499251,-0.026173964,-0.01784528,-0.03587805
-0.03215798,0.049910087,0.017222565,0.02709678,0.0063318517
-0.13310033,0.043779373,0.005966859,-0.0013780557,-0.026451232
-0.13001215,0.013390979,-0.040038027,-0.058082525,-0.13643166
-0.040595777,0.091976136,0.032072093,0.07181311,-0.0639279
-0.024690114,0.098350994,0.03597388,0.070871346,0.008324882
-0.008252436,0.0112659205,0.04680065,0.03381152,0.029667264
-0.02340795,0.001074329,-0.0442935,-0.027446035,-0.054438807
-0.09249762,-0.0266115,-0.058852278,0.017476073,-0.014507372
-0.032678127,0.09590057,0.031879988,0.06717479,0.0024178103
-0.059017096,0.049152687,0.012511501,0.038413633,0.03591801
-0.005079672,0.029844657,-0.016576646,0.024026476,0.021094736
-0.04411631,0.04225585,-0.048206836,-0.083669245,-0.07020483
-0.07545555,-0.036404017,-0.087872475,-0.15560544,-0.16992189
-0.16443974,0.0058341855,-0.060041882,-0.03785283,-0.17983042
0.05594257,0.030088829,0.0035726093,0.019200899,-0.050120678
-0.112681076,-0.036832295,-0.05366006,-0.086981066,-0.14293908
-0.014344229,-0.045255743,-0.052510913,-0.017030485,-0.08482007
-0.1380604,-0.052882485,-0.031591956,-0.048882224,-0.15179595
0.010799787,0.033788465,0.013280746,0.02993758,-0.028163759
0.0127338655,0.023535185,-0.0031303344,0.010930942,-0.011728552
0.08677599,0.1198202,0.14180708,0.12062219,-0.03024466
-0.009770615,0.035878427,-0.011633048,0.009246612,-0.05929903
-0.059237037,-0.016436853,-0.03866884,-0.012403665,-0.10151461
-0.18640149,-0.10074103,-0.1437367,-0.16125399,-0.2683854
