Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.078878455,0.2742739,0.01971016,0.0052335868,0.0274126
-0.022403123,0.2818111,0.07813108,0.030640773,0.06980998
-0.05498408,0.08203297,0.0067577427,0.022737041,-0.0065098144
-0.04777739,0.24462208,0.021874387,0.066585734,0.05027618
-0.012295775,0.21135052,0.037394643,0.045705095,-0.0068238378
-0.079173855,0.10225523,-0.07030372,-0.07612845,-0.17625499
0.031066727,0.21236113,0.03612603,0.124627724,-0.100142784
-0.042065214,0.09520304,-0.027563516,-0.029058143,-0.10667409
-0.07066105,0.16855617,-0.032182463,-0.041188147,-0.21243823
-0.08147393,0.07815674,-0.11852375,-0.11006951,-0.14382792
-0.084968254,0.30274636,0.035434194,0.07841275,0.051119328
0.044841945,0.37399065,0.19979188,0.253408,0.1620557
0.011706906,0.31680214,0.11540902,0.085748345,0.047837414
0.05602913,0.22977158,0.13581648,0.10624238,0.07435941
-0.035602756,0.23503023,0.034082152,0.031859875,0.042736422
-0.09881023,-0.062113285,-0.13025518,-0.084456,-0.17276643
-0.06714724,-0.115575865,-0.07756885,-0.16563621,-0.12830587
-0.024466775,0.17381945,0.01183591,0.070873834,0.06055919
-0.11443958,0.03456714,-0.044917468,-0.008685883,0.047015462
-0.07989897,0.2005205,0.036204852,0.050339326,0.00527885
-0.08627509,0.25844127,0.02366434,0.047509193,0.070158824
-0.08564148,0.29862386,0.047883913,0.033639133,0.033506345
-0.04777739,0.24462208,0.021874387,0.066585734,0.05027618
0.039491132,0.13181418,0.03397978,0.0367114,0.07578186
0.015048776,0.2843119,0.16106118,0.20128334,0.17525443
-0.06881585,0.19973265,0.021283045,0.036613997,0.023812583
-0.10596572,0.09042601,-0.08199681,-0.019306578,-0.09843656
-0.10173075,0.060020484,-0.05596084,-0.11435599,-0.045417737
0.020456888,-0.026828812,-0.07202306,-0.064232424,-0.15883304
-0.055115618,-0.004305873,-0.006664331,-0.01419693,-0.18044272
-0.055447772,0.053902477,-0.079217955,0.015165899,-0.16890301
0.0815883,0.08714193,0.11289768,0.20786169,0.011903202
-0.008851832,-0.06420349,-0.06299355,-0.12715296,-0.17269832
0.055443365,0.015562238,0.052323774,0.08904111,-0.013683724
-0.19631895,-0.0848873,-0.14975077,-0.08045032,-0.19499302
-0.030922633,0.22414544,0.059031755,0.08553271,-0.008771848
-0.13059816,-0.12644903,-0.08269397,-0.054210454,-0.113736495
0.0057443175,0.108332425,-0.007292349,0.090976775,-0.09123879
0.033364978,0.09845016,-0.04055611,-0.061472785,-0.01892686
0.0469886,0.06776112,0.066571236,0.15440843,0.038819484
-0.12534711,0.1027131,0.03496869,0.085989475,-0.032633685
-0.0263125,0.0030625034,-0.05875299,-0.087818936,-0.019332401
-0.02684731,-0.0678529,-0.045471765,-0.077221125,0.026005816
0.024786264,0.03778978,-0.015154094,-0.045825627,0.012355874
0.028273202,0.11366931,0.025483215,-0.07513028,-0.034315955
0.049102686,0.028084464,0.06643137,0.105746396,-0.038148858
-0.097374134,0.0069012633,-0.035059407,0.012425617,-0.074579015
0.029133676,0.04107912,-0.041218854,-0.073286414,-0.1215989
0.08014144,0.21002305,0.09350517,0.0365236,0.022294879
-0.02492448,-0.049736362,-0.036554653,-0.0857443,-0.14281279
0.03828523,0.07244085,0.057207827,0.015976334,-0.045990434
0.05811478,0.13134055,0.043700293,0.01879991,-0.016383402
0.03845626,0.08127129,0.059960455,-0.021478124,-0.05199616
0.10135237,0.11420704,0.0394419,0.107585005,-0.038514122
-0.15683533,-0.1404527,-0.030563544,-0.10919127,-0.14778212
-0.009708855,0.012346288,-0.05308074,-0.09226219,-0.13042818
-0.09188414,-0.07035599,-0.121546656,-0.14435035,-0.13610555
-0.06738632,0.0010651648,-0.07309082,-0.087547064,-0.14868256
-0.07660481,0.17038941,0.024299841,0.012701018,-0.19212002
-0.026375461,0.2528264,0.061121292,0.07765115,-0.1569871
-0.048255745,0.2105213,-0.028401552,0.010803136,-0.11553411
-0.10532219,0.120222114,-0.09325768,-0.09124774,-0.2310664
-0.013768185,0.15540299,-0.00058025215,0.03815081,-0.10256549
-0.15869299,0.079108395,0.005572084,0.022130664,-0.19264805
-0.052253738,0.13994528,-0.041162454,-0.025998008,-0.16126502
-0.010722356,0.19827344,0.06600328,0.03346537,-0.12430377
-0.026199833,0.09330139,-0.030411577,-0.0025072247,-0.043197267
-0.0432347,0.13540015,-0.039891977,0.042918462,-0.13457023
0.056211084,0.1664432,0.05586596,0.121156156,0.019885596
-0.024644755,-0.017111382,-0.049895424,-0.059452727,-0.06471511
0.006104781,0.05676891,0.06417334,0.045878924,-0.030704513
-0.013720067,0.06941946,0.03598392,0.03187745,-0.005556603
0.033801444,0.38779584,0.17556776,0.20673816,0.14943871
-0.048681594,0.026841545,-0.06327091,-0.03612926,0.023545804
-0.08862825,0.0076035443,-0.068483084,0.13282543,-0.09336909
-0.06907494,0.19234298,0.0058951876,-0.01681593,-0.008218346
-0.047534257,0.084089816,-0.0442527,-0.03998013,-0.014084795
-0.08816467,-0.056493588,-0.012293167,-0.052549616,-0.27145818
0.08095465,0.027067576,0.06962766,0.05704283,-0.07688349
0.03918131,0.06835051,0.054836273,0.030186657,-0.033835504
-0.011628285,-0.04290322,-0.056190256,-0.14570896,-0.1380464
0.02248169,0.1364984,0.10763194,0.0594486,0.07849294
-0.09354157,0.09417206,-0.023618648,0.0066655027,-0.06258893
-0.059123367,0.014963672,-0.039517533,-0.054577496,-0.15701927
0.03280521,0.14129354,0.013917711,0.02107249,-0.019893168
-0.020930173,-0.0012540185,-0.008215727,-0.0061109513,-0.22819449
-0.020041361,0.0638904,0.0084005855,0.021828813,-0.090989836
0.048557553,0.0766796,0.01344986,0.10055817,-0.10068083
0.03210701,0.10942597,0.065672256,0.109881416,-0.06703367
-0.06097863,0.17739347,0.014506163,0.06693031,0.002934388
-0.19255337,-0.080353156,-0.08680819,-0.08268746,-0.0983797
-0.05816312,-0.075347364,0.03999991,0.08856058,0.047318168
-0.027363868,0.0664919,0.11366072,0.17813203,-0.047012325
